









Frequency of observations in the selected location(s).:
Number of taxa: 	1036

	Jan				Feb				Mar				Apr				May				Jun				Jul				Aug				Sep				Oct				Nov				Dec				
Sample Size:	43454.0	35539.0	35085.0	47161.0	33556.0	33803.0	38843.0	38522.0	35106.0	36677.0	38985.0	61407.0	50518.0	48280.0	52365.0	61636.0	50421.0	47006.0	40607.0	50589.0	32791.0	31515.0	27895.0	34796.0	26391.0	26116.0	26500.0	38142.0	28375.0	30856.0	31773.0	44024.0	29481.0	30321.0	30095.0	36273.0	25964.0	31691.0	26812.0	36163.0	26405.0	26253.0	24685.0	31296.0	27587.0	25428.0	23668.0	42788.0	

Émeu d'Australie	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Dendrocygne veuf	2.3E-5	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.27E-5	0.0	0.0	0.0	0.0	7.7E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.23E-5	0.0015	
Dendrocygne à ventre noir	0.0	2.81E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.77E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.32E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Dendrocygne fauve	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.52E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Oie à tête barrée	2.992E-4	3.095E-4	1.425E-4	2.332E-4	4.172E-4	4.733E-4	4.377E-4	2.077E-4	1.424E-4	1.909E-4	0.0	0.0	0.0	2.07E-5	0.0	4.87E-5	1.98E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	3.77E-5	2.62E-5	3.52E-5	0.0	3.15E-5	4.54E-5	0.0	3.3E-5	0.0	0.0	0.0	0.0	3.73E-5	0.0015	3.79E-5	2.285E-4	3.241E-4	2.556E-4	3.625E-4	7.87E-5	1.69E-4	6.076E-4	
Oie empereur	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.52E-5	6.48E-5	3.15E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Oie des neiges	4.6E-5	2.81E-5	8.55E-5	2.544E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.13E-5	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0015	3.79E-5	0.0	0.0	0.0	0.0	0.0	4.23E-5	2.34E-5	
Oie cendrée	0.03399	0.033822	0.0310959	0.0337355	0.0310824	0.0310032	0.0286023	0.0270235	0.0242978	0.0265016	0.0243427	0.0267885	0.0267825	0.0267191	0.0241001	0.0240768	0.0246524	0.0207633	0.0179772	0.0148847	0.0132353	0.0106933	0.0122244	0.0126451	0.0117085	0.0109894	0.0098868	0.0103823	0.010467	0.0111162	0.0131244	0.0119935	0.0138055	0.0155668	0.0133245	0.0133433	0.0178324	0.0185857	0.0217813	0.0235323	0.0280629	0.0257113	0.0324489	0.0350204	0.0431363	0.0351581	0.036336	0.0352435	
