









Frequency of observations in the selected location(s).:
Number of taxa: 	687

	Jan				Feb				Mar				Apr				May				Jun				Jul				Aug				Sep				Oct				Nov				Dec				
Sample Size:	6010.0	5410.0	5155.0	6631.0	4717.0	4746.0	5822.0	5791.0	5271.0	5664.0	5733.0	9764.0	7655.0	7189.0	7650.0	9016.0	7406.0	5925.0	4827.0	6065.0	3802.0	3777.0	3722.0	4193.0	3178.0	3087.0	3038.0	4777.0	3372.0	3555.0	3768.0	6052.0	5221.0	5578.0	5536.0	6192.0	4128.0	4477.0	4084.0	5320.0	3914.0	3649.0	3452.0	4398.0	3929.0	3764.0	3477.0	6164.0	

Dendrocygne à ventre noir	0.0	1.848E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Dendrocygne fauve	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Oie à tête barrée	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Oie empereur	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.966E-4	5.626E-4	2.654E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Oie cendrée	0.025624	0.0277264	0.0256062	0.0266928	0.0252279	0.0273915	0.0261079	0.0310827	0.0189717	0.022952	0.0137799	0.0232487	0.0250816	0.0278203	0.0254902	0.0299468	0.0253848	0.0185654	0.0182308	0.0136851	0.0099947	0.0103257	0.0099409	0.0097782	0.0069226	0.0035633	0.0042791	0.0029307	0.0023725	0.0045007	0.0018577	0.0033047	0.0022984	0.0014342	0.0034321	0.0017765	0.0079942	0.0069243	0.0151812	0.0137218	0.0214614	0.0219238	0.024044	0.0350159	0.0419954	0.0363974	0.0278976	0.0270928	
Oie cygnoïde	4.992E-4	1.848E-4	3.88E-4	0.0013573	0.002332	0.0018963	0.0012023	0.0015541	1.897E-4	5.297E-4	0.0010466	1.024E-4	6.532E-4	9.737E-4	3.922E-4	6.655E-4	8.102E-4	0.0	0.0	1.649E-4	2.63E-4	0.0	5.373E-4	7.155E-4	0.0012587	9.718E-4	3.292E-4	0.0014654	5.931E-4	8.439E-4	0.0	1.652E-4	3.831E-4	5.378E-4	3.613E-4	4.845E-4	9.69E-4	8.935E-4	2.449E-4	5.639E-4	7.665E-4	5.481E-4	5.794E-4	6.821E-4	5.09E-4	0.0010627	0.0011504	6.489E-4	
Hybride Oie cendrée x O. cygnoïde	4.992E-4	0.0	9.699E-4	0.0013573	0.001484	8.428E-4	0.0010306	0.0012088	1.897E-4	3.531E-4	5.233E-4	1.024E-4	5.225E-4	4.173E-4	1.307E-4	2.218E-4	6.751E-4	0.0	2.072E-4	0.0	2.63E-4	0.0	0.0	4.77E-4	0.0012587	6.479E-4	3.292E-4	0.001256	2.966E-4	5.626E-4	0.0	0.0	1.915E-4	3.586E-4	3.613E-4	4.845E-4	7.267E-4	6.701E-4	4.897E-4	1.88E-4	5.11E-4	0.0	0.0	4.548E-4	5.09E-4	5.313E-4	0.0	4.867E-4	
Oie rieuse	1.664E-4	1.848E-4	0.0	0.0	6.36E-4	8.428E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.74E-4	0.0	4.548E-4	7.636E-4	2.657E-4	8.628E-4	0.0	
Oie à bec court	1.664E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.298E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Anser sp. (forme domestique)	0.0	1.848E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.11E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Anser sp.	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.657E-4	2.876E-4	0.0	
Bernache cravant	9.983E-4	3.697E-4	0.0011639	9.048E-4	6.36E-4	2.107E-4	3.435E-4	3.454E-4	3.794E-4	1.766E-4	0.0	0.0	0.0015	1.391E-4	0.0	1.109E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.97E-4	0.0017256	1.622E-4	
Bernache nonnette	3.328E-4	0.0012939	5.82E-4	0.0	6.36E-4	0.0	1.718E-4	1.727E-4	9.486E-4	0.0	1.744E-4	2.048E-4	2.613E-4	0.0	0.0	2.218E-4	1.35E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.555E-4	2.74E-4	5.794E-4	6.821E-4	0.0	0.0010627	0.0	0.0	
Bernache du Canada	0.0	0.0	0.0	1.508E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.048E-4	0.0	0.0	0.0015	0.0	2.701E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	3.292E-4	0.0	0.0	0.0	0.0	1.652E-4	0.0	1.793E-4	3.613E-4	3.23E-4	2.422E-4	8.935E-4	0.0	1.88E-4	2.555E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Hybride Oie cygnoïde x Bernache du Canada	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.292E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	
Hybride Oie cendrée x Bernache du Canada	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.652E-4	0.0	1.793E-4	1.806E-4	1.615E-4	0.0	4.467E-4	0.0	1.88E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Cygne tuberculé	3.328E-4	7.394E-4	0.0023278	0.0012065	6.36E-4	8.428E-4	0.0015459	8.634E-4	0.0011383	0.001589	5.233E-4	7.169E-4	3.919E-4	4.173E-4	2.614E-4	3.327E-4	1.35E-4	5.063E-4	0.0010358	3.298E-4	5.26E-4	0.0015	8.06E-4	0.0	0.0	0.0015	3.292E-4	2.093E-4	2.966E-4	5.626E-4	0.0	4.957E-4	3.831E-4	3.586E-4	0.0015	4.845E-4	0.0015	4.467E-4	2.449E-4	1.88E-4	2.555E-4	2.74E-4	0.0015	6.821E-4	5.09E-4	0.0010627	0.0015	1.622E-4	
Cygne noir	0.0	7.394E-4	7.759E-4	0.0	0.0	2.107E-4	0.0	0.0	0.0	3.531E-4	0.0	0.0	0.0	0.0	1.307E-4	0.0	2.701E-4	0.0	2.072E-4	0.0	2.63E-4	0.0	2.687E-4	2.385E-4	9.44E-4	0.0	3.292E-4	4.187E-4	5.931E-4	2.813E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.449E-4	0.0	0.0	0.0	0.0	0.0	0.0	2.657E-4	0.0	1.622E-4	
cygne sp.	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.391E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
