









Frequency of observations in the selected location(s).:
Number of taxa: 	455

	Jan				Feb				Mar				Apr				May				Jun				Jul				Aug				Sep				Oct				Nov				Dec				
Sample Size:	2830.0	2071.0	2071.0	3053.0	2210.0	2064.0	2563.0	2711.0	2436.0	2490.0	2618.0	3944.0	3338.0	3388.0	3680.0	4149.0	3492.0	3912.0	3190.0	4059.0	2656.0	2575.0	2113.0	2737.0	2054.0	1844.0	2026.0	2786.0	2153.0	2276.0	2333.0	3031.0	1908.0	1928.0	1681.0	1934.0	1486.0	2088.0	1562.0	2084.0	1592.0	1560.0	1521.0	1770.0	1640.0	1636.0	1570.0	2255.0	

Oie des neiges	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0018809	2.464E-4	3.765E-4	0.001165	0.0	3.654E-4	4.869E-4	5.423E-4	4.936E-4	3.589E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Oie cendrée	0.0201413	0.0226944	0.0149686	0.0147396	0.0126697	0.0111434	0.0066329	0.005533	0.0053366	0.0084337	0.0076394	0.0040568	0.005692	0.0059032	0.0070652	0.0065076	0.0071592	0.0051125	0.0037618	0.0032028	7.53E-4	7.767E-4	9.465E-4	0.0010961	0.0014606	0.0027115	0.0019743	0.0010768	9.289E-4	8.787E-4	8.573E-4	6.598E-4	0.0	0.0010373	0.0029744	0.0020683	6.729E-4	0.0019157	6.402E-4	0.0028791	0.0069095	0.0032051	0.0118343	0.0186441	0.0176829	0.0171149	0.0178344	0.0199557	
Oie cygnoïde	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.996E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Oie rieuse	0.0060071	0.00338	0.0024143	9.826E-4	0.00181	9.69E-4	0.0015	0.0	4.105E-4	0.0012048	7.639E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0050847	0.0109756	0.0079462	0.0038217	0.0035477	
Oie de taïga	0.0017668	9.657E-4	0.0028972	3.275E-4	9.05E-4	4.845E-4	0.0015607	0.0014755	0.0	4.016E-4	0.0015279	2.535E-4	2.996E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.869E-4	
Oie de toundra	0.0035336	0.00338	0.0014486	3.275E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0018293	0.0079462	0.0025478	0.0031042	
Oie de taïga ou O. de toundra	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.435E-4	
Oie à bec court	0.0	0.0	0.0	0.0	0.0	0.0	0.0015607	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0065746	0.0	0.0	0.0	0.0	0.0	
Anser sp. (forme domestique)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Anser sp.	0.0	0.0	0.0	0.0	0.0	0.0	3.902E-4	0.0	4.105E-4	0.0	0.0	2.535E-4	2.996E-4	0.0	0.0	2.41E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.589E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.65E-4	0.0	0.0	0.0	0.0	
Bernache nonnette	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0012048	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.765E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
bernache sp.	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.112E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Cygne tuberculé	0.019788	0.0222115	0.0197972	0.0212905	0.0217195	0.0208333	0.0214592	0.0225009	0.0246305	0.0257028	0.0152788	0.0245943	0.0140803	0.0206612	0.0125	0.0156664	0.0160367	0.0125256	0.015674	0.0137965	0.0131777	0.0062136	0.010885	0.008038	0.0082765	0.0081345	0.0078973	0.0064609	0.0143985	0.0114236	0.012859	0.0151765	0.0183438	0.0191909	0.0178465	0.0180972	0.0242261	0.01341	0.0185659	0.0196737	0.0213568	0.0198718	0.0177515	0.0152542	0.027439	0.0201711	0.0184713	0.021286	
Cygne noir	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
cygne sp.	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	2.556E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.098E-4	0.0	0.0015	0.0	
Ouette d'Égypte	3.534E-4	0.0	4.829E-4	9.826E-4	0.0	4.845E-4	3.902E-4	0.0011066	4.105E-4	0.0	0.0	2.535E-4	0.0	2.952E-4	0.0	4.82E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.394E-4	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	4.789E-4	0.0	4.798E-4	0.0	0.0	0.0	0.0	0.0	0.0	6.369E-4	0.0	
Tadorne casarca	0.0	4.829E-4	0.0038629	0.0016377	0.00181	0.0014535	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.765E-4	0.0	0.0014198	0.0	0.0	0.0	0.0	3.589E-4	0.0023223	8.787E-4	8.573E-4	0.0	0.0	0.0	0.0	5.171E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0013149	0.0011299	0.0	6.112E-4	0.0025478	0.0	
Tadorne de Belon	0.0586572	0.0676002	0.0521487	0.0625614	0.060181	0.0770349	0.0909091	0.1062339	0.0747126	0.0751004	0.0874714	0.05857	0.0635111	0.0717237	0.0771739	0.0694143	0.0721649	0.0766871	0.0630094	0.0610988	0.0429217	0.038835	0.034548	0.0292291	0.0287244	0.0347072	0.0281343	0.0348169	0.0394798	0.0316344	0.0287184	0.0254042	0.0283019	0.0259336	0.0291493	0.0289555	0.0215343	0.0201149	0.0371319	0.0331094	0.0339196	0.0384615	0.0604865	0.0672316	0.0756098	0.044621	0.0611465	0.0656319	
Canard musqué	0.0226148	0.0246258	0.0231772	0.0189977	0.0144796	0.0169574	0.0167772	0.0158613	0.0151888	0.0212851	0.0114591	0.0124239	0.0134811	0.0132822	0.0097826	0.0118101	0.0103093	0.0112474	0.0068966	0.0064055	0.0105422	0.0100971	0.0070989	0.0062112	0.003408	0.0048807	0.0074038	0.0061019	0.0097538	0.0061511	0.0042863	0.0072583	0.0073375	0.0124481	0.0118977	0.0067218	0.0148048	0.0081418	0.0108835	0.0100768	0.0125628	0.0083333	0.0131492	0.0152542	0.0152439	0.0171149	0.0127389	0.0203991	
