









Frequency of observations in the selected location(s).:
Number of taxa: 	491

	Jan				Feb				Mar				Apr				May				Jun				Jul				Aug				Sep				Oct				Nov				Dec				
Sample Size:	1029.0	742.0	677.0	910.0	684.0	819.0	808.0	672.0	703.0	745.0	922.0	1345.0	1138.0	930.0	1204.0	1220.0	1062.0	1090.0	906.0	1283.0	768.0	699.0	669.0	1038.0	854.0	1032.0	1048.0	1383.0	1131.0	1307.0	1261.0	1710.0	1054.0	896.0	869.0	936.0	695.0	986.0	784.0	878.0	632.0	679.0	765.0	716.0	667.0	595.0	550.0	1185.0	

Dendrocygne veuf	9.718E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Oie à tête barrée	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0013423	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015823	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Oie des neiges	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.174E-4	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Oie cendrée	0.0136054	0.0040431	0.0177253	0.0076923	0.0160819	0.006105	0.0061881	0.0089286	0.0056899	0.0053691	0.0032538	0.0037175	0.0017575	0.0021505	0.0066445	8.197E-4	0.0018832	0.0015	0.0011038	0.0015588	0.0013021	0.0028612	0.0014948	0.0019268	0.0023419	0.003876	9.542E-4	0.0050615	0.0035367	0.0015	0.0	0.0017544	0.0018975	0.0022321	0.0023015	0.0021368	0.0071942	0.0010142	0.0038265	0.0091116	0.0063291	0.0088365	0.0078431	0.0097765	0.0089955	0.0084034	0.0163636	0.0126582	
Oie cygnoïde	0.0048591	0.0053908	0.0	0.0	0.0	0.003663	0.0024752	0.0014881	0.0056899	0.0053691	0.0032538	7.435E-4	8.787E-4	0.0010753	8.306E-4	0.0	0.0	0.0	0.0011038	0.0	0.0	0.0	0.0014948	0.0	0.0	9.69E-4	0.0019084	7.231E-4	0.0017683	0.0	7.93E-4	0.0015	0.0018975	0.0	0.0	0.0010684	0.0	0.0	0.0012755	0.0022779	0.0	0.0014728	0.0013072	0.0013966	0.0	0.0	0.0036364	0.0042194	
Hybride Oie cendrée x O. cygnoïde	0.0	0.0	0.0014771	0.0	0.0	0.0	0.0012376	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Oie rieuse	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0028777	0.0	0.0038265	0.0034169	0.0	0.0014728	0.0169935	0.0069832	0.005997	0.0016807	0.0	0.0	
Oie à bec court	9.718E-4	0.0013477	0.0014771	0.0010989	0.002924	0.010989	0.0061881	0.0074405	0.0042674	0.0053691	0.0	7.435E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0043165	0.015213	0.0140306	0.0056948	0.0094937	0.0029455	0.0013072	0.0013966	0.0	0.0033613	0.0	0.0016878	
