









Frequency of observations in the selected location(s).:
Number of taxa: 	480

	Jan				Feb				Mar				Apr				May				Jun				Jul				Aug				Sep				Oct				Nov				Dec				
Sample Size:	1758.0	1370.0	1460.0	1944.0	1320.0	1038.0	901.0	810.0	688.0	587.0	652.0	1074.0	985.0	789.0	928.0	1043.0	824.0	780.0	615.0	1032.0	747.0	643.0	597.0	908.0	783.0	787.0	882.0	1367.0	961.0	1149.0	1115.0	1358.0	937.0	886.0	916.0	834.0	535.0	798.0	572.0	797.0	604.0	520.0	565.0	702.0	1034.0	924.0	979.0	1753.0	

Oie à tête barrée	0.0	0.0	0.0	0.0010288	0.0	0.0	0.0011099	0.0	0.0	0.0	0.0	0.0	0.0	0.0012674	0.0	0.0	0.0012136	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.315E-4	0.0010406	0.0	8.969E-4	0.0014728	0.0	0.0	0.0	0.0	0.0	0.0	0.0017483	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0010215	0.0	
Oie cendrée	0.0602958	0.059854	0.0657534	0.0730453	0.0386364	0.0366089	0.0432852	0.017284	0.0232558	0.0289608	0.0184049	0.0204842	0.0121827	0.0228137	0.0172414	0.0105465	0.006068	0.0025641	0.0065041	0.004845	0.0026774	0.0031104	0.0050251	0.0055066	0.0	0.0012706	0.0045351	0.0036576	0.0052029	0.0017406	0.0026906	0.0066274	0.0042689	0.0056433	0.0043668	0.0059952	0.011215	0.0175439	0.0332168	0.0351317	0.044702	0.0423077	0.079646	0.0797721	0.0947776	0.0984848	0.1327886	0.0798631	
Oie cygnoïde	5.688E-4	0.0014599	0.0041096	0.0010288	0.0015	9.634E-4	0.0015	0.0012346	0.0014535	0.0015	0.0015	9.311E-4	0.0010152	0.0	0.0021552	0.0019175	0.0012136	0.0	0.001626	9.69E-4	0.0015	0.0015552	0.0015	0.0011013	0.0	0.0015	0.0015	7.315E-4	0.0020812	0.002611	0.0	0.0015	0.0	0.0015	0.0	0.0	0.0018692	0.0	0.0	0.0012547	0.0	0.0015	0.0015	0.0015	0.0015	0.0015	0.0030644	0.0017114	
Hybride Oie cendrée x O. cygnoïde	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0010776	0.0015	0.0012136	0.0015	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0011338	7.315E-4	0.0010406	0.0	0.0	7.364E-4	0.0	0.0	0.0	0.001199	0.0018692	0.0	0.0017483	0.0	0.0	0.0019231	0.0	0.0	9.671E-4	0.0	0.0040858	5.705E-4	
Oie rieuse	0.0045506	7.299E-4	0.0020548	5.144E-4	7.576E-4	0.0038536	0.0033296	0.0	0.0	0.0	0.0	0.0	0.0015	0.0152091	0.0064655	0.0076702	0.0012136	0.0166667	0.001626	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0128205	0.0299807	0.034632	0.0153218	0.0011409	
Oie de toundra	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0176991	0.011396	0.0058027	0.0075758	0.0255363	0.011409	
Oie à bec court	0.003413	0.0029197	0.0034247	0.0036008	0.0015152	0.0	0.0011099	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0018692	0.0	0.0	0.0062735	0.0049669	0.0	0.0035398	0.0	0.0	0.0064935	0.0010215	5.705E-4	
Anser sp. (forme domestique)	0.0011377	0.0029197	0.0020548	0.0010288	0.0030303	0.0	0.0011099	0.0037037	0.0	0.0015	0.0	0.0018622	0.0010152	0.0025349	0.0010776	0.0	0.0012136	0.0012821	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	7.315E-4	0.0010406	0.0017406	0.0	7.364E-4	0.0010672	0.0022573	0.0021834	0.0	0.0018692	0.0037594	0.0	0.0025094	0.0049669	0.0	0.0	0.0	0.0019342	0.0010823	0.0	0.0011409	
Bernache cravant	0.1507395	0.1262774	0.1547945	0.1507202	0.1507576	0.1319846	0.1021088	0.0777778	0.068314	0.0494037	0.0122699	0.0027933	0.0020305	0.0	0.0	9.588E-4	0.0	0.0012821	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0037383	0.0075188	0.034965	0.0100376	0.0215232	0.0403846	0.0672566	0.0754986	0.1402321	0.1493506	0.1695608	0.1431831	
Bernache nonnette	0.0051195	0.0021898	0.0020548	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0012674	0.0021552	9.588E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.703E-4	0.0017937	0.0036819	0.0085379	0.006772	0.0010917	0.0071942	0.0018692	0.0037594	0.0	0.0	0.0	0.0	0.0	0.0014245	9.671E-4	0.0	0.0010215	0.0017114	
Hybride Oie cendrée x Bernache nonnette	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0012706	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Bernache du Canada	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0012346	0.0	0.0	0.0015337	0.0	0.0	0.0	0.0	0.008629	0.0012136	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Hybride Oie cygnoïde x Bernache du Canada	0.0	0.0	6.849E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0017483	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Hybride Oie cendrée x Bernache du Canada	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015552	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
