









Frequency of observations in the selected location(s).:
Number of taxa: 	521

	Jan				Feb				Mar				Apr				May				Jun				Jul				Aug				Sep				Oct				Nov				Dec				
Sample Size:	4897.0	3999.0	3766.0	5596.0	4033.0	4080.0	4615.0	4514.0	4320.0	4544.0	5163.0	8044.0	6749.0	6212.0	7040.0	7761.0	6935.0	6235.0	5658.0	7166.0	4929.0	4745.0	4190.0	5595.0	4312.0	4379.0	4415.0	6225.0	4862.0	5428.0	5470.0	6563.0	3762.0	3669.0	3448.0	4189.0	3135.0	3921.0	3097.0	4383.0	3388.0	3825.0	3236.0	4188.0	3388.0	2897.0	2645.0	5236.0	

Oie à tête barrée	0.0024505	0.0020005	5.311E-4	0.0014296	0.0029755	0.0039216	0.003467	0.0017723	9.259E-4	0.0013204	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.726E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015686	0.0024722	0.0019102	0.0029516	6.904E-4	0.0011342	0.0049656	
Oie des neiges	4.084E-4	2.501E-4	7.966E-4	0.0021444	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.952E-4	0.0	0.0	0.0	0.0	0.0	3.781E-4	1.91E-4	
Oie cendrée	0.0733102	0.0642661	0.0605417	0.0686204	0.0716588	0.0647059	0.0682557	0.0509526	0.0511574	0.0528169	0.0453225	0.0431377	0.0425248	0.0418545	0.0444602	0.0431645	0.0475847	0.0407378	0.0312831	0.0189785	0.0180564	0.0149631	0.0143198	0.0164433	0.0166976	0.0116465	0.016761	0.0162249	0.013369	0.0193441	0.0212066	0.0185891	0.0308347	0.0310711	0.0272622	0.0262593	0.0293461	0.0321347	0.048434	0.0568104	0.0643447	0.0585621	0.0815822	0.0861987	0.1062574	0.0749051	0.0831758	0.0779221	
Oie cygnoïde	0.0012252	0.0025006	0.0018587	0.0010722	9.918E-4	7.353E-4	4.334E-4	8.861E-4	2.315E-4	0.0	1.937E-4	4.973E-4	2.963E-4	4.829E-4	1.42E-4	2.577E-4	1.442E-4	1.604E-4	0.0	0.0	2.029E-4	2.107E-4	2.387E-4	5.362E-4	0.0	4.567E-4	2.265E-4	1.606E-4	2.057E-4	1.842E-4	0.0	0.0	5.316E-4	2.726E-4	2.9E-4	7.162E-4	3.19E-4	7.651E-4	9.687E-4	9.126E-4	0.0035419	0.0015686	0.0024722	0.0011939	0.0026564	0.0013807	0.0030246	0.0032468	
Hybride Oie cendrée x O. cygnoïde	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.952E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Oie rieuse	0.0142945	0.0092523	0.0095592	0.0126876	0.0094223	0.0093137	0.0065005	0.0026584	0.0043981	0.003081	0.0034863	0.0012432	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0016145	9.126E-4	2.952E-4	7.843E-4	0.0040173	0.0126552	0.0177096	0.0113911	0.0177694	0.0101222	
Oie de toundra	8.168E-4	5.001E-4	7.966E-4	0.0012509	2.48E-4	0.0	0.0	0.0	0.0	2.201E-4	9.684E-4	1.243E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.791E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0026564	0.0010356	0.0041588	0.0022918	
Oie à bec court	0.0012252	7.502E-4	0.0015932	5.361E-4	4.959E-4	2.451E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.049E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.952E-4	0.0	3.09E-4	0.002149	0.0032468	6.904E-4	3.781E-4	0.0013369	
Anser sp. (forme domestique)	0.0036757	0.0047512	0.0074349	0.0055397	0.0069427	0.0063725	0.0065005	0.0081967	0.0081019	0.0079225	0.0073601	0.0041024	0.0035561	0.0037025	0.0039773	0.0041232	0.0037491	0.0036889	0.0024744	0.0030701	0.0020288	0.0018967	0.002864	0.0032172	0.0034787	0.0022836	0.0047565	0.0028916	0.0045249	0.0036846	0.002925	0.0047234	0.0055821	0.0038158	0.0063805	0.0093101	0.0066986	0.0063759	0.0074265	0.0093543	0.007379	0.0062745	0.0055624	0.0066858	0.0029516	0.0072489	0.005293	0.0045837	
