









Frequency of observations in the selected location(s).:
Number of taxa: 	448

	Jan				Feb				Mar				Apr				May				Jun				Jul				Aug				Sep				Oct				Nov				Dec				
Sample Size:	1763.0	1417.0	1176.0	1821.0	1277.0	1309.0	1710.0	1475.0	1195.0	1396.0	1571.0	2617.0	2341.0	2103.0	2415.0	2684.0	2437.0	2281.0	2118.0	2206.0	1349.0	1411.0	1157.0	1500.0	1036.0	927.0	961.0	1366.0	1178.0	1121.0	1309.0	1875.0	1006.0	1030.0	1090.0	1342.0	970.0	1274.0	1071.0	1369.0	991.0	1043.0	984.0	1185.0	1233.0	1034.0	1118.0	1613.0	

Dendrocygne veuf	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Oie cendrée	0.0714691	0.0825688	0.085034	0.0873147	0.0845732	0.0947288	0.077193	0.0752542	0.0728033	0.0580229	0.0541057	0.0699274	0.0692012	0.0637185	0.0583851	0.0666915	0.0693476	0.0587462	0.0524079	0.0457842	0.0452187	0.0361446	0.039758	0.0433333	0.034749	0.0507012	0.0301769	0.0424597	0.0322581	0.0365745	0.0511841	0.0389333	0.0487078	0.0601942	0.066055	0.0394933	0.0639175	0.0588697	0.0522876	0.0540541	0.0544904	0.0498562	0.0609756	0.0751055	0.0835361	0.089942	0.078712	0.0805952	
Oie cygnoïde	0.0011344	0.0	8.503E-4	5.491E-4	0.0	7.639E-4	0.0017544	6.78E-4	0.0033473	0.0014327	0.0012731	3.821E-4	0.0012815	9.51E-4	0.0012422	0.0014903	0.0015	0.0	4.721E-4	4.533E-4	0.0	0.0	8.643E-4	0.0	9.653E-4	0.0	0.0031217	0.0	0.0	0.0	0.0	0.0016	0.0	0.0	9.174E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0010163	8.439E-4	0.0016221	9.671E-4	8.945E-4	0.0	
Oie rieuse	0.0	0.0015	0.0	0.0015	0.0	0.0015279	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Oie de toundra	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.087E-4	0.0	0.0	9.653E-4	0.0010787	0.0	7.321E-4	0.0	0.0	0.0	0.0	0.0	9.709E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.588E-4	0.0	0.0	0.0	0.0	0.0	0.0	
Anser sp. (forme domestique)	0.0	0.0	0.0	0.0	7.831E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.921E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.305E-4	0.0	0.0	0.0	0.0	0.0	9.671E-4	0.0	0.0	
Anser sp.	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.365E-4	0.0	0.0	4.755E-4	0.0	3.726E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0010163	0.0	0.0	0.0	8.945E-4	0.0	
Bernache nonnette	0.0011344	0.0	8.503E-4	0.0010983	0.0	0.0015	5.848E-4	6.78E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0025316	0.0015	0.0029014	0.0	0.0012399	
