









Frequency of observations in the selected location(s).:
Number of taxa: 	483

	Jan				Feb				Mar				Apr				May				Jun				Jul				Aug				Sep				Oct				Nov				Dec				
Sample Size:	1778.0	1637.0	1685.0	2486.0	1872.0	2229.0	2065.0	2047.0	2112.0	1848.0	1440.0	2191.0	1410.0	1333.0	1422.0	1680.0	1216.0	1093.0	893.0	1090.0	627.0	614.0	596.0	814.0	763.0	841.0	822.0	1258.0	929.0	935.0	942.0	1200.0	901.0	1022.0	1042.0	1232.0	855.0	1058.0	1175.0	1527.0	1205.0	1245.0	1176.0	1489.0	1235.0	1312.0	1140.0	2034.0	

Oie à tête barrée	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.174E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.452E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Oie cendrée	0.0	0.0	0.0	4.023E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Oie cygnoïde	0.0	0.0	5.935E-4	0.0	0.0	0.0	0.001937	4.885E-4	4.735E-4	5.411E-4	0.0013889	0.0	0.0	0.0	7.032E-4	0.0	8.224E-4	0.0	0.0	9.174E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.452E-4	0.0	6.549E-4	0.0	0.0	0.0	0.0	8.097E-4	7.622E-4	0.0	0.0	
Hybride Oie cendrée x O. cygnoïde	0.0	0.0	5.935E-4	0.0015	0.0	0.0	0.001937	4.885E-4	0.0	5.411E-4	0.0	0.0	0.0	0.0015	7.032E-4	0.0	0.0015	0.0	0.0	0.0027523	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.716E-4	0.0	0.0	0.0	0.0	
Oie rieuse	0.0	0.0012217	0.0017804	8.045E-4	5.342E-4	0.0017945	0.0	4.885E-4	0.0	0.0015	0.0013889	0.0	7.092E-4	0.0	0.0	0.0	8.224E-4	0.0	0.0	9.174E-4	0.0031898	0.0016287	0.0033557	0.0	0.0013106	0.0	0.0	0.0	0.0	0.0	0.0010616	0.0	0.0	0.0	0.0	0.0048701	0.0046784	0.0018904	0.0042553	0.0039293	0.0033195	8.032E-4	0.0	6.716E-4	0.0	0.0	0.0	4.916E-4	
Oie de toundra	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.885E-4	0.0	5.411E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0010616	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Anser sp. (forme domestique)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.916E-4	
Bernache nonnette	0.0	0.0	0.0	0.0	0.0	4.486E-4	0.0	0.0	4.735E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0036855	0.0	0.0011891	0.0	0.0015	0.0	0.0	0.0	0.0	0.0033296	0.0019569	0.0	0.0	0.0	0.0	8.511E-4	0.0	8.299E-4	8.032E-4	0.0	0.0	8.097E-4	0.0	0.0	0.0	
Cygne noir	0.0	0.0	5.935E-4	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	6.944E-4	0.0	0.0	7.502E-4	0.0	5.952E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0010695	0.0	0.0025	0.0	9.785E-4	0.0	0.0	0.0	0.0	0.0015	0.0	0.0015	0.0	0.0	0.0	0.0	7.622E-4	0.0	0.0	
Ouette d'Égypte	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Tadorne casarca	0.1541057	0.1582162	0.1554896	0.1427997	0.1485043	0.1458053	0.1578692	0.1753786	0.1789773	0.1818182	0.1333333	0.1433136	0.1531915	0.168042	0.1385373	0.122619	0.1241776	0.1180238	0.0895857	0.1165138	0.0909091	0.0765472	0.0771812	0.0528256	0.0642202	0.0558859	0.0486618	0.0596184	0.050592	0.0705882	0.0838641	0.0908333	0.0976693	0.1154599	0.1401152	0.1371753	0.1157895	0.1332703	0.147234	0.1669941	0.1543568	0.1799197	0.1505102	0.1806582	0.1433198	0.1516768	0.1333333	0.1238938	
Tadorne de Belon	0.0022497	0.0067196	0.0017804	8.045E-4	0.0	8.973E-4	0.0015	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	8.299E-4	0.0015	8.503E-4	0.0134318	0.005668	0.0091463	0.0070175	0.0029499	
Canard musqué	0.0421822	0.0616982	0.0658754	0.0563154	0.0357906	0.0551817	0.0450363	0.0444553	0.0388258	0.0395022	0.0465278	0.0465541	0.0489362	0.0585146	0.0407876	0.0446429	0.0386513	0.0301921	0.0481523	0.0522936	0.0669856	0.0700326	0.045302	0.0528256	0.0353866	0.039239	0.0450122	0.0429253	0.0322928	0.0352941	0.0435244	0.05	0.0554939	0.0450098	0.0479846	0.0551948	0.0467836	0.0661626	0.0714894	0.0674525	0.0688797	0.0497992	0.0527211	0.0564137	0.0558704	0.0525915	0.0517544	0.0516224	
Canard à collier noir	0.0033746	0.0030544	0.0011869	0.0012068	5.342E-4	0.0017945	0.0024213	0.0024426	0.0018939	5.411E-4	6.944E-4	4.564E-4	0.0	7.502E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0024331	7.949E-4	0.0010764	0.0010695	0.0010616	0.0	0.0022198	0.0029354	0.0	0.0	0.0	0.0	0.0	0.0	0.0024896	8.032E-4	0.0017007	0.0	8.097E-4	0.0030488	0.0061404	0.0049164	
Canard carolin	0.0	0.0	0.0	4.023E-4	0.0	0.0	0.0	0.0	4.735E-4	0.0015	0.0013889	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Canard mandarin	0.0	0.0	0.0	0.0	0.0	4.486E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015949	0.0016287	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0010616	8.333E-4	0.0	0.0	0.0019194	0.0	0.0	0.0	0.0	6.549E-4	0.0	8.032E-4	0.0	0.0	0.0	0.0	0.0	0.0	
Sarcelle d'été	0.0067492	0.0061087	0.0017804	8.045E-4	0.0021368	0.0035891	0.0058111	0.0053737	0.0037879	0.0037879	0.0041667	0.0041077	0.0014184	0.0037509	0.0035162	0.0	0.0	0.0	0.0	0.0091743	0.0015949	0.0	0.0	0.0	0.0	0.0	0.0	0.0015898	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0073052	0.0011696	0.0018904	0.0017021	6.549E-4	0.0016598	0.0024096	0.0042517	0.0013432	0.0032389	0.0022866	0.0052632	0.0024582	
Sarcelle à ailes bleues	0.0011249	0.0018326	0.0053412	0.0040225	0.0053419	0.0040377	0.0048426	0.0034196	0.0023674	0.0037879	0.0020833	0.0013692	7.092E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0068085	0.0072037	0.0033195	0.0048193	0.0042517	0.0026864	8.097E-4	0.0015244	0.0015	0.0058997	
Canard souchet	0.0084364	0.0067196	0.0059347	0.0024135	0.0016026	0.0062808	0.0029056	0.0014656	0.0023674	0.0032468	0.0048611	0.0045641	0.0028369	0.0030008	0.0014065	0.0	0.0	0.0	0.0011198	0.0	0.0015949	0.0	0.0	0.0012285	0.0013106	0.0	0.0	0.0	0.0	0.0010695	0.0	0.0041667	0.0055494	0.0	0.0019194	0.0016234	0.0	9.452E-4	0.0	0.0019646	0.0016598	0.0032129	0.0068027	0.0154466	0.0121457	0.007622	0.0070175	0.0044248	
Canard chipeau	0.0011249	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0012165	0.0015898	0.0032293	0.002139	0.0021231	0.0016667	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0019646	0.0	8.032E-4	8.503E-4	0.0026864	0.0016194	0.0015244	0.0017544	9.833E-4	
Canard siffleur	0.0016873	0.0054979	0.0059347	0.0056315	0.0117521	0.0076267	0.0043584	0.0039082	0.0023674	0.0016234	0.0034722	4.564E-4	0.0	0.0015004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0035088	0.0037807	0.0034043	0.0078585	0.0107884	0.0136546	0.0110544	0.0094023	0.0048583	0.0045732	0.0026316	0.0014749	
Canard à front blanc	0.0	0.0015	0.0	8.045E-4	5.342E-4	0.0	0.0	4.885E-4	4.735E-4	0.0	0.0	0.0041077	0.0056738	0.0030008	0.0021097	5.952E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0011696	0.0018904	0.0	0.0	0.0	8.032E-4	0.0	6.716E-4	0.0016194	0.0015244	0.0	0.0015	
Canard siffleur ou C. à front blanc	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.716E-4	0.0	0.0	0.0	0.0	
Canard colvert	0.0061867	0.0085522	0.0094955	0.0080451	0.0069444	0.0094213	0.0062954	0.0073278	0.0037879	0.0054113	0.0055556	0.0059334	0.0014184	0.0052513	0.0021097	0.002381	0.0	0.0015	0.0	0.0	0.0	0.0015	0.0016779	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.333E-4	0.0	9.785E-4	0.0019194	0.0024351	0.0070175	0.0141777	0.0119149	0.0137525	0.0165975	0.015261	0.0127551	0.0194762	0.0145749	0.0106707	0.0087719	0.0044248	
