









Frequency of observations in the selected location(s).:
Number of taxa: 	599

	Jan				Feb				Mar				Apr				May				Jun				Jul				Aug				Sep				Oct				Nov				Dec				
Sample Size:	5202.0	4044.0	3471.0	5015.0	3321.0	3323.0	3933.0	3833.0	3778.0	3866.0	4384.0	6821.0	5835.0	5714.0	6046.0	7536.0	6168.0	5759.0	4706.0	5805.0	3727.0	3234.0	2962.0	3645.0	2699.0	2587.0	2823.0	3566.0	2517.0	2714.0	3176.0	4273.0	2571.0	2858.0	3482.0	4726.0	2763.0	3577.0	2919.0	3770.0	2572.0	2535.0	2481.0	3199.0	2855.0	2492.0	2276.0	4105.0	

Dendrocygne fauve	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.973E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Oie cendrée	0.0717032	0.068002	0.0584846	0.0646062	0.0677507	0.0686127	0.0645817	0.0717454	0.0704076	0.0835489	0.0855383	0.0904559	0.0868895	0.080329	0.068475	0.0650212	0.0619326	0.061469	0.0516362	0.0547804	0.0423933	0.0306122	0.0340986	0.0293553	0.0351982	0.028218	0.0198371	0.0257992	0.0325785	0.0280029	0.0283375	0.0362743	0.0521198	0.0542337	0.0379092	0.0397799	0.0550127	0.0528376	0.0568688	0.0588859	0.0563764	0.0418146	0.051189	0.0493904	0.0647986	0.0501605	0.0584359	0.0711328	
Oie cygnoïde	3.845E-4	2.473E-4	0.0	0.0	3.011E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.116E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Oie rieuse	0.0	0.0	0.0017286	0.003988	6.022E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.243E-4	0.0019101	0.001275	1.723E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.031E-4	0.0	0.0	0.0	0.0	0.0	
Oie à bec court	1.922E-4	4.946E-4	8.643E-4	0.0	3.011E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Anser sp. (forme domestique)	0.0	0.0	0.0	0.0	0.0015	3.009E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Bernache cravant	0.0013456	2.473E-4	8.643E-4	3.988E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Bernache nonnette	0.0021146	0.0014837	0.0020167	0.0031904	0.0021078	0.0018056	0.001017	0.0026089	0.0013235	0.001552	0.0025091	0.0030787	0.0037704	0.0031502	0.0039696	0.0014597	0.0042153	0.0029519	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0015	3.973E-4	3.685E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.796E-4	0.0010277	0.0	3.888E-4	0.0031558	0.0020153	0.0040638	0.0056042	0.0016051	0.0021968	0.0029233	
Bernache néné	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.092E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Cygne tuberculé	0.0132641	0.0128586	0.0097954	0.0115653	0.0138512	0.0117364	0.0099161	0.007305	0.0119111	0.0129333	0.0155109	0.0165665	0.01491	0.0147007	0.0125703	0.0126062	0.0145914	0.0145859	0.0146621	0.0108527	0.0088543	0.0077304	0.0081026	0.0049383	0.0062986	0.007731	0.0113355	0.0061694	0.0075487	0.008843	0.006927	0.0091271	0.0077791	0.0083975	0.0045951	0.0050783	0.0057908	0.0111826	0.0071942	0.005305	0.0069984	0.0047337	0.0076582	0.004689	0.0126095	0.0120385	0.0087873	0.0119367	
Cygne noir	0.0015	4.946E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	1.736E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	2.653E-4	0.0	0.0	0.0	0.0	7.005E-4	0.0	0.0	0.0	
Cygne de Bewick	0.0015379	2.473E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Cygne chanteur	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.647E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
anatidé sp. (oie sp.)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.327E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Ouette d'Égypte	0.0096117	0.0059347	0.008643	0.0071785	0.0120446	0.0087271	0.0104246	0.009653	0.0103229	0.006984	0.0079836	0.0109955	0.0166238	0.0098005	0.0163745	0.0112792	0.012808	0.0109394	0.0076498	0.0111972	0.0083177	0.0080396	0.007765	0.0068587	0.0070396	0.0065713	0.006022	0.0044868	0.0043703	0.0051584	0.0053526	0.0119354	0.0105018	0.0059482	0.0034463	0.0033855	0.005067	0.0055913	0.0071942	0.0029178	0.0027216	0.0031558	0.0016123	0.0050016	0.008056	0.0076244	0.0070299	0.0109622	
Tadorne casarca	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.466E-4	0.0015	1.75E-4	4.962E-4	0.0	8.106E-4	3.473E-4	2.125E-4	1.723E-4	0.0	0.0	0.0015	5.487E-4	0.0011115	3.865E-4	7.085E-4	0.0030847	7.946E-4	0.0040531	0.0047229	0.0023403	0.0	0.0	0.0	4.232E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.126E-4	0.0	0.0	0.0	0.0	
Tadorne de Belon	0.0813149	0.0689911	0.0668395	0.0775673	0.081903	0.0818537	0.0783117	0.0923559	0.1040233	0.1083808	0.0978558	0.1149392	0.1059126	0.100105	0.0878267	0.0858546	0.0758755	0.0708456	0.0499363	0.0525409	0.0340757	0.0281385	0.0334234	0.0246914	0.0303816	0.0255122	0.0272759	0.0429052	0.0448947	0.0375829	0.0380982	0.0547625	0.058732	0.046536	0.0651924	0.0526873	0.0253348	0.0125804	0.0219253	0.0151194	0.0225505	0.025641	0.0330512	0.0515786	0.0725044	0.0565811	0.0637083	0.0738124	
Canard musqué	0.0044214	0.0039565	0.0025929	0.0033898	0.0036134	0.0042131	0.0038139	0.0020871	0.0013235	0.0010347	0.0015967	0.0020525	0.0015424	0.0026251	0.0026464	0.0025212	9.728E-4	0.0013891	4.25E-4	0.0012059	0.0024148	0.0015461	0.0020257	0.0016461	0.0029641	0.0011596	0.0	0.0016826	0.0023838	0.0011054	0.0012594	0.0011701	0.0015	6.998E-4	5.744E-4	2.116E-4	0.0010858	5.591E-4	6.852E-4	0.0018568	0.0027216	0.0023669	0.0012092	0.0012504	7.005E-4	0.0024077	0.0039543	0.0021924	
Canard à collier noir	0.0	0.0	2.881E-4	0.0	0.0	0.0	2.543E-4	0.0	0.0	0.0	2.281E-4	1.466E-4	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.116E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	
