









Frequency of observations in the selected location(s).:
Number of taxa: 	437

	Jan				Feb				Mar				Apr				May				Jun				Jul				Aug				Sep				Oct				Nov				Dec				
Sample Size:	2978.0	2716.0	2941.0	3322.0	2336.0	2488.0	2946.0	3601.0	2906.0	2883.0	2888.0	4673.0	4199.0	5040.0	5194.0	6640.0	4828.0	4090.0	3613.0	4058.0	2820.0	2394.0	2008.0	2277.0	1688.0	1397.0	1547.0	2344.0	1725.0	1805.0	1691.0	2442.0	1826.0	1842.0	1833.0	2237.0	1750.0	2092.0	1741.0	2249.0	1901.0	1933.0	1804.0	2234.0	2211.0	1830.0	1625.0	2965.0	

Émeu d'Australie	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Oie à tête barrée	3.358E-4	0.0011046	0.0010201	3.01E-4	8.562E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Oie cendrée	0.0319006	0.0401325	0.0510031	0.0358218	0.0273973	0.0265273	0.0162933	0.0102749	0.0113558	0.0079778	0.0069252	0.0100578	0.0066683	0.010119	0.0057759	0.0079819	0.009942	0.008313	0.0063659	0.0059142	0.0085106	0.0079365	0.0129482	0.0149319	0.0100711	0.027917	0.021978	0.0183447	0.0231884	0.0227147	0.0230633	0.0151515	0.0158817	0.0206298	0.0136388	0.0102816	0.0194286	0.0205545	0.0218265	0.0253446	0.027354	0.0248319	0.039357	0.0407341	0.0511081	0.0387978	0.0344615	0.0418212	
Oie cygnoïde	0.0013432	7.364E-4	6.8E-4	9.031E-4	4.281E-4	0.0015	0.0010183	8.331E-4	6.882E-4	6.937E-4	0.0017313	0.0	0.0	1.984E-4	1.925E-4	7.53E-4	4.143E-4	2.445E-4	2.768E-4	0.0	3.546E-4	0.0	0.0	0.0	0.0	7.158E-4	0.0	4.266E-4	5.797E-4	0.0	0.0	4.095E-4	0.0	0.0015	0.0	0.0	0.0011429	0.0	5.744E-4	0.0	5.26E-4	0.0	0.0	4.476E-4	9.046E-4	0.0	0.0	3.373E-4	
Hybride Oie cendrée x O. cygnoïde	0.0010074	0.0029455	0.0013601	0.0021072	0.0012842	0.0016077	0.0010183	0.0019439	0.0037853	0.0027749	0.0027701	0.001498	7.145E-4	5.952E-4	9.626E-4	7.53E-4	0.0014499	0.001467	0.0011071	0.0022178	0.0014184	0.0033417	0.0015	0.0015	0.0023697	0.0014316	6.464E-4	4.266E-4	0.0017391	5.54E-4	0.0	4.095E-4	0.0010953	0.0016287	0.0032733	0.0013411	0.0028571	0.0043021	0.0022975	0.0022232	0.0015781	0.0010347	0.0027716	0.0017905	0.0013569	0.0021858	0.0030769	0.0013491	
Oie rieuse	0.0047011	0.0051546	0.0064604	0.0030102	8.562E-4	4.019E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.446E-4	0.0	0.0020693	0.0033259	0.0022381	0.0045228	0.0032787	0.0036923	0.0037099	
Oie de toundra	0.001679	0.0022091	6.8E-4	0.0015051	0.0012842	8.039E-4	3.394E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.476E-4	0.0040706	0.0021858	0.0018462	3.373E-4	
Oie à bec court	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.523E-4	0.0	0.0	0.0020236	
