









Frequency of observations in the selected location(s).:
Number of taxa: 	587

	Jan				Feb				Mar				Apr				May				Jun				Jul				Aug				Sep				Oct				Nov				Dec				
Sample Size:	2935.0	2093.0	2017.0	2804.0	1988.0	1925.0	2160.0	2169.0	2013.0	1768.0	2246.0	3127.0	2539.0	2220.0	2503.0	2959.0	2649.0	2686.0	2465.0	3450.0	2075.0	2228.0	1968.0	2547.0	1867.0	2325.0	2275.0	3310.0	2519.0	3054.0	3158.0	4637.0	2827.0	2503.0	2298.0	2765.0	1830.0	2289.0	1641.0	2390.0	1822.0	1662.0	1655.0	2154.0	1800.0	1796.0	1503.0	3232.0	

Dendrocygne à ventre noir	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.396E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.352E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Oie des neiges	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Oie cendrée	0.0051107	0.0095557	0.0064452	0.0074893	0.0045272	0.0051948	0.0032407	0.0064546	0.0029806	0.0022624	0.0013357	0.0022386	0.0019693	0.0013514	7.99E-4	3.38E-4	0.0011325	0.0011169	0.0020284	0.0023188	0.0014458	0.0022442	0.0045732	0.0023557	0.0016069	0.0012903	8.791E-4	3.021E-4	3.97E-4	0.0013098	9.5E-4	6.47E-4	3.537E-4	0.0011986	0.0013055	0.0014467	0.0065574	0.0087374	0.0048751	0.0037657	0.0043908	0.0078219	0.0096677	0.0041783	0.0088889	0.0083519	0.0033267	0.0064975	
Oie cygnoïde	0.0013629	4.778E-4	9.916E-4	0.0014265	0.0015091	0.0020779	0.0037037	0.0013831	0.0024839	0.0016968	0.0017809	0.001599	0.0011816	9.009E-4	3.995E-4	6.759E-4	0.0	3.723E-4	8.114E-4	5.797E-4	4.819E-4	8.977E-4	0.0010163	3.926E-4	0.0010712	8.602E-4	4.396E-4	6.042E-4	0.0	0.0016372	6.333E-4	4.313E-4	7.075E-4	0.0011986	0.0	7.233E-4	0.0021858	0.0013106	0.0030469	0.0041841	0.0010977	0.0042118	0.0012085	0.0013928	0.0011111	5.568E-4	6.653E-4	0.0	
Hybride Oie cendrée x O. cygnoïde	6.814E-4	0.0	0.0	0.0010699	0.0	5.195E-4	0.0	0.0	0.0	0.0	0.0	3.198E-4	0.0	0.0	0.0	3.38E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.926E-4	0.0	4.301E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0017406	3.617E-4	5.464E-4	8.737E-4	0.0018282	8.368E-4	0.0010977	0.0015	6.042E-4	0.0	0.0	5.568E-4	0.0	0.0	
Oie rieuse	0.0034072	0.0062112	0.0094199	0.0085592	0.0025151	0.0031169	0.0023148	0.0027663	4.968E-4	5.656E-4	4.452E-4	9.594E-4	0.0023631	0.0022523	0.0	6.759E-4	0.0	0.0	0.001217	0.0	0.0	8.977E-4	0.0	0.0	5.356E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0017687	0.0015981	0.0021758	0.001085	0.0038251	0.0017475	0.0030469	0.007113	0.0065862	0.0054152	0.0163142	0.0046425	0.0083333	0.002784	6.653E-4	0.0021658	
Oie de taïga	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.926E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Oie à bec court	0.007155	0.0114668	0.0114031	0.0085592	0.0030181	0.0051948	0.0055556	0.0078377	0.0034774	0.0022624	0.0040071	0.0044771	0.0031508	9.009E-4	3.995E-4	0.0010139	0.00151	0.0011169	4.057E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.703E-4	0.0014467	0.0043716	0.0021844	0.0024375	0.0050209	0.0065862	0.0084236	0.0132931	0.0069638	0.005	0.0089087	0.003992	0.0095916	
Anser sp. (forme domestique)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.995E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.653E-4	0.0	
Anser sp.	0.0	0.0	4.958E-4	3.566E-4	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.369E-4	0.0	4.184E-4	0.0	0.0	0.0012085	4.643E-4	0.0	0.0	0.0	0.0	
Bernache cravant	0.0109029	0.0062112	0.013882	0.0064194	0.0025151	0.0046753	0.0078704	0.0050715	0.0014903	0.0033937	4.452E-4	6.396E-4	0.0	0.0015	3.995E-4	0.0013518	0.0	0.0	4.057E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	4.396E-4	0.0	0.0	0.0	0.0	0.0	0.0	3.995E-4	0.0015	0.0028933	0.0092896	0.00699	0.0042657	0.007113	0.0093304	0.0066185	0.0060423	0.0125348	0.0194444	0.0100223	0.0186294	0.0139233	
Bernache nonnette	3.407E-4	4.778E-4	4.958E-4	3.566E-4	0.0020121	0.001039	9.259E-4	0.0	4.968E-4	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.081E-4	3.926E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001085	0.0038251	0.0043687	0.0012188	0.0041841	0.0016465	0.0018051	0.0	0.0027855	0.0044444	0.002784	0.001996	0.001547	
Hybride Oie cendrée x Bernache nonnette	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0012034	0.0012085	0.0	0.0	0.0	0.0	0.0	
