









Frequency of observations in the selected location(s).:
Number of taxa: 	434

	Jan				Feb				Mar				Apr				May				Jun				Jul				Aug				Sep				Oct				Nov				Dec				
Sample Size:	966.0	901.0	949.0	1252.0	778.0	781.0	808.0	809.0	658.0	778.0	770.0	1345.0	1191.0	1013.0	1107.0	1371.0	1193.0	1055.0	933.0	1163.0	826.0	732.0	641.0	741.0	485.0	509.0	401.0	586.0	464.0	441.0	377.0	536.0	487.0	566.0	568.0	701.0	653.0	682.0	570.0	904.0	624.0	619.0	587.0	794.0	604.0	638.0	590.0	1093.0	

Oie cendrée	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Oie cygnoïde	0.0031056	0.0022198	0.0	0.0031949	0.0025707	0.0051216	0.0012376	0.0037083	0.0015198	0.003856	0.0012987	0.0022305	0.0033585	0.0039487	0.0036134	0.0014588	0.0016764	0.0018957	0.0	0.0025795	0.0012107	0.0	0.0015601	0.0026991	0.0	0.0019646	0.0	0.0	0.0021552	0.0090703	0.0026525	0.0	0.0	0.0035336	0.0035211	0.0014265	0.0030628	0.0014663	0.0052632	0.0033186	0.0032051	0.0048465	0.0034072	0.0025189	0.0049669	0.0047022	0.0033898	0.0054895	
Hybride Oie cendrée x O. cygnoïde	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.396E-4	9.872E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015314	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Oie rieuse	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0123997	0.0033529	0.0	0.0	8.598E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Bernache cravant	0.0010352	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0016556	0.0031348	0.0101695	0.0036597	
Bernache nonnette	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Céréopse cendré	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0052045	8.396E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Cyanoie à ailes bleues	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015198	0.0	0.0	0.0052045	0.0025189	0.0019743	0.00271	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
