









Frequency of observations in the selected location(s).:
Number of taxa: 	438

	Jan				Feb				Mar				Apr				May				Jun				Jul				Aug				Sep				Oct				Nov				Dec				
Sample Size:	3864.0	3127.0	2842.0	4603.0	3434.0	3365.0	4098.0	3882.0	3224.0	3741.0	3894.0	6051.0	4645.0	4175.0	4457.0	5350.0	4090.0	4176.0	3929.0	4935.0	3124.0	3050.0	2656.0	2986.0	2279.0	2142.0	1887.0	2703.0	1938.0	1834.0	1908.0	3098.0	2248.0	2323.0	2238.0	2849.0	2243.0	2451.0	2259.0	3172.0	2366.0	2482.0	2362.0	3238.0	2514.0	2281.0	2184.0	3980.0	

Oie à tête barrée	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.653E-4	0.0	0.0	0.0	0.0	0.0	0.0	2.545E-4	0.0	0.0	0.0	0.0	6.698E-4	0.0	0.0	0.0	0.0	0.0	0.0	5.241E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Oie cendrée	0.0067288	0.0086345	0.0109078	0.0167282	0.0168899	0.0115899	0.0082967	0.0059248	0.0074442	0.0077519	0.0071905	0.0061147	0.0019376	0.0014371	6.731E-4	3.738E-4	7.335E-4	0.0	0.0	2.026E-4	3.201E-4	0.0	0.001506	6.698E-4	4.388E-4	0.0	0.0	0.0	0.0	0.0015	0.0	3.228E-4	4.448E-4	0.0	4.468E-4	0.0015	4.458E-4	0.001632	0.001328	3.153E-4	4.227E-4	0.0012087	0.0038103	0.0058678	0.0067621	0.0048224	0.0054945	0.0067839	
Oie cygnoïde	2.588E-4	0.0	7.037E-4	2.172E-4	0.0	0.0	0.0	2.576E-4	3.102E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.545E-4	0.0	0.0	0.0	3.765E-4	3.349E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.228E-4	0.0	0.0012914	4.468E-4	3.51E-4	4.458E-4	0.0	0.0	0.0	0.0	4.029E-4	0.0	3.088E-4	0.0011933	0.0	0.0	0.0	
Hybride Oie cendrée x O. cygnoïde	0.0	3.198E-4	7.037E-4	6.517E-4	0.0011648	2.972E-4	0.0	0.0	3.102E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.029E-4	0.0	0.0	0.0	4.384E-4	4.579E-4	0.0	
Anser sp. (forme domestique)	0.0067288	0.0041573	0.0066854	0.004345	0.0043681	0.0035661	0.0056125	0.003864	0.0040323	0.0045442	0.0053929	0.0034705	0.003014	0.0028743	0.0020193	0.0052336	0.0041565	0.0023946	7.636E-4	0.0016211	0.0022407	0.0016393	0.0033886	0.0020094	0.0035103	0.003268	0.0031797	0.0022198	0.001548	0.0010905	0.0036688	0.0029051	0.0035587	0.0055962	0.0062556	0.005265	0.00535	0.003672	0.0048694	0.0025221	0.0029586	0.0032232	0.0029636	0.003706	0.0063644	0.0030688	0.0041209	0.0040201	
Anser sp.	5.176E-4	0.0	0.0	2.172E-4	0.0	5.944E-4	2.44E-4	0.0	3.102E-4	2.673E-4	2.568E-4	4.958E-4	2.153E-4	7.186E-4	0.0	5.607E-4	2.445E-4	4.789E-4	0.0	2.026E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.227E-4	0.0	0.0	6.177E-4	7.955E-4	0.0	0.0022894	7.538E-4	
Bernache cravant	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.653E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Bernache nonnette	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.244E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Hybride Bernache nonnette x B. de Hutchins	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.576E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Bernache du Canada	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0040904	4.79E-4	4.487E-4	1.869E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.305E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Hybride Bernache nonnette x B. du Canada	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.152E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.349E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
bernache sp.	0.0	0.0	0.0	0.0	0.0	2.972E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.244E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Cygne tuberculé	0.0067288	0.0047969	0.005278	0.0056485	0.008445	0.0062407	0.0046364	0.0059248	0.0074442	0.0058808	0.0033385	0.0036358	0.0032293	0.0031138	0.0047117	0.0071028	0.007824	0.0055077	0.00789	0.0048632	0.0073624	0.0081967	0.0067771	0.0080375	0.0065818	0.003268	0.0084791	0.0051794	0.0067079	0.0070883	0.0057652	0.010652	0.0062278	0.0025829	0.0040214	0.004212	0.0049041	0.004896	0.0097388	0.0034678	0.001268	0.0036261	0.0038103	0.0043237	0.0039777	0.0056993	0.0032051	0.0047739	
Cygne noir	5.176E-4	6.396E-4	7.037E-4	0.0010862	2.912E-4	8.915E-4	4.88E-4	7.728E-4	0.0012407	0.0018712	0.0028249	6.61E-4	4.306E-4	0.0016766	0.0015706	0.0031776	0.001467	0.0011973	5.09E-4	6.079E-4	0.0016005	0.0029508	0.001506	0.0023443	0.0017552	0.0014006	0.0015	7.399E-4	0.00258	0.0059978	0.0020964	0.0015	0.0	0.0015	0.0015	3.51E-4	0.0	0.0	0.0	3.153E-4	0.0	4.029E-4	0.0	0.0	0.0	0.0	0.0	0.0	
