









Frequency of observations in the selected location(s).:
Number of taxa: 	439

	Jan				Feb				Mar				Apr				May				Jun				Jul				Aug				Sep				Oct				Nov				Dec				
Sample Size:	1439.0	1412.0	1237.0	1596.0	1152.0	1186.0	1371.0	1465.0	1349.0	1468.0	1378.0	1985.0	1659.0	1627.0	1702.0	2050.0	1696.0	1810.0	1622.0	2075.0	1509.0	1424.0	1178.0	1386.0	1063.0	960.0	1040.0	1695.0	1239.0	1198.0	1462.0	2529.0	1244.0	1438.0	1499.0	1699.0	1237.0	1659.0	1629.0	2503.0	1143.0	1047.0	975.0	1236.0	889.0	912.0	955.0	1321.0	

Oie cendrée	0.0243224	0.0269122	0.0282943	0.0244361	0.0182292	0.029511	0.0196937	0.021843	0.0192735	0.0129428	0.0152395	0.0191436	0.0295359	0.0276583	0.0217391	0.0195122	0.0165094	0.0138122	0.0117139	0.0139759	0.0092777	0.0098315	0.0093379	0.0122655	0.0037629	0.0083333	0.0048077	0.0035398	0.008071	0.0041736	0.006156	0.004745	0.0040193	0.0062587	0.0053369	0.0123602	0.0064673	0.0096444	0.0110497	0.0143827	0.0262467	0.0133715	0.0123077	0.0210356	0.0269966	0.0252193	0.0272251	0.0204391	
Oie cygnoïde	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.875E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.039E-4	0.0	6.671E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0010965	0.0	0.0	
Oie rieuse	0.0	7.082E-4	0.004042	0.0012531	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.038E-4	6.028E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Oie de toundra	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0017626	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Oie de taïga ou O. de toundra	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.028E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Anser sp. (forme domestique)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.886E-4	8.084E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Anser sp.	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0011249	0.0	0.0	0.0	
Bernache cravant	0.0	0.0	0.0	6.266E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
