









Frequency of observations in the selected location(s).:
Number of taxa: 	529

	Jan				Feb				Mar				Apr				May				Jun				Jul				Aug				Sep				Oct				Nov				Dec				
Sample Size:	1803.0	1251.0	2458.0	1789.0	1279.0	1243.0	1390.0	1375.0	1220.0	1329.0	1588.0	2270.0	1933.0	1690.0	1613.0	1992.0	1619.0	1503.0	1369.0	1879.0	1159.0	1183.0	1027.0	1389.0	1080.0	1109.0	1108.0	1633.0	1123.0	1285.0	1346.0	1615.0	1141.0	1171.0	1032.0	1276.0	1036.0	1252.0	1096.0	1442.0	1223.0	1083.0	991.0	1180.0	1000.0	1026.0	842.0	1697.0	

Oie à tête barrée	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.197E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.001506	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	9.025E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Oie cendrée	0.0582363	0.0551559	0.0207486	0.0491895	0.0461298	0.0643604	0.0532374	0.0734545	0.0418033	0.0579383	0.0428212	0.0431718	0.0413864	0.0544379	0.0471172	0.0376506	0.0333539	0.0266134	0.0343316	0.0175625	0.0353753	0.0278952	0.0399221	0.0475162	0.05	0.0405771	0.0361011	0.0404164	0.0373998	0.0396887	0.0601783	0.0563467	0.0464505	0.0623399	0.0348837	0.049373	0.0540541	0.0527157	0.0520073	0.0596394	0.0842191	0.0831025	0.0787084	0.0669492	0.062	0.0672515	0.0570071	0.0589275	
Oie cygnoïde	0.0027732	0.0023981	0.0012205	0.0050307	0.0039093	0.003218	0.0014388	0.0029091	0.0057377	0.0022573	6.297E-4	0.0039648	0.0020693	0.0017751	0.0018599	0.003012	0.001853	0.003992	0.0043828	0.0021288	0.0025884	0.0050719	0.0019474	0.0050396	0.0027778	0.0027051	0.0036101	0.0036742	0.0017809	0.0031128	0.0037147	0.0024768	0.0043821	0.0042699	0.0	0.0023511	9.653E-4	0.0015974	9.124E-4	6.935E-4	0.0016353	0.0055402	0.0070636	0.0050847	0.007	0.0019493	0.0106888	0.0053035	
Oie rieuse	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0030998	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.177E-4	0.0	0.0010091	0.0	0.0	0.0	0.0011876	0.0017678	
Oie à bec court	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.917E-4	0.0074396	0.001004	0.0030883	0.0	7.305E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.837E-4	0.0028958	0.0047923	0.0	0.0	0.0	0.0	0.0010091	8.475E-4	0.0	0.0	0.0	0.0	
Anser sp. (forme domestique)	0.0	0.0	4.068E-4	0.0	0.0	0.0	7.194E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.305E-4	0.0010644	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.124E-4	0.0	0.0	0.0	0.0	0.0016949	0.0	0.0	0.0	0.0	
Anser sp.	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	
Bernache cravant	0.0094287	0.0055955	0.0056957	0.0022359	0.0062549	0.006436	0.0079137	0.0014545	0.002459	0.0	6.297E-4	0.0	5.173E-4	0.0	0.0012399	0.0	0.0	6.653E-4	7.305E-4	0.0015966	0.0043141	0.0	0.0	0.0	0.0	0.0	0.0	6.124E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0019305	0.0047923	0.0018248	0.0062413	0.0040883	0.0055402	0.0070636	0.0127119	0.014	0.0097466	0.0047506	0.0035357	
Bernache nonnette	0.0	0.0	0.0	0.0011179	0.0	8.045E-4	7.194E-4	0.0	8.197E-4	0.0	0.0	0.0030837	0.0010347	5.917E-4	0.0	0.0015	0.001853	0.0	7.305E-4	0.0021288	0.0025884	0.0050719	9.737E-4	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004562	0.0124827	0.0114473	0.0018467	0.0020182	8.475E-4	0.001	0.0	0.0	5.893E-4	
Hybride Oie cendrée x Bernache nonnette	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	9.025E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Bernache du Canada	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0052671	6.297E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Hybride Bernache nonnette x B. du Canada	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.124E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
bernache sp.	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.025E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Cygne tuberculé	0.0793123	0.0527578	0.0301058	0.0681945	0.0727131	0.0836685	0.0697842	0.0850909	0.0991803	0.0880361	0.081864	0.0907489	0.0832902	0.0733728	0.0781153	0.0742972	0.0778258	0.0678643	0.0796202	0.0862161	0.0871441	0.0743872	0.0817916	0.0907127	0.075	0.0784491	0.0866426	0.0808328	0.1032947	0.1058366	0.0958395	0.0693498	0.0683611	0.0623399	0.0755814	0.0501567	0.0569498	0.0543131	0.0428832	0.038835	0.050695	0.0360111	0.0443996	0.0466102	0.067	0.0682261	0.0475059	0.0542133	
Cygne noir	0.0066556	7.994E-4	0.0032547	0.0050307	0.0031274	0.001609	0.0014388	0.0029091	0.002459	0.0022573	0.0012594	4.405E-4	0.001552	0.0035503	0.0012399	5.02E-4	0.0015	0.0013307	0.0021914	0.0031932	0.0112166	8.453E-4	0.0015	7.199E-4	0.0018519	0.0	0.0	6.124E-4	0.0026714	7.782E-4	0.0014859	6.192E-4	0.0017528	0.0017079	9.69E-4	7.837E-4	9.653E-4	0.0015974	0.0036496	0.0027739	0.0016353	0.0036934	0.0030272	0.0025424	0.006	0.0048733	0.0071259	0.0035357	
Cygne chanteur	0.0055463	0.0079936	0.004882	0.0067077	0.0039093	8.045E-4	0.0021583	7.273E-4	0.0016393	0.0015	0.0025189	4.405E-4	5.173E-4	0.0011834	0.0012399	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0048544	0.0155356	0.0073869	0.0100908	0.0135593	0.012	0.005848	0.0023753	0.0029464	
cygne sp.	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015049	0.0	0.0	0.0	5.917E-4	0.0	5.02E-4	6.177E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.124E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.837E-4	9.653E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.747E-4	0.0011876	5.893E-4	
Ouette d'Égypte	0.0033278	0.0039968	0.0077299	0.0089435	0.005473	0.0024135	0.0035971	0.0029091	0.0032787	0.0037622	6.297E-4	0.0017621	0.0010347	0.0	0.0018599	0.001004	0.0	0.0015	0.0	0.0015966	0.0	0.0025359	9.737E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.429E-4	0.0018576	8.764E-4	0.0	0.001938	0.0023511	9.653E-4	7.987E-4	0.0027372	0.001387	0.0016353	9.234E-4	0.0020182	8.475E-4	0.0	0.0097466	0.0035629	0.0053035	
Tadorne casarca	0.0	7.994E-4	0.0	0.0	0.0015	0.0072405	0.0064748	0.0058182	0.002459	0.0022573	0.0012594	0.0013216	0.001552	0.0	0.0012399	0.0	6.177E-4	6.653E-4	0.0	0.0	0.0	8.453E-4	0.0019474	0.0028798	9.259E-4	9.017E-4	0.0027076	0.0036742	8.905E-4	0.0023346	0.0066865	0.0043344	8.764E-4	8.54E-4	0.001938	0.0039185	9.653E-4	0.0	9.124E-4	0.0	0.0032706	9.234E-4	0.0010091	8.475E-4	0.001	0.0	0.0	5.893E-4	
Tadorne de Belon	0.0194121	0.011191	0.0044752	0.0050307	0.0109461	0.0112631	0.0079137	0.0021818	0.002459	0.0	6.297E-4	0.0048458	0.0082773	0.0071006	0.0142591	0.0070281	0.005559	0.001996	0.0043828	0.0058542	0.0017256	0.0	0.0	0.0035997	0.0157407	0.0261497	0.032491	0.0422535	0.0391808	0.033463	0.038633	0.0210526	0.0131464	0.0341588	0.0145349	0.0086207	0.007722	0.0079872	0.0036496	0.0020804	0.007359	0.0221607	0.0353179	0.0330508	0.007	0.0077973	0.0190024	0.0147319	
