









Frequency of observations in the selected location(s).:
Number of taxa: 	338

	Jan				Feb				Mar				Apr				May				Jun				Jul				Aug				Sep				Oct				Nov				Dec				
Sample Size:	252.0	269.0	158.0	254.0	194.0	191.0	220.0	205.0	205.0	219.0	216.0	403.0	274.0	309.0	400.0	379.0	320.0	328.0	266.0	317.0	205.0	253.0	209.0	280.0	190.0	134.0	162.0	239.0	200.0	243.0	255.0	232.0	167.0	155.0	161.0	172.0	161.0	246.0	179.0	237.0	178.0	175.0	151.0	187.0	190.0	142.0	157.0	357.0	

Oie cendrée	0.015873	0.0015	0.0063291	0.007874	0.0	0.0209424	0.0136364	0.0	0.004878	0.0045662	0.0	0.0024814	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0111732	0.0042194	0.011236	0.0171429	0.0198675	0.0053476	0.0263158	0.0	0.0127389	0.0084034	
Oie cygnoïde	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0062112	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Oie rieuse	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Bernache nonnette	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Cygne tuberculé	0.0515873	0.0260223	0.0759494	0.0393701	0.0824742	0.0942408	0.0727273	0.0146341	0.0341463	0.0136986	0.0324074	0.0099256	0.0182482	0.0226537	0.02	0.0263852	0.015625	0.0213415	0.0112782	0.0157729	0.0195122	0.0079051	0.0287081	0.0392857	0.0157895	0.0298507	0.037037	0.0209205	0.005	0.0041152	0.0078431	0.0431034	0.0299401	0.0322581	0.0248447	0.0697674	0.0372671	0.0284553	0.0223464	0.0379747	0.0505618	0.0342857	0.0662252	0.1016043	0.0105263	0.0211268	0.0318471	0.0252101	
Cygne noir	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0053476	0.0	0.0	0.0	0.0	
Tadorne casarca	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004878	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Tadorne de Belon	0.0079365	0.0148699	0.0316456	0.007874	0.0051546	0.0209424	0.0045455	0.0	0.0	0.0136986	0.0277778	0.0	0.0072993	0.0064725	0.0015	0.0026385	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0105263	0.0	0.0	0.0	0.015	0.0246914	0.0196078	0.0043103	0.005988	0.0129032	0.0434783	0.0232558	0.0186335	0.0081301	0.0	0.0	0.0	0.0	0.0	0.0160428	0.0015	0.0	0.0127389	0.0168067	
Canard musqué	0.0436508	0.0297398	0.0379747	0.0275591	0.056701	0.0471204	0.0272727	0.0195122	0.0292683	0.0136986	0.0185185	0.0248139	0.0072993	0.0097087	0.02	0.0131926	0.009375	0.0121951	0.0037594	0.0126183	0.0292683	0.0118577	0.0143541	0.0178571	0.0105263	0.0223881	0.0246914	0.0083682	0.01	0.0041152	0.0156863	0.0172414	0.005988	0.0064516	0.0124224	0.0290698	0.0310559	0.0243902	0.027933	0.0253165	0.0505618	0.0342857	0.0397351	0.0320856	0.0157895	0.0211268	0.0191083	0.022409	
Canard à collier noir	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Canard carolin	0.0	0.0037175	0.0	0.003937	0.0	0.0	0.0272727	0.0	0.0195122	0.0091324	0.0	0.0024814	0.0	0.0032362	0.0	0.0	0.0	0.0060976	0.018797	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0053476	0.0	0.0	0.0	0.0112045	
Canard mandarin	0.0	0.0037175	0.0	0.0015	0.0	0.0	0.0272727	0.0	0.0243902	0.0091324	0.0046296	0.0	0.0	0.0032362	0.0	0.0	0.0	0.0030488	0.0	0.0015	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005618	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Sarcelle d'été	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0136986	0.037037	0.0223325	0.0255474	0.0194175	0.01	0.0105541	0.0	0.0	0.0	0.0	0.004878	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0041152	0.0078431	0.0043103	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Canard souchet	0.0595238	0.0892193	0.0759494	0.0866142	0.0463918	0.0680628	0.0636364	0.0926829	0.0585366	0.086758	0.1111111	0.0694789	0.0766423	0.0517799	0.0275	0.0131926	0.009375	0.0121951	0.0075188	0.0031546	0.004878	0.0039526	0.0	0.0	0.0	0.0074627	0.0	0.0125523	0.035	0.0246914	0.0196078	0.0732759	0.0598802	0.0967742	0.068323	0.0930233	0.0869565	0.0650407	0.0446927	0.0843882	0.0617978	0.0685714	0.1192053	0.1336898	0.0789474	0.0633803	0.0382166	0.0560224	
Canard chipeau	0.031746	0.0260223	0.0506329	0.0472441	0.056701	0.0575916	0.0545455	0.0634146	0.0439024	0.0319635	0.0185185	0.0148883	0.0145985	0.0161812	0.005	0.005277	0.0125	0.0060976	0.0112782	0.0	0.0	0.0079051	0.0095694	0.0035714	0.0052632	0.0074627	0.0061728	0.0125523	0.025	0.0164609	0.0078431	0.0431034	0.0419162	0.0387097	0.0372671	0.0755814	0.0186335	0.0243902	0.0223464	0.021097	0.0337079	0.0342857	0.0198675	0.0588235	0.0210526	0.028169	0.0191083	0.0084034	
Canard siffleur	0.0039683	0.0111524	0.0126582	0.007874	0.0051546	0.0157068	0.0136364	0.0292683	0.0243902	0.0182648	0.0138889	0.0099256	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0062112	0.0162602	0.0055866	0.0	0.0	0.0514286	0.0331126	0.0320856	0.0210526	0.0140845	0.0127389	0.0084034	
Canard colvert	0.4206349	0.3866171	0.4810127	0.4527559	0.4587629	0.539267	0.5272727	0.4878049	0.502439	0.5525114	0.5138889	0.4640199	0.5072993	0.4595469	0.4125	0.3852243	0.415625	0.3384146	0.3721805	0.2870662	0.3317073	0.2411067	0.2966507	0.2678571	0.2684211	0.2238806	0.2777778	0.3807531	0.335	0.3580247	0.3411765	0.4698276	0.5508982	0.5935484	0.5217391	0.5116279	0.4906832	0.4634146	0.424581	0.5189873	0.5224719	0.5657143	0.5033113	0.5240642	0.4105263	0.443662	0.4076433	0.3893557	
Hybride Canard musqué x C. colvert	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0041841	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Canard des Bahamas	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0064516	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Canard pilet	0.0079365	0.0015	0.0063291	0.011811	0.0206186	0.0	0.0090909	0.0015	0.0097561	0.0273973	0.0138889	0.0148883	0.0072993	0.0064725	0.005	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.005988	0.0129032	0.0	0.005814	0.0	0.0081301	0.0	0.0295359	0.0337079	0.0285714	0.0397351	0.026738	0.0105263	0.0070423	0.0	0.0056022	
Canard à queue pointue	0.0	0.0	0.0	0.0	0.0	0.0052356	0.0	0.0	0.004878	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Sarcelle d'hiver	0.0873016	0.0446097	0.1075949	0.1023622	0.0721649	0.0628272	0.0363636	0.0829268	0.0926829	0.0913242	0.0787037	0.0496278	0.0437956	0.012945	0.01	0.0211082	0.00625	0.0	0.0037594	0.0031546	0.0	0.0	0.0	0.0	0.0105263	0.0	0.0	0.0041841	0.005	0.0329218	0.0352941	0.0646552	0.1257485	0.116129	0.1428571	0.1104651	0.1118012	0.0934959	0.0558659	0.1181435	0.1011236	0.0971429	0.1059603	0.1604278	0.0842105	0.056338	0.1019108	0.0868347	
anatidé sp. (canard barboteur sp.)	0.0	0.0	0.0	0.003937	0.0	0.0	0.0015	0.0	0.0015	0.0045662	0.0	0.0	0.0036496	0.0	0.0	0.0026385	0.003125	0.0	0.0	0.0	0.0	0.0	0.0047847	0.0	0.0	0.0	0.0	0.0	0.005	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0057143	0.0	0.0	0.0	0.0	0.0063694	0.0028011	
Sarcelle marbrée	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Nette rousse	0.0	0.0	0.0	0.0	0.0103093	0.0	0.0	0.004878	0.0	0.0015	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0031546	0.0	0.0039526	0.0	0.0	0.0	0.0	0.0123457	0.0	0.005	0.0041152	0.0	0.0086207	0.0015	0.0	0.0	0.0	0.0062112	0.004065	0.0	0.0	0.0	0.0015	0.0	0.0106952	0.0157895	0.0	0.0	0.0	
Fuligule milouin	0.0753968	0.0260223	0.0759494	0.0314961	0.0463918	0.0418848	0.0181818	0.0195122	0.0097561	0.0045662	0.0138889	0.0173697	0.0109489	0.0097087	0.005	0.0184697	0.015625	0.0030488	0.0037594	0.0063091	0.0195122	0.0118577	0.0143541	0.0321429	0.0210526	0.0074627	0.0123457	0.0167364	0.005	0.0041152	0.0078431	0.012931	0.011976	0.0193548	0.0124224	0.0290698	0.0310559	0.0203252	0.027933	0.0168776	0.0280899	0.0171429	0.0529801	0.0481283	0.0263158	0.028169	0.044586	0.0392157	
Hybride Nette rousse x Fuligule milouin	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.013245	0.0	0.0	0.0	0.0	0.0	
Fuligule à bec cerclé	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0045662	0.0	0.0	0.0	0.0	0.0	0.005277	0.003125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Fuligule nyroca	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0039216	0.0	0.0	0.0	0.0	0.0116279	0.0	0.004065	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Fuligule morillon	0.0079365	0.0	0.0	0.003937	0.0	0.0052356	0.0	0.004878	0.0015	0.0015	0.0015	0.0049628	0.0	0.0	0.0	0.005277	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0107143	0.0105263	0.0074627	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004065	0.0	0.0	0.0168539	0.0057143	0.013245	0.0106952	0.0015	0.0070423	0.0063694	0.0056022	
Garrot à oeil d'or	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0097087	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
anatidé sp. (canard sp.)	0.0	0.0037175	0.0	0.0	0.0051546	0.0104712	0.0	0.0	0.0	0.0045662	0.0	0.0024814	0.0	0.0	0.0025	0.0	0.003125	0.0030488	0.0	0.0	0.004878	0.0	0.0	0.0	0.0	0.0149254	0.0	0.0	0.0	0.0	0.0039216	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005618	0.0	0.0	0.0	0.0	0.0	0.0	0.0028011	
Perdrix grise	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0031546	0.0	0.0039526	0.0	0.0015	0.0052632	0.0074627	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0015	0.0124224	0.0015	0.0015	0.0	0.0	0.0	0.0	0.0053476	0.0	0.0	0.0	0.0	
Faisan de Colchide	0.0	0.0015	0.0	0.0	0.0	0.0015	0.0	0.0015	0.0015	0.0	0.0015	0.0	0.0	0.0	0.0025	0.0	0.0015	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0066225	0.0	0.0015	0.0	0.0	0.0	
Caille des blés	0.0	0.0	0.0015	0.0015	0.0	0.0	0.0015	0.0	0.0097561	0.0045662	0.0092593	0.0049628	0.0109489	0.0032362	0.0125	0.0026385	0.025	0.027439	0.0300752	0.0820189	0.097561	0.083004	0.1004785	0.1428571	0.1368421	0.0746269	0.0617284	0.0753138	0.05	0.0452675	0.0156863	0.0086207	0.0	0.0129032	0.0124224	0.005814	0.0062112	0.0	0.0015	0.0042194	0.0015	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	
Perdrix rouge	0.0396825	0.0594796	0.056962	0.0629921	0.0824742	0.0732984	0.1045455	0.0829268	0.1073171	0.1050228	0.1111111	0.0967742	0.1058394	0.1035599	0.0675	0.0949868	0.1	0.1158537	0.1917293	0.0820189	0.0780488	0.0750988	0.0717703	0.0571429	0.0894737	0.0373134	0.0740741	0.0376569	0.08	0.0576132	0.0470588	0.0560345	0.0778443	0.0645161	0.0993789	0.0523256	0.0496894	0.0406504	0.0335196	0.0337553	0.0561798	0.0514286	0.0596026	0.0427807	0.0473684	0.0704225	0.0382166	0.0504202	
Pigeon biset	0.1547619	0.1635688	0.2088608	0.1338583	0.1752577	0.2094241	0.1954545	0.1853659	0.195122	0.1917808	0.2037037	0.2133995	0.2481752	0.2038835	0.2175	0.182058	0.1875	0.1585366	0.1578947	0.1608833	0.1365854	0.1185771	0.2057416	0.2178571	0.1368421	0.1940299	0.2160494	0.2050209	0.225	0.1893004	0.1764706	0.1551724	0.1497006	0.1741935	0.1925466	0.2034884	0.1677019	0.195122	0.1843575	0.1603376	0.1910112	0.2285714	0.1390728	0.1657754	0.1578947	0.2535211	0.1464968	0.1288515	
Pigeon colombin	0.0079365	0.0446097	0.0253165	0.015748	0.0412371	0.0209424	0.0272727	0.0146341	0.0292683	0.0456621	0.0092593	0.0173697	0.0255474	0.0291262	0.015	0.0263852	0.01875	0.0365854	0.018797	0.0283912	0.0243902	0.027668	0.0	0.025	0.0105263	0.0149254	0.0246914	0.0041841	0.025	0.0082305	0.0156863	0.012931	0.0179641	0.0064516	0.0	0.0	0.0248447	0.0243902	0.0335196	0.0126582	0.011236	0.0228571	0.013245	0.0213904	0.0263158	0.0140845	0.0063694	0.0084034	
Pigeon ramier	0.3650794	0.2639405	0.3734177	0.2992126	0.2680412	0.3350785	0.3863636	0.4195122	0.3365854	0.4383562	0.462963	0.4516129	0.4489051	0.4854369	0.5175	0.4248021	0.5125	0.5060976	0.5075188	0.4700315	0.5317073	0.4110672	0.5454545	0.4714286	0.4631579	0.4253731	0.4753086	0.5355649	0.45	0.4444444	0.454902	0.4439655	0.4850299	0.4	0.3540373	0.4418605	0.3850932	0.3699187	0.3240223	0.3797468	0.3595506	0.3771429	0.3509934	0.3368984	0.4	0.3169014	0.3821656	0.280112	
Columba sp.	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0026385	0.0	0.0	0.0	0.0	0.0097561	0.0	0.0	0.0	0.0052632	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0062112	0.0	0.0	0.0081301	0.0055866	0.0042194	0.0	0.0	0.0	0.0053476	0.0	0.0	0.0	0.0	
Tourterelle des bois	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0036496	0.0064725	0.01	0.0369393	0.096875	0.1341463	0.1691729	0.1545741	0.1756098	0.1581028	0.1435407	0.1464286	0.1789474	0.1567164	0.1666667	0.1548117	0.145	0.1111111	0.1019608	0.0560345	0.0479042	0.0580645	0.0248447	0.0174419	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Tourterelle turque	0.1825397	0.1375465	0.164557	0.1850394	0.1546392	0.1989529	0.1909091	0.195122	0.1414634	0.1826484	0.1574074	0.1935484	0.1934307	0.2944984	0.2875	0.2110818	0.190625	0.2012195	0.1992481	0.2239748	0.195122	0.1343874	0.2200957	0.2035714	0.2105263	0.2014925	0.2222222	0.2217573	0.17	0.1687243	0.1882353	0.1982759	0.2155689	0.1935484	0.1925466	0.2383721	0.1863354	0.2154472	0.1675978	0.1687764	0.1853933	0.1428571	0.1523179	0.1764706	0.2263158	0.1760563	0.1910828	0.1260504	
Ganga cata	0.0	0.0074349	0.0	0.003937	0.0051546	0.0052356	0.0	0.004878	0.0097561	0.0	0.0092593	0.0024814	0.0036496	0.0	0.005	0.0026385	0.009375	0.0030488	0.0037594	0.0031546	0.0	0.0039526	0.0	0.0107143	0.0052632	0.0074627	0.0061728	0.0041841	0.0	0.0	0.0078431	0.0	0.0	0.0	0.0062112	0.0116279	0.0	0.0	0.0	0.0	0.0	0.0057143	0.0	0.0	0.0	0.0015	0.0	0.0	
Ganga unibande	0.0	0.0	0.0	0.0	0.0051546	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0052632	0.0	0.0061728	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
ganga sp.	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0039216	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Grande Outarde	0.0039683	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0047847	0.0035714	0.0015	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0015	0.0062112	0.0	0.0015	0.0081301	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Outarde canepetière	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.005988	0.0	0.0015	0.0	0.0	0.0081301	0.0055866	0.0126582	0.005618	0.0114286	0.0	0.0160428	0.0105263	0.0	0.0	0.0	
Touraco à joues blanches	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Coucou geai	0.0	0.0	0.0	0.003937	0.0	0.0015	0.0	0.0	0.0	0.0045662	0.0015	0.0049628	0.0015	0.0015	0.0025	0.0026385	0.0015	0.0030488	0.0037594	0.0015	0.0015	0.0079051	0.0095694	0.0107143	0.0052632	0.0015	0.0	0.0041841	0.0	0.0041152	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	
Coucou gris	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0092593	0.0719603	0.1131387	0.1747573	0.18	0.1899736	0.29375	0.1829268	0.2293233	0.2397476	0.2341463	0.2490119	0.0813397	0.0642857	0.0315789	0.0373134	0.0123457	0.0167364	0.01	0.0041152	0.0039216	0.012931	0.011976	0.0064516	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
