









Frequency of observations in the selected location(s).:
Number of taxa: 	569

	Jan				Feb				Mar				Apr				May				Jun				Jul				Aug				Sep				Oct				Nov				Dec				
Sample Size:	3140.0	2373.0	2332.0	3145.0	2295.0	2265.0	2623.0	2416.0	2164.0	2529.0	2401.0	4113.0	3148.0	3019.0	3195.0	3583.0	2919.0	2866.0	2309.0	2703.0	1714.0	1837.0	1601.0	1991.0	1529.0	1511.0	1596.0	2115.0	1404.0	1682.0	1597.0	2122.0	1574.0	1632.0	1651.0	1993.0	1597.0	1893.0	1671.0	2150.0	1564.0	1560.0	1439.0	1902.0	1819.0	1641.0	1551.0	2875.0	

Dendrocygne veuf	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.713E-4	0.0	0.0	0.0	0.0	0.0012523	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.447E-4	0.0015	
Oie cendrée	0.0015	0.0015	0.0015	3.18E-4	0.0015	0.0015	3.812E-4	4.139E-4	0.0	7.908E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0010277	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.353E-4	6.127E-4	0.0	0.0	0.0015	0.0015	0.0	0.0015	0.0	0.0	0.0015	5.258E-4	0.0015	6.094E-4	6.447E-4	3.478E-4	
Oie cygnoïde	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Hybride Oie cendrée x O. cygnoïde	3.185E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Anser sp. (forme domestique)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.713E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Bernache cravant	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0030469	0.0032237	3.478E-4	
Hybride Bernache nonnette x B. du Canada	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Cygne tuberculé	0.0019108	0.0016856	0.0021441	0.0012719	0.0017429	0.0013245	0.0011437	8.278E-4	0.0013863	3.954E-4	8.33E-4	9.725E-4	9.53E-4	0.0013249	0.001252	0.0011164	0.0017129	0.0031403	8.662E-4	0.0011099	5.834E-4	0.0015	6.246E-4	0.0030136	0.001308	0.0015	0.0012531	0.0047281	0.0	0.0011891	0.0018785	0.001885	0.0025413	0.0012255	0.0015	0.0010035	0.0031309	0.0036978	0.0011969	4.651E-4	6.394E-4	0.0012821	0.0027797	0.0042061	0.0054975	0.0048751	0.0045132	0.0013913	
