









Frequency of observations in the selected location(s).:
Number of taxa: 	874

	Jan				Feb				Mar				Apr				May				Jun				Jul				Aug				Sep				Oct				Nov				Dec				
Sample Size:	7370.0	5554.0	5850.0	7984.0	5635.0	6208.0	7530.0	7160.0	7170.0	6798.0	8284.0	11598.0	10154.0	10537.0	11481.0	14683.0	11949.0	13604.0	10797.0	15167.0	9470.0	9436.0	8094.0	9920.0	7957.0	9035.0	9123.0	11597.0	7319.0	7117.0	7803.0	9718.0	6782.0	6546.0	6477.0	7525.0	6104.0	7257.0	6420.0	8181.0	4854.0	4639.0	3818.0	5099.0	4028.0	4086.0	4311.0	9932.0	

Dendrocygne veuf	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	1.397E-4	0.0	0.0	1.207E-4	2.587E-4	0.0	0.0015	0.0	0.0	0.0	0.0	9.26E-5	0.0	0.0	0.0015	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.329E-4	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Dendrocygne à ventre noir	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Dendrocygne fauve	0.0	1.801E-4	3.419E-4	2.505E-4	0.0015	1.611E-4	0.0	0.0	0.0	0.0	0.0	8.62E-5	0.0	0.0	0.0	1.362E-4	8.37E-5	7.35E-5	0.0015	0.0	0.0	0.0	0.0	0.0	1.257E-4	1.107E-4	0.0	0.0	0.0015	1.405E-4	1.282E-4	2.058E-4	4.423E-4	1.528E-4	1.544E-4	2.658E-4	3.277E-4	0.0	0.0	0.0	2.06E-4	0.0	0.0	1.961E-4	0.0	2.447E-4	0.0	1.007E-4	
Oie à tête barrée	0.0027137	0.0019806	0.0030769	0.0012525	0.0042591	0.0024162	0.0015936	0.0013966	0.0022315	0.0019123	0.0020521	0.0020693	0.0012803	0.0011388	6.968E-4	9.535E-4	0.0015901	0.0011761	0.0010188	7.253E-4	9.504E-4	0.0019076	0.0021003	0.0019153	0.0021365	0.0019923	0.0017538	0.0017246	0.0015029	0.0029507	0.0017942	0.0016464	0.0023592	0.0015277	0.0016983	0.0027907	0.0016383	0.0012402	0.003271	0.0024447	0.0020602	0.0028023	0.0041907	0.0029418	0.0034757	0.0029369	0.0013918	0.0024164	
Oie empereur	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.397E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.35E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	1.638E-4	0.0	1.558E-4	0.0	0.0	0.0	0.0015	0.0	2.483E-4	2.447E-4	0.0	0.0	
Oie des neiges	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Hybride Oie à tête barrée x O. des neiges	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.638E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Oie cendrée	0.039213	0.0455528	0.0381197	0.0492234	0.0583851	0.0467139	0.0354582	0.0445531	0.03947	0.0347161	0.0290922	0.0354371	0.029348	0.0311284	0.0267398	0.0245182	0.0243535	0.0244781	0.0238029	0.0161535	0.0161563	0.0179101	0.0182851	0.0183468	0.0186	0.0179303	0.0157843	0.0175908	0.0199481	0.0262751	0.0222991	0.0229471	0.0222648	0.025359	0.024394	0.0275083	0.0280144	0.0285242	0.0341121	0.0459602	0.0560363	0.0536754	0.0515977	0.0549127	0.0449355	0.0398923	0.0482487	0.0386629	
