









Frequency of observations in the selected location(s).:
Number of taxa: 	482

	Jan				Feb				Mar				Apr				May				Jun				Jul				Aug				Sep				Oct				Nov				Dec				
Sample Size:	1132.0	623.0	839.0	1063.0	679.0	841.0	981.0	969.0	1093.0	867.0	1078.0	1466.0	1311.0	1406.0	1353.0	1542.0	1233.0	1416.0	1521.0	2186.0	1272.0	1176.0	946.0	1259.0	1052.0	1437.0	1450.0	2067.0	1176.0	1033.0	901.0	1085.0	764.0	716.0	600.0	895.0	628.0	533.0	534.0	728.0	538.0	552.0	361.0	547.0	399.0	420.0	637.0	1894.0	

Dendrocygne veuf	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0011173	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Oie à tête barrée	0.0	0.0	0.0	0.0	0.0014728	0.0	0.0	0.0	0.0	0.0	0.0	6.821E-4	0.0	7.112E-4	0.0014782	6.485E-4	0.0	0.0035311	0.0	0.0	7.862E-4	0.0	0.0	7.943E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0018116	0.0027701	0.0	0.0025063	0.0	0.0	0.0	
Oie cendrée	0.0106007	0.0160514	0.0131108	0.0206961	0.0206186	0.0285375	0.0203874	0.0402477	0.0182983	0.0219146	0.0120594	0.0225102	0.0160183	0.0177809	0.0103474	0.0129702	0.0162206	0.0240113	0.0184089	0.0105215	0.0086478	0.0229592	0.0179704	0.0103257	0.0104563	0.0090466	0.0096552	0.0077407	0.0102041	0.0125847	0.0144284	0.0101382	0.0117801	0.0307263	0.0166667	0.0122905	0.0207006	0.0262664	0.0243446	0.0206044	0.0130112	0.0253623	0.0221607	0.0274223	0.0350877	0.0309524	0.0251177	0.0153115	
Hybride Oie à tête barrée x O. cendrée	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Oie cygnoïde	0.0	0.0	0.0	0.0	0.0	0.0011891	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0013966	0.0	0.0011173	0.0	0.0	0.0	0.0	0.0018587	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Oie rieuse	0.0017668	0.0	0.0	0.0	0.0	0.0011891	0.0020387	0.001032	9.149E-4	0.0011534	0.0	0.0015	0.0	0.0	7.391E-4	0.0	0.0	0.0	0.0	4.575E-4	7.862E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0015	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0054845	0.0	0.0	0.0015699	0.0	
Oie de toundra	0.0	0.0	0.0011919	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0013966	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Oie de taïga ou O. de toundra	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0018116	0.0	0.0	0.0	0.0	0.0	0.0	
Anser sp. (forme domestique)	0.0	0.0	0.0015	0.0015	0.0	0.0015	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	
Anser sp.	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0015	0.0	0.0	0.0	0.0	
