









Frequency of observations in the selected location(s).:
Number of taxa: 	362

	Jan				Feb				Mar				Apr				May				Jun				Jul				Aug				Sep				Oct				Nov				Dec				
Sample Size:	110.0	117.0	112.0	172.0	116.0	104.0	222.0	219.0	190.0	148.0	203.0	232.0	269.0	298.0	333.0	454.0	268.0	428.0	319.0	423.0	271.0	297.0	334.0	299.0	301.0	302.0	245.0	259.0	165.0	234.0	269.0	298.0	107.0	133.0	142.0	127.0	102.0	112.0	99.0	190.0	105.0	77.0	59.0	62.0	74.0	53.0	58.0	259.0	

Oie à tête barrée	0.0090909	0.008547	0.0	0.0	0.0	0.0096154	0.0	0.0	0.0	0.0067568	0.0049261	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.003367	0.0	0.0	0.0	0.0	0.0040816	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0015	0.015748	0.0015	0.0178571	0.010101	0.0052632	0.0	0.0	0.0	0.0	0.0135135	0.0188679	0.0	0.003861	
Oie empereur	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0045662	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0098039	0.0	0.010101	0.0	0.0	0.0	0.0015	0.0	0.0135135	0.0188679	0.0	0.0	
Oie cendrée	0.0181818	0.008547	0.0015	0.0232558	0.0172414	0.0384615	0.0225225	0.0228311	0.0052632	0.027027	0.0049261	0.0086207	0.0111524	0.0100671	0.012012	0.0110132	0.0261194	0.0093458	0.015674	0.0023641	0.0110701	0.013468	0.0209581	0.0167224	0.0066445	0.0066225	0.0122449	0.015444	0.0060606	0.0299145	0.0148699	0.0067114	0.0093458	0.0451128	0.0352113	0.0393701	0.0588235	0.0892857	0.030303	0.0210526	0.0285714	0.012987	0.0015	0.0322581	0.0405405	0.0377358	0.0172414	0.015444	
Oie cygnoïde	0.0	0.0	0.0	0.005814	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005988	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0075188	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Oie rieuse	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0091324	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Oie de toundra	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.010101	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Anser sp. (forme domestique)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0015	0.0	0.0	0.0	0.00369	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0098039	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Anser sp.	0.0	0.0	0.0	0.005814	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
