









Frequency of observations in the selected location(s).:
Number of taxa: 	549

	Jan				Feb				Mar				Apr				May				Jun				Jul				Aug				Sep				Oct				Nov				Dec				
Sample Size:	680.0	387.0	513.0	666.0	415.0	419.0	545.0	482.0	449.0	361.0	509.0	653.0	503.0	588.0	639.0	874.0	615.0	697.0	646.0	837.0	534.0	625.0	471.0	542.0	512.0	584.0	782.0	950.0	641.0	679.0	790.0	959.0	525.0	597.0	545.0	721.0	1005.0	1739.0	1437.0	1344.0	429.0	322.0	274.0	309.0	303.0	312.0	285.0	822.0	

Dendrocygne fauve	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Oie à tête barrée	0.0	0.0015	0.0	0.0	0.0	0.0	0.0015	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0011442	0.001626	0.0	0.0015	0.0011947	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Oie cendrée	0.0088235	0.005168	0.0116959	0.0075075	0.0168675	0.0071599	0.0055046	0.0062241	0.0111359	0.0110803	0.0015	0.0045942	0.0039761	0.0034014	0.0046948	0.0045767	0.004878	0.0043042	0.0108359	0.0023895	0.0018727	0.0064	0.0042463	0.00369	0.0058594	0.0085616	0.0012788	0.0021053	0.0062402	0.0103093	0.0037975	0.0020855	0.0019048	0.0067002	0.0036697	0.0	0.0029851	0.0034503	0.0020877	0.0014881	0.006993	0.0031056	0.0145985	0.0032362	0.0033003	0.0064103	0.0070175	0.0012165	
Oie cygnoïde	0.0	0.0015	0.0015	0.0015	0.0024096	0.0	0.0018349	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	5.75E-4	0.0015	0.0	0.0	0.0	0.0	0.0097087	0.0	0.0032051	0.0035088	0.0	
Oie rieuse	0.0029412	0.0015	0.0077973	0.0105105	0.0144578	0.0	0.0018349	0.0020747	0.0044543	0.0027701	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.75E-4	0.0	7.44E-4	0.002331	0.0	0.0036496	0.0015	0.0	0.0	0.0035088	0.0048662	
Hybride Oie empereur x O. rieuse	0.0	0.0	0.0	0.0015015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Oie naine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Oie de taïga	0.0	0.0	0.0038986	0.0045045	0.0072289	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Oie de toundra	0.0014706	0.0	0.0	0.0015015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0032362	0.0	0.0	0.0015	0.0012165	
Oie de taïga ou O. de toundra	0.0	0.0	0.0	0.003003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Oie à bec court	0.0014706	0.0	0.0015	0.0015015	0.0048193	0.0047733	0.0	0.0041494	0.0044543	0.0027701	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0043042	0.0	0.0011947	0.0018727	0.0015	0.0021231	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0099502	0.0069005	0.0020877	0.0014881	0.006993	0.0	0.0	0.0032362	0.0	0.0	0.0015	0.0036496	
