









Frequency of observations in the selected location(s).:
Number of taxa: 	358

	Jan				Feb				Mar				Apr				May				Jun				Jul				Aug				Sep				Oct				Nov				Dec				
Sample Size:	302.0	225.0	25.0	16.0	32.0	20.0	42.0	50.0	35.0	35.0	66.0	128.0	177.0	188.0	323.0	532.0	762.0	442.0	257.0	418.0	254.0	246.0	168.0	303.0	231.0	290.0	207.0	330.0	198.0	176.0	203.0	253.0	159.0	176.0	244.0	233.0	116.0	55.0	61.0	90.0	50.0	34.0	45.0	66.0	51.0	43.0	50.0	138.0	

Oie cendrée	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004329	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0151515	0.0	0.0	0.0	0.0	
Bernache nonnette	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Cygne tuberculé	0.0066225	0.0044444	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0151515	0.0	0.0	0.0015	0.0	0.0	0.0052493	0.0	0.0	0.007177	0.011811	0.0015	0.0	0.0	0.0	0.0034483	0.0193237	0.0030303	0.0050505	0.0	0.0	0.0039526	0.0015	0.0227273	0.0040984	0.0	0.0	0.0	0.0	0.0111111	0.0	0.0294118	0.0222222	0.0	0.0	0.0232558	0.02	0.0	
Tadorne de Belon	0.0331126	0.0488889	0.08	0.0	0.03125	0.0	0.0714286	0.12	0.0571429	0.0	0.030303	0.03125	0.0225989	0.0159574	0.0185759	0.0451128	0.0183727	0.0135747	0.0077821	0.0550239	0.015748	0.004065	0.0178571	0.0033003	0.017316	0.0103448	0.0048309	0.0121212	0.0050505	0.0284091	0.0015	0.0039526	0.0125786	0.0	0.0015	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0222222	0.0	0.0392157	0.0465116	0.0	0.0072464	
Canard musqué	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0023923	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Sarcelle d'été	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02	0.0	0.0	0.0606061	0.0390625	0.0621469	0.0531915	0.0216718	0.0075188	0.003937	0.0045249	0.0038911	0.0023923	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0050505	0.0	0.0049261	0.0118577	0.0	0.0	0.0040984	0.0	0.0	0.0181818	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Canard souchet	0.0066225	0.0222222	0.0015	0.0625	0.0	0.05	0.0238095	0.02	0.0857143	0.0285714	0.0454545	0.0234375	0.0169492	0.0106383	0.0185759	0.0018797	0.0065617	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0147783	0.0197628	0.0188679	0.0170455	0.0245902	0.0128755	0.0086207	0.0181818	0.0163934	0.0444444	0.0	0.0294118	0.0666667	0.0606061	0.0196078	0.0697674	0.08	0.0144928	
Canard chipeau	0.0099338	0.0177778	0.04	0.0625	0.0	0.05	0.0714286	0.02	0.0857143	0.0285714	0.0	0.0234375	0.0112994	0.0015	0.0	0.0	0.0065617	0.0022624	0.0015	0.0023923	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0098522	0.0015	0.0062893	0.0113636	0.0040984	0.0042918	0.0086207	0.0	0.0163934	0.0444444	0.0	0.0015	0.0666667	0.0454545	0.0196078	0.0930233	0.06	0.0	
Canard siffleur	0.0033113	0.0088889	0.04	0.125	0.0625	0.1	0.0952381	0.02	0.0285714	0.0285714	0.0606061	0.0234375	0.0015	0.0053191	0.006192	0.0018797	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0062893	0.0	0.0040984	0.0085837	0.0086207	0.0181818	0.0015	0.0444444	0.02	0.0588235	0.0666667	0.0757576	0.1372549	0.0697674	0.0	0.0015	
Canard colvert	0.0529801	0.0844444	0.2	0.25	0.0625	0.25	0.1904762	0.22	0.3142857	0.2285714	0.1969697	0.1953125	0.1525424	0.1276596	0.1331269	0.0808271	0.0669291	0.061086	0.0272374	0.0550239	0.019685	0.0365854	0.0178571	0.0264026	0.038961	0.0448276	0.0628019	0.0787879	0.0808081	0.0909091	0.0837438	0.0632411	0.081761	0.0909091	0.102459	0.1502146	0.0431034	0.0909091	0.1311475	0.1111111	0.12	0.0294118	0.1777778	0.1666667	0.254902	0.2325581	0.16	0.0434783	
Canard pilet	0.0066225	0.0177778	0.04	0.0625	0.03125	0.1	0.0714286	0.04	0.1142857	0.1142857	0.0606061	0.03125	0.0169492	0.0015	0.0092879	0.0	0.0013123	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0062893	0.0056818	0.0	0.0085837	0.0086207	0.0181818	0.0327869	0.0555556	0.0	0.0	0.0222222	0.030303	0.0588235	0.0465116	0.04	0.0	
Sarcelle d'hiver	0.0231788	0.04	0.0015	0.0625	0.0625	0.15	0.0952381	0.08	0.1142857	0.0857143	0.1363636	0.0703125	0.0169492	0.0159574	0.0123839	0.0018797	0.0013123	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0056818	0.0295567	0.0197628	0.0188679	0.0454545	0.0286885	0.0472103	0.0172414	0.0181818	0.0327869	0.0777778	0.0	0.0294118	0.0222222	0.0454545	0.0196078	0.0015	0.08	0.0434783	
anatidé sp. (canard barboteur sp.)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0151515	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0033003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0039526	0.0062893	0.0	0.0	0.0042918	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Nette rousse	0.0	0.0044444	0.0	0.0	0.0	0.05	0.0714286	0.02	0.2285714	0.1714286	0.1363636	0.1015625	0.1073446	0.0797872	0.1393189	0.0845865	0.0748031	0.0678733	0.0389105	0.062201	0.0354331	0.0162602	0.0059524	0.0066007	0.012987	0.0034483	0.0096618	0.0272727	0.020202	0.0511364	0.0197044	0.0079051	0.0	0.0170455	0.0081967	0.0171674	0.0086207	0.0363636	0.0327869	0.0333333	0.0	0.0588235	0.0444444	0.0606061	0.0588235	0.0	0.0	0.0	
Fuligule milouin	0.0033113	0.0133333	0.0	0.0625	0.03125	0.0	0.047619	0.02	0.0285714	0.0015	0.030303	0.0078125	0.0056497	0.0	0.0	0.0018797	0.0013123	0.0022624	0.0015	0.0047847	0.0	0.0	0.0	0.0	0.0015	0.0015	0.0	0.0030303	0.010101	0.0	0.0098522	0.0158103	0.0062893	0.0015	0.0163934	0.0257511	0.0086207	0.0181818	0.0491803	0.0666667	0.04	0.0588235	0.1333333	0.1212121	0.1176471	0.1627907	0.06	0.0217391	
Fuligule nyroca	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.02	0.0015	0.0285714	0.0	0.0	0.0112994	0.0015	0.003096	0.0056391	0.0026247	0.0022624	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0056818	0.0040984	0.0128755	0.0	0.0	0.0015	0.0015	0.0	0.0	0.0222222	0.0151515	0.0015	0.0232558	0.0	0.0	
