









Frequency of observations in the selected location(s).:
Number of taxa: 	378

	Jan				Feb				Mar				Apr				May				Jun				Jul				Aug				Sep				Oct				Nov				Dec				
Sample Size:	294.0	319.0	226.0	322.0	248.0	268.0	393.0	385.0	313.0	317.0	335.0	504.0	503.0	528.0	543.0	736.0	661.0	701.0	641.0	753.0	474.0	646.0	382.0	485.0	382.0	471.0	486.0	511.0	354.0	308.0	318.0	406.0	307.0	275.0	302.0	399.0	276.0	281.0	204.0	337.0	234.0	221.0	193.0	308.0	218.0	242.0	216.0	397.0	

Oie à tête barrée	0.0	0.0	0.0	0.0	0.0040323	0.0	0.0	0.0	0.0015	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0015129	0.0014265	0.0015601	0.0	0.0	0.0	0.0	0.0	0.0	0.0021231	0.0	0.0	0.0	0.0	0.0031447	0.0015	0.0	0.0015	0.0	0.0015	0.0036232	0.0035587	0.0098039	0.0029674	0.0	0.0045249	0.0	0.0032468	0.0	0.0	0.0	0.0	
Oie des neiges	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0014265	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Oie cendrée	0.0102041	0.0344828	0.0044248	0.0186335	0.016129	0.0335821	0.0152672	0.0103896	0.0063898	0.0063091	0.0119403	0.015873	0.0198807	0.0284091	0.0220994	0.017663	0.0196672	0.021398	0.0218409	0.0146082	0.0147679	0.0077399	0.0078534	0.0082474	0.0052356	0.0212314	0.0041152	0.0078278	0.0015	0.0162338	0.0031447	0.0098522	0.0130293	0.0036364	0.0033113	0.0025063	0.0108696	0.0106762	0.0098039	0.0267062	0.042735	0.0180995	0.0207254	0.0097403	0.0045872	0.0015	0.0092593	0.0201511	
Oie cygnoïde	0.0	0.0	0.0	0.0	0.0	0.0015	0.0025445	0.0025974	0.0	0.0	0.0029851	0.0019841	0.0	0.0	0.0	0.0027174	0.0045386	0.0014265	0.0	0.0	0.0	0.0	0.0026178	0.0	0.0	0.0042463	0.0	0.0019569	0.0	0.0032468	0.0	0.0	0.0	0.0	0.0033113	0.0	0.0	0.0106762	0.004902	0.0059347	0.0	0.0015	0.0015	0.0	0.0015	0.0015	0.0	0.0015	
Oie rieuse	0.0	0.0031348	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Oie de taïga	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Oie de toundra	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	
Anser sp. (forme domestique)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0020576	0.0	0.0	0.0	0.0	0.0	0.0032573	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
