









Frequency of observations in the selected location(s).:
Number of taxa: 	440

	Jan				Feb				Mar				Apr				May				Jun				Jul				Aug				Sep				Oct				Nov				Dec				
Sample Size:	611.0	524.0	540.0	889.0	650.0	587.0	730.0	790.0	644.0	620.0	698.0	1098.0	810.0	899.0	876.0	1182.0	876.0	989.0	659.0	1061.0	728.0	701.0	672.0	676.0	566.0	683.0	695.0	710.0	440.0	525.0	617.0	818.0	380.0	395.0	497.0	590.0	507.0	534.0	501.0	841.0	521.0	483.0	520.0	684.0	351.0	413.0	480.0	861.0	

Oie à tête barrée	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.107E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0017668	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Hybride Oie à tête barrée x O. des neiges	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0019724	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Oie cendrée	0.1898527	0.1927481	0.1462963	0.2114736	0.2246154	0.1431005	0.1136986	0.1544304	0.1335404	0.1	0.0916905	0.1120219	0.1074074	0.0878754	0.097032	0.0947547	0.0878995	0.0778564	0.0576631	0.0395853	0.0494505	0.0456491	0.0565476	0.0443787	0.0512367	0.0380673	0.0446043	0.0507042	0.0636364	0.0838095	0.082658	0.0757946	0.1315789	0.1240506	0.0804829	0.0932203	0.1183432	0.1310861	0.1257485	0.1878716	0.2360845	0.2546584	0.1846154	0.1827485	0.1509972	0.1307506	0.175	0.2102207	
Oie cygnoïde	0.0	0.0019084	0.0	0.0	0.0	0.0	0.0013699	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0019048	0.0	0.0	0.0	0.0	0.0020121	0.0	0.0	0.0	0.001996	0.0011891	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	
Hybride Oie cendrée x O. cygnoïde	0.0	0.0	0.0	0.0	0.0	0.0	0.0013699	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0019231	0.0	0.0	0.0024213	0.0	0.0	
Oie rieuse	0.0343699	0.0305344	0.0259259	0.0247469	0.0215385	0.0221465	0.0136986	0.0063291	0.0093168	0.0080645	0.0014327	0.0	0.0	0.0	0.0022831	0.0	0.0	0.0010111	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0059172	0.0074906	0.0239521	0.0225922	0.0134357	0.0165631	0.0269231	0.0219298	0.02849	0.0193705	0.0145833	0.0360046	
Oie naine	0.0015	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0032258	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Oie de toundra	0.0261866	0.0133588	0.0240741	0.007874	0.0107692	0.0068143	0.0068493	0.0015	0.0015528	0.0	0.0014327	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015175	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0015	0.005988	0.0023781	0.0038388	0.0082816	0.0019231	0.002924	0.002849	0.0024213	0.0020833	0.018583	
