









Frequency of observations in the selected location(s).:
Number of taxa: 	469

	Jan				Feb				Mar				Apr				May				Jun				Jul				Aug				Sep				Oct				Nov				Dec				
Sample Size:	406.0	374.0	357.0	375.0	357.0	399.0	419.0	394.0	480.0	405.0	469.0	709.0	560.0	564.0	545.0	661.0	559.0	648.0	543.0	691.0	529.0	463.0	317.0	560.0	329.0	403.0	313.0	482.0	404.0	341.0	349.0	420.0	316.0	209.0	367.0	511.0	306.0	414.0	353.0	505.0	304.0	339.0	272.0	328.0	309.0	276.0	269.0	497.0	

Dendrocygne veuf	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0021322	0.0042313	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Oie à tête barrée	0.0172414	0.0026738	0.0028011	0.0	0.0	0.0125313	0.0119332	0.0050761	0.0041667	0.0049383	0.0	0.0014104	0.0	0.001773	0.0	0.0015129	0.0	0.0030864	0.0	0.0014472	0.0015	0.0021598	0.0189274	0.0125	0.0273556	0.0272953	0.0255591	0.0228216	0.0173267	0.0205279	0.0143266	0.0071429	0.0094937	0.0095694	0.0163488	0.0254403	0.0065359	0.0024155	0.0084986	0.0079208	0.0	0.0088496	0.0073529	0.0060976	0.0032362	0.0036232	0.0037175	0.0120724	
Oie empereur	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015432	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Oie des neiges	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0021598	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Oie cendrée	0.1330049	0.0989305	0.1176471	0.1306667	0.1232493	0.1353383	0.1384248	0.1370558	0.1666667	0.1259259	0.130064	0.1241185	0.1125	0.1453901	0.1321101	0.1301059	0.1162791	0.1311728	0.1381215	0.1070912	0.0680529	0.0842333	0.0977918	0.0803571	0.1306991	0.1215881	0.1469649	0.1473029	0.1064356	0.170088	0.1060172	0.102381	0.0886076	0.1148325	0.1226158	0.1272016	0.130719	0.0917874	0.1473088	0.150495	0.0953947	0.100295	0.1029412	0.152439	0.1003236	0.0869565	0.1040892	0.0945674	
Oie cygnoïde	0.0	0.0	0.0028011	0.0	0.0	0.0	0.0047733	0.0025381	0.0020833	0.0	0.0	0.0	0.0	0.001773	0.0015	0.0015129	0.0	0.0	0.0018416	0.0015	0.0018904	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0029326	0.0028653	0.002381	0.0	0.0047847	0.0015	0.0015	0.0	0.0	0.0	0.0019802	0.0	0.0	0.0036765	0.0	0.0	0.0	0.0	0.0	
Hybride Oie cendrée x O. cygnoïde	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001773	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Oie rieuse	0.0394089	0.0320856	0.022409	0.0266667	0.0252101	0.0200501	0.0310263	0.0177665	0.00625	0.0123457	0.0042644	0.0015	0.0035714	0.0015	0.0	0.0015129	0.0053667	0.0030864	0.0055249	0.0072359	0.0037807	0.0043197	0.0094637	0.0142857	0.0091185	0.0049628	0.0	0.0062241	0.0049505	0.0029326	0.0	0.0	0.0031646	0.0	0.0	0.0019569	0.0163399	0.0072464	0.0141643	0.0237624	0.0065789	0.0088496	0.0073529	0.0152439	0.0226537	0.0253623	0.0297398	0.0321932	
Hybride Oie cendrée x O. rieuse	0.0049261	0.0053476	0.0028011	0.008	0.0056022	0.0050125	0.0095465	0.0076142	0.0041667	0.0049383	0.0042644	0.0028209	0.0035714	0.0070922	0.0091743	0.0060514	0.0017889	0.0030864	0.0055249	0.0057887	0.0037807	0.0043197	0.0094637	0.0107143	0.0121581	0.0124069	0.0031949	0.0041494	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0030488	0.0064725	0.0108696	0.0074349	0.0040241	
Oie naine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0049628	0.0031949	0.0062241	0.0	0.0058651	0.0028653	0.002381	0.0063291	0.0	0.0	0.0	0.0	0.0024155	0.0084986	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Oie rieuse ou O. naine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Oie de toundra	0.0098522	0.0053476	0.0028011	0.0133333	0.0028011	0.0075188	0.0119332	0.0	0.00625	0.0024691	0.0021322	0.0	0.0017857	0.001773	0.0	0.0030257	0.0	0.0015432	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0065359	0.0024155	0.0	0.0039604	0.0	0.0	0.0	0.0030488	0.0015	0.0036232	0.0074349	0.0060362	
Oie de taïga ou O. de toundra	0.0024631	0.0026738	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0027248	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Oie à bec court	0.0	0.0	0.0	0.0053333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0017857	0.001773	0.0	0.0	0.0	0.0015432	0.0	0.0014472	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0027248	0.0019569	0.0	0.0	0.0028329	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	
Anser sp.	0.0024631	0.0026738	0.0028011	0.0	0.0	0.0	0.0023866	0.0	0.0	0.0	0.0021322	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0063091	0.0017857	0.0	0.0	0.0031949	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0027248	0.0019569	0.0	0.0024155	0.0	0.0039604	0.0	0.0	0.0	0.0	0.0	0.0015	0.0037175	0.0	
Bernache cravant	0.0270936	0.0294118	0.0140056	0.024	0.0252101	0.0100251	0.026253	0.0329949	0.0041667	0.0123457	0.0234542	0.0338505	0.0142857	0.0159574	0.0055046	0.0075643	0.0107335	0.0015432	0.0055249	0.0028944	0.0113422	0.0043197	0.0	0.0	0.006079	0.0024814	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0435967	0.0273973	0.0980392	0.0676329	0.0793201	0.0930693	0.0690789	0.079646	0.0882353	0.0426829	0.0420712	0.0652174	0.0260223	0.0160966	
Bernache nonnette	0.0270936	0.026738	0.0280112	0.0346667	0.0140056	0.0150376	0.0286396	0.0228426	0.0208333	0.0345679	0.0063966	0.0155148	0.0232143	0.0265957	0.012844	0.0181543	0.0214669	0.0200617	0.0239411	0.015919	0.0151229	0.0043197	0.022082	0.0160714	0.0334347	0.0272953	0.0255591	0.0207469	0.0173267	0.0175953	0.017192	0.0071429	0.0126582	0.0191388	0.0081744	0.0136986	0.0098039	0.0144928	0.0141643	0.0257426	0.0098684	0.0176991	0.0147059	0.0182927	0.0161812	0.0181159	0.0223048	0.0160966	
Hybride Oie cendrée x Bernache nonnette	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015432	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Bernache du Canada	0.0615764	0.0614973	0.070028	0.0826667	0.0616246	0.0776942	0.0906921	0.0913706	0.10625	0.1283951	0.1321962	0.1255289	0.0982143	0.1453901	0.106422	0.0983359	0.1001789	0.1111111	0.1049724	0.1114327	0.0926276	0.0799136	0.1072555	0.0553571	0.0729483	0.0992556	0.115016	0.1078838	0.0816832	0.0674487	0.0744986	0.0738095	0.0632911	0.0861244	0.0681199	0.0547945	0.0751634	0.0458937	0.0538244	0.0752475	0.0394737	0.0589971	0.0661765	0.0518293	0.0711974	0.0471014	0.0669145	0.0442656	
Hybride Oie cygnoïde x Bernache du Canada	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0028944	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
