









Frequency of observations in the selected location(s).:
Number of taxa: 	401

	Jan				Feb				Mar				Apr				May				Jun				Jul				Aug				Sep				Oct				Nov				Dec				
Sample Size:	942.0	798.0	975.0	1258.0	820.0	946.0	1052.0	929.0	1056.0	1155.0	1683.0	1918.0	1471.0	1463.0	1628.0	1829.0	1522.0	1734.0	1406.0	1967.0	1247.0	1375.0	1250.0	1470.0	1057.0	1080.0	961.0	1181.0	659.0	683.0	693.0	941.0	761.0	634.0	806.0	866.0	746.0	871.0	881.0	920.0	708.0	694.0	585.0	959.0	660.0	718.0	657.0	1149.0	

Dendrocygne veuf	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0010764	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Dendrocygne fauve	0.0	0.0	0.0020513	0.0015898	0.0015	0.0010571	0.0	0.0	0.0	0.0	0.0	5.214E-4	0.0	0.0	0.0	0.0	6.57E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.461E-4	0.0015	0.0	0.0	0.0	0.0014641	0.001443	0.0021254	0.0039422	0.0015773	0.0012407	0.0023095	0.002681	0.0	0.0	0.0	0.0014124	0.0	0.0	0.0010428	0.0	0.0	0.0	0.0	
Oie à tête barrée	0.0127389	0.0112782	0.0164103	0.0079491	0.0268293	0.0084567	0.006654	0.0086114	0.0132576	0.008658	0.0095068	0.0099062	0.0081577	0.0068353	0.0030713	0.0060142	0.0118265	0.0046136	0.0078236	0.0045755	0.0064154	0.0116364	0.008	0.007483	0.0066225	0.0055556	0.0072841	0.0076207	0.0060698	0.0204978	0.012987	0.0095643	0.0157687	0.0078864	0.0062035	0.0057737	0.0107239	0.0068886	0.0192963	0.0163043	0.0127119	0.0129683	0.0222222	0.0135558	0.0166667	0.0139276	0.0076104	0.0139252	
Oie des neiges	0.0	0.0012531	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Oie cendrée	0.0212314	0.0162907	0.0164103	0.0103339	0.0207317	0.0211416	0.0152091	0.0096878	0.0151515	0.0190476	0.0130719	0.0182482	0.0095173	0.0082023	0.0110565	0.0082012	0.0118265	0.0121107	0.0142248	0.0086426	0.0088212	0.0130909	0.0096	0.0142857	0.012299	0.0157407	0.0197711	0.0118544	0.0349014	0.0263543	0.007215	0.0265675	0.0157687	0.0173502	0.0186104	0.0242494	0.0147453	0.0252583	0.0181612	0.0304348	0.029661	0.0302594	0.0222222	0.0187696	0.0151515	0.0139276	0.0197869	0.0078329	
Oie cygnoïde	0.0084926	0.0062657	0.0061538	0.0031797	0.0121951	0.0095137	0.0019011	0.007535	0.0094697	0.0060606	0.0047534	0.0062565	0.0040789	0.0027341	0.002457	0.0038272	0.0052562	0.0023068	0.0056899	0.0035587	0.0032077	0.0065455	0.004	0.0054422	0.0047304	0.0046296	0.0041623	0.0059272	0.0045524	0.0102489	0.0	0.0031881	0.0039422	0.0094637	0.0049628	0.0057737	0.002681	0.0068886	0.0136209	0.0065217	0.0070621	0.0072046	0.0102564	0.0062565	0.0136364	0.0111421	0.0015221	0.0095735	
Oie rieuse	0.0010616	0.0012531	0.0020513	0.0071542	0.002439	0.0063425	0.0057034	0.0010764	9.47E-4	0.0	0.0011884	5.214E-4	0.0	0.0	0.0012285	0.0010935	6.57E-4	0.0011534	0.0021337	0.0015252	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0012407	0.0	0.0	0.0011481	0.0011351	0.0	0.0014124	0.0	0.0	0.0	0.0	0.0013928	0.0015221	0.0017406	
Oie à bec court	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.798E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0011481	0.0	0.001087	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
