









Frequency of observations in the selected location(s).:
Number of taxa: 	581

	Jan				Feb				Mar				Apr				May				Jun				Jul				Aug				Sep				Oct				Nov				Dec				
Sample Size:	752.0	550.0	429.0	680.0	456.0	578.0	742.0	653.0	559.0	554.0	710.0	868.0	904.0	926.0	1063.0	1211.0	890.0	1271.0	799.0	1248.0	769.0	658.0	685.0	787.0	747.0	896.0	1070.0	1551.0	810.0	852.0	996.0	1117.0	826.0	753.0	568.0	689.0	519.0	642.0	556.0	730.0	517.0	466.0	297.0	470.0	393.0	359.0	374.0	1005.0	

Dendrocygne veuf	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Dendrocygne fauve	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.258E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Oie à tête barrée	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Oie cendrée	0.0452128	0.0618182	0.0582751	0.0602941	0.0679825	0.0553633	0.0390836	0.0459418	0.0322004	0.0415162	0.0366197	0.0288018	0.039823	0.0280778	0.0301035	0.0355078	0.0303371	0.0291109	0.0262829	0.0272436	0.0221066	0.0182371	0.0189781	0.025413	0.0200803	0.0122768	0.011215	0.0154739	0.0098765	0.0093897	0.0170683	0.0232766	0.0133172	0.0239044	0.0228873	0.0275762	0.0211946	0.0186916	0.0251799	0.0328767	0.0522244	0.055794	0.0606061	0.0744681	0.0941476	0.0696379	0.0775401	0.0557214	
Oie cygnoïde	0.0015	0.0	0.002331	0.0029412	0.0015	0.0	0.0013477	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0014599	0.0	0.0015	0.0011161	0.0015	6.447E-4	0.0015	0.0015	0.0	8.953E-4	0.0012107	0.0015	0.0015	0.0014514	0.0015	0.0	0.0	0.0	0.0015	0.0	0.0015	0.0015	0.0015	0.0	0.0	9.95E-4	
Oie rieuse	0.0	0.0018182	0.006993	0.0029412	0.0	0.0017301	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0012516	8.013E-4	0.0013004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0013699	0.0015	0.0021459	0.0	0.0015	0.0025445	0.0015	0.0	9.95E-4	
Oie de taïga	0.0	0.0	0.0	0.0014706	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Oie de toundra	0.0	0.0	0.0	0.0044118	0.0	0.0017301	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Oie à bec court	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	
Anser sp. (forme domestique)	0.0	0.0	0.0	0.0	0.0	0.0	0.0013477	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Bernache cravant	0.1595745	0.1545455	0.1375291	0.1382353	0.0942982	0.200692	0.2291105	0.1883614	0.09839	0.0812274	0.0676056	0.0345622	0.0254425	0.0161987	0.0084666	8.258E-4	0.0022472	0.0039339	0.0015	0.0040064	0.0052016	0.0	0.0014599	0.0025413	0.0	0.0011161	9.346E-4	0.0012895	0.0015	0.0	0.0	8.953E-4	0.003632	0.0	0.0035211	0.0130624	0.0211946	0.0560748	0.0467626	0.090411	0.1218569	0.083691	0.1245791	0.1489362	0.1552163	0.1559889	0.1631016	0.1761194	
Bernache nonnette	0.0013298	0.0018182	0.0015	0.0058824	0.0087719	0.0017301	0.0013477	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0011236	0.0	0.0015	0.0	0.0015	0.0	0.0014599	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0015	0.0015576	0.0015	0.0027397	0.0015	0.0015	0.003367	0.0021277	0.0025445	0.0083565	0.0053476	0.0029851	
Bernache du Canada	0.0039894	0.0109091	0.016317	0.0029412	0.004386	0.0034602	0.0107817	0.007657	0.0017889	0.0108303	0.0056338	0.0046083	0.005531	0.0043197	0.0112888	0.0107349	0.0123596	0.0062943	0.008761	0.0088141	0.0052016	0.006079	0.0116788	0.0101652	0.0040161	0.0033482	0.0046729	0.0045132	0.0037037	0.0035211	0.001004	0.0044763	0.003632	0.0066401	0.0105634	0.0072569	0.0057803	0.0109034	0.0035971	0.0041096	0.0019342	0.0042918	0.003367	0.0021277	0.0076336	0.005571	0.0026738	0.0015	
Hybride Oie cendrée x Bernache du Canada	0.0	0.0054545	0.004662	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015736	0.0	0.0016026	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0012895	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0015	0.0	0.0026738	0.0	
Bernache à cou roux	0.0039894	0.0036364	0.0015	0.0015	0.0	0.0017301	0.0	0.0015314	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0042553	0.0025445	0.0	0.0026738	0.0029851	
Cygne tuberculé	0.1303191	0.1381818	0.1561772	0.1235294	0.1447368	0.150519	0.1576819	0.1393568	0.1252236	0.1787004	0.1760563	0.1682028	0.159292	0.1652268	0.1373471	0.1668043	0.1359551	0.1188041	0.1013767	0.1113782	0.1417425	0.0927052	0.1080292	0.1092757	0.1204819	0.109375	0.0981308	0.0915538	0.1209877	0.1267606	0.123494	0.1450313	0.12954	0.1527224	0.1760563	0.1277213	0.0982659	0.1043614	0.1007194	0.1260274	0.1295938	0.1309013	0.1245791	0.1617021	0.178117	0.1949861	0.1657754	0.1273632	
Cygne noir	0.0013298	0.0	0.009324	0.0014706	0.0	0.0051903	0.0013477	0.0015	0.0017889	0.0	0.0014085	0.0	0.0011062	0.0010799	0.0015	8.258E-4	0.0011236	7.868E-4	0.0	0.0015	0.0015	0.0015	0.0	0.0015	0.0013387	0.0015	9.346E-4	0.0015	0.0015	0.0011737	0.003012	0.0044763	0.003632	0.002656	0.0	0.0072569	0.0057803	0.0046729	0.0	0.0013699	0.0	0.0021459	0.0	0.0	0.0	0.0	0.0026738	0.0039801	
Cygne de Bewick	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0011521	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Cygne chanteur	0.0	0.0	0.0	0.0	0.002193	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0076336	0.0083565	0.0080214	0.0	
cygne sp.	0.0	0.0018182	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0018051	0.0015	0.0015	0.0	0.0	9.407E-4	0.0	0.0	7.868E-4	0.0012516	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.447E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0035211	0.0	0.0	0.0015576	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
anatidé sp. (oie sp.)	0.0	0.0	0.0	0.0014706	0.002193	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.407E-4	0.0	0.0022472	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0023474	0.0	0.0	0.0012107	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0019342	0.0015	0.0	0.0	0.0	0.0	0.0	9.95E-4	
Ouette d'Égypte	0.0	0.0036364	0.0	0.0014706	0.002193	0.0034602	0.0013477	0.0015	0.0053667	0.0015	0.0	0.0023041	0.0022124	0.0010799	9.407E-4	0.0041288	0.0044944	0.0015736	0.0012516	8.013E-4	0.0052016	0.0045593	0.0014599	0.0	0.0015	0.0033482	9.346E-4	0.0	0.0012346	0.0015	0.0	8.953E-4	0.0012107	0.002656	0.0035211	0.0015	0.0015	0.0015	0.0	0.0015	0.0	0.0	0.003367	0.0021277	0.0025445	0.0	0.0	0.00199	
Tadorne casarca	0.0053191	0.0054545	0.002331	0.0029412	0.002193	0.0034602	0.0040431	0.0015314	0.0015	0.0018051	0.0	0.0011521	0.0	0.0	0.0	0.0015	0.0	0.0	0.0015	8.013E-4	0.0013004	0.0	0.0	0.0	0.0	0.0015	0.0015	0.0015	0.0015	0.0023474	0.001004	8.953E-4	0.0	0.0	0.0015	0.0015	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0053476	0.00199	
Hybride Ouette d'Égypte x Tadorne casarca	0.0	0.0018182	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Tadorne à tête grise	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Tadorne de Belon	0.1462766	0.1472727	0.1724942	0.1397059	0.1315789	0.1885813	0.2264151	0.1776417	0.1735242	0.1841155	0.2	0.1831797	0.1946903	0.1987041	0.1759172	0.192403	0.158427	0.1384736	0.0938673	0.099359	0.1404421	0.0881459	0.0992701	0.0876747	0.107095	0.0825893	0.0672897	0.0644745	0.0691358	0.064554	0.0783133	0.0743062	0.0726392	0.0956175	0.0985915	0.0667634	0.0809249	0.0623053	0.0611511	0.0917808	0.1083172	0.1223176	0.1212121	0.1680851	0.1679389	0.1727019	0.1283422	0.1432836	
Hybride Tadorne casarca x T. de Belon	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.95E-4	
Canard musqué	0.0066489	0.0036364	0.004662	0.0014706	0.002193	0.0	0.0026954	0.0	0.0035778	0.0	0.0	0.0	0.0011062	0.0032397	0.0	0.0016515	0.0022472	0.0015736	0.0025031	0.0024038	0.0	0.0030395	0.0	0.0012706	0.0013387	0.0	0.0028037	0.0	0.0	0.0011737	0.0	0.003581	0.0012107	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0019342	0.0	0.0	0.0	0.0025445	0.005571	0.0	0.0015	
Canard à collier noir	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0011062	0.0	0.0	0.0	0.0	0.0	0.0	8.013E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0035971	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Canard carolin	0.0	0.0	0.002331	0.0	0.0015	0.0	0.0	0.0	0.0017889	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0012516	0.0	0.0	0.0015198	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	
Canard mandarin	0.0013298	0.0015	0.002331	0.0029412	0.0	0.0	0.0	0.0015314	0.0017889	0.0	0.0	0.0	0.0015	0.0015	0.0018815	0.0	0.0015	7.868E-4	0.0025031	0.0016026	0.0	0.0	0.0	0.0012706	0.0	0.0	9.346E-4	6.447E-4	0.0	0.0015	0.0	0.0017905	0.0015	0.0	0.0015	0.0	0.0019268	0.0	0.0	0.0013699	0.0019342	0.0021459	0.0	0.0021277	0.0025445	0.0	0.0015	9.95E-4	
Canard amazonette	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Sarcelle d'été	0.0026596	0.0	0.0	0.0	0.0	0.0	0.0	0.0030628	0.0035778	0.0072202	0.0183099	0.0299539	0.0353982	0.024838	0.0225776	0.0090834	0.011236	0.0086546	0.0037547	0.0024038	0.0039012	0.0045593	0.0015	0.0076239	0.0040161	0.0022321	0.0028037	0.0032237	0.0049383	0.0105634	0.0160643	0.007162	0.0048426	0.0079681	0.0052817	0.0	0.0038536	0.0015576	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Sarcelle à ailes bleues	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Canard souchet	0.1156915	0.14	0.1351981	0.1338235	0.1074561	0.1072664	0.106469	0.1087289	0.1288014	0.1425993	0.1380282	0.1394009	0.1349558	0.100432	0.0799624	0.0644096	0.0516854	0.0354052	0.020025	0.0280449	0.0364109	0.0212766	0.020438	0.0228717	0.0147256	0.015625	0.0205607	0.0174081	0.0308642	0.0293427	0.0371486	0.042077	0.0423729	0.0664011	0.1038732	0.08418	0.0693642	0.0700935	0.0503597	0.0684932	0.0793037	0.1072961	0.1245791	0.1234043	0.1577608	0.1532033	0.1256684	0.1104478	
Canard chipeau	0.0691489	0.0745455	0.0629371	0.0558824	0.0416667	0.0449827	0.0363881	0.0336907	0.0322004	0.0523466	0.0492958	0.0449309	0.0486726	0.0356371	0.0470367	0.0445912	0.0438202	0.0354052	0.0375469	0.0216346	0.0325098	0.0182371	0.010219	0.0139771	0.0066934	0.0178571	0.0121495	0.0141844	0.0160494	0.0211268	0.0381526	0.0295434	0.0217918	0.0225764	0.0475352	0.0261248	0.017341	0.017134	0.0125899	0.0232877	0.0309478	0.0429185	0.037037	0.0595745	0.0788804	0.0752089	0.0561497	0.0557214	
Canard siffleur	0.0571809	0.0745455	0.048951	0.0573529	0.0482456	0.0346021	0.0363881	0.0214395	0.0483005	0.0306859	0.0295775	0.0264977	0.0210177	0.0097192	0.0094073	0.0024773	0.0044944	0.0094414	0.0012516	0.0040064	0.0039012	0.0015198	0.0058394	0.0012706	0.0015	0.0011161	9.346E-4	0.0	0.0	0.0035211	0.001004	0.003581	0.0012107	0.002656	0.0088028	0.0101597	0.0077071	0.0124611	0.0125899	0.0246575	0.0270793	0.0407725	0.037037	0.0468085	0.0763359	0.0529248	0.0508021	0.0547264	
Canard à front blanc	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Hybride Canard siffleur x C. à front blanc	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0021459	0.0	0.0	0.0	0.0	0.0	0.0	
Canard colvert	0.2952128	0.3309091	0.3659674	0.2985294	0.2938596	0.3096886	0.3450135	0.3047473	0.3434705	0.3736462	0.3633803	0.3502304	0.3274336	0.3272138	0.3142051	0.3336086	0.3011236	0.2533438	0.2365457	0.224359	0.2405722	0.1762918	0.1927007	0.180432	0.2115127	0.1629464	0.1831776	0.1818182	0.2135802	0.2183099	0.2369478	0.2435094	0.2288136	0.2974768	0.3257042	0.2612482	0.2312139	0.1978193	0.2032374	0.2452055	0.205029	0.2553648	0.2626263	0.2829787	0.2977099	0.3203343	0.2647059	0.279602	
Hybride Canard chipeau x C. colvert	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Canard des Bahamas	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
