









Frequency of observations in the selected location(s).:
Number of taxa: 	388

	Jan				Feb				Mar				Apr				May				Jun				Jul				Aug				Sep				Oct				Nov				Dec				
Sample Size:	292.0	178.0	224.0	360.0	224.0	292.0	352.0	319.0	372.0	285.0	302.0	435.0	394.0	431.0	472.0	544.0	458.0	585.0	472.0	715.0	473.0	531.0	417.0	527.0	375.0	401.0	391.0	577.0	360.0	388.0	354.0	394.0	247.0	261.0	331.0	326.0	285.0	324.0	314.0	444.0	200.0	182.0	175.0	161.0	131.0	178.0	174.0	350.0	

Oie à tête barrée	0.0	0.0	0.0	0.0	0.0044643	0.0034247	0.0	0.0	0.0015	0.0	0.0	0.0022989	0.0025381	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0024938	0.0	0.0	0.0	0.0	0.0	0.0076142	0.0040486	0.0076628	0.0	0.0030675	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0028571	
Oie des neiges	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0028571	
Oie cendrée	0.0273973	0.0168539	0.0044643	0.0111111	0.0401786	0.0582192	0.0255682	0.0282132	0.0430108	0.0350877	0.0331126	0.0275862	0.0203046	0.0301624	0.0233051	0.0257353	0.0218341	0.017094	0.0190678	0.0055944	0.0084567	0.0094162	0.0095923	0.0075901	0.016	0.0174564	0.0153453	0.0242634	0.0166667	0.007732	0.0225989	0.0253807	0.0202429	0.0344828	0.0241692	0.0214724	0.0175439	0.0246914	0.0191083	0.0518018	0.045	0.0274725	0.0228571	0.0310559	0.0458015	0.0168539	0.0229885	0.04	
Oie cygnoïde	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0031348	0.0	0.0	0.0	0.0	0.0	0.0	0.0021186	0.0018382	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0025575	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0028571	
Oie rieuse	0.0015	0.005618	0.0044643	0.0027778	0.0178571	0.0034247	0.0028409	0.0015	0.0026882	0.0	0.0033113	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0031847	0.0022523	0.005	0.010989	0.0057143	0.0015	0.0	0.0015	0.0015	0.0085714	
Oie de toundra	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0028571	
Oie à bec court	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0022523	0.01	0.0015	0.0	0.0	0.0	0.0	0.0	0.0028571	
Bernache cravant	0.0376712	0.0224719	0.03125	0.0361111	0.0625	0.0308219	0.0852273	0.0344828	0.0134409	0.0035088	0.0198675	0.0206897	0.0050761	0.0069606	0.0127119	0.0015	0.0021834	0.0051282	0.0	0.0	0.0	0.0018832	0.0	0.0	0.0026667	0.0	0.0	0.0	0.0027778	0.0	0.0015	0.0	0.0	0.0	0.0241692	0.0122699	0.0350877	0.0493827	0.0732484	0.0743243	0.045	0.043956	0.04	0.0745342	0.0763359	0.0280899	0.0402299	0.1057143	
