









Frequency of observations in the selected location(s).:
Number of taxa: 	552

	Jan				Feb				Mar				Apr				May				Jun				Jul				Aug				Sep				Oct				Nov				Dec				
Sample Size:	994.0	756.0	761.0	1074.0	797.0	777.0	923.0	948.0	879.0	861.0	973.0	1625.0	1409.0	1512.0	1635.0	2271.0	1774.0	2161.0	1649.0	2275.0	1299.0	1143.0	1043.0	1314.0	1203.0	1149.0	1151.0	1600.0	1022.0	965.0	1155.0	1466.0	1052.0	1217.0	916.0	902.0	683.0	715.0	654.0	829.0	543.0	570.0	503.0	542.0	513.0	471.0	527.0	1094.0	

Dendrocygne veuf	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.064E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Dendrocygne à ventre noir	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Dendrocygne fauve	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.403E-4	0.0	4.627E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.703E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0021231	0.0	0.0	
Oie à tête barrée	0.0	0.0	0.0013141	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.154E-4	0.0	0.0	6.116E-4	0.0	0.0	4.627E-4	0.0	0.0	0.0	0.0	9.588E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Oie cendrée	0.0160966	0.0224868	0.0275953	0.0214153	0.0200753	0.020592	0.0195016	0.0232068	0.0250284	0.0243902	0.0154162	0.0209231	0.012775	0.0244709	0.02263	0.0101277	0.011274	0.0106432	0.01698	0.0052747	0.0107775	0.0131234	0.0076702	0.0091324	0.0099751	0.0095735	0.0017376	0.005625	0.0019569	0.0124352	0.0112554	0.0122783	0.013308	0.0123254	0.0054585	0.0055432	0.0073206	0.013986	0.030581	0.0156815	0.0220994	0.0140351	0.0218688	0.0166052	0.0116959	0.0212314	0.0227704	0.0127971	
Hybride Oie à tête barrée x O. cendrée	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.403E-4	0.0	0.0	0.0	0.0	0.0	0.0	9.588E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Oie cygnoïde	0.001006	0.0	0.0026281	0.0018622	0.0	0.001287	0.0	0.0	0.0	0.0	0.0020555	0.0	0.0	0.0015	0.0	0.0	0.0	0.0015	0.0	4.396E-4	0.0	0.0	0.0	0.0	8.313E-4	8.703E-4	0.0	0.0	9.785E-4	0.0	0.0	6.821E-4	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0012063	0.0018416	0.0017544	0.0019881	0.001845	0.0	0.0042463	0.0	0.0	
Hybride Oie cendrée x O. cygnoïde	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0019881	0.0	0.0	0.0	0.0	0.0	
