









Frequency of observations in the selected location(s).:
Number of taxa: 	575

	Jan				Feb				Mar				Apr				May				Jun				Jul				Aug				Sep				Oct				Nov				Dec				
Sample Size:	624.0	524.0	639.0	834.0	626.0	751.0	873.0	792.0	871.0	938.0	990.0	1571.0	1513.0	1366.0	1752.0	2407.0	1943.0	2146.0	1561.0	2119.0	1262.0	1260.0	1171.0	1347.0	887.0	1029.0	1006.0	1308.0	762.0	677.0	753.0	1089.0	1069.0	982.0	944.0	974.0	690.0	827.0	665.0	984.0	559.0	589.0	398.0	529.0	518.0	446.0	428.0	999.0	

Oie à tête barrée	0.0	0.0015	0.0	0.001199	0.0	0.0	0.0011455	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.002656	9.183E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0017889	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Oie des neiges	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0014641	5.708E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Oie cendrée	0.0192308	0.0209924	0.0172144	0.0323741	0.0239617	0.0186418	0.0080183	0.0088384	0.0080367	0.0042644	0.0141414	0.0120942	0.010575	0.0073206	0.0039954	0.0041545	0.0072054	0.0065238	0.0038437	0.0070788	0.0055468	7.937E-4	0.0068318	0.0096511	0.005637	0.0029155	0.0039761	0.0038226	0.003937	0.0073855	0.0106242	0.0064279	0.0074836	0.0040733	0.0105932	0.013347	0.0130435	0.0120919	0.0285714	0.0152439	0.0375671	0.0118846	0.0201005	0.0189036	0.0328185	0.0336323	0.021028	0.013013	
Oie cygnoïde	0.0	0.0	0.0015649	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.719E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Oie rieuse	0.0	0.0	0.0015	0.001199	0.0015	0.0013316	0.0011455	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0010163	0.0	0.0	0.0	0.0	0.0019305	0.0022422	0.0	0.0	
Oie de toundra	0.0	0.0	0.0	0.0	0.0	0.0	0.0011455	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	
Anser sp. (forme domestique)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.321E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Bernache cravant	0.0	0.0	0.0	0.0	0.0	0.0	0.0011455	0.0	0.0	0.0	0.0010101	0.0	0.0	0.0	0.0	4.155E-4	0.0015	0.0	6.406E-4	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
