









Frequency of observations in the selected location(s).:
Number of taxa: 	478

	Jan				Feb				Mar				Apr				May				Jun				Jul				Aug				Sep				Oct				Nov				Dec				
Sample Size:	232.0	179.0	210.0	276.0	215.0	226.0	256.0	229.0	230.0	253.0	268.0	391.0	331.0	368.0	326.0	440.0	388.0	386.0	324.0	475.0	358.0	315.0	238.0	351.0	315.0	312.0	369.0	407.0	328.0	256.0	405.0	472.0	269.0	198.0	215.0	292.0	241.0	210.0	161.0	239.0	146.0	110.0	136.0	134.0	108.0	155.0	156.0	467.0	

Dendrocygne fauve	0.0	0.0055866	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0021413	
Oie à tête barrée	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0021186	0.0	0.0050505	0.0	0.0	0.0	0.0	0.0	0.0	0.0068493	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	
Oie des neiges	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Oie cendrée	0.0258621	0.0726257	0.047619	0.0398551	0.1116279	0.0575221	0.0507813	0.0655022	0.0434783	0.055336	0.0410448	0.0741688	0.060423	0.0652174	0.0368098	0.0340909	0.0438144	0.0259067	0.0185185	0.0210526	0.0167598	0.0222222	0.0210084	0.037037	0.0190476	0.025641	0.0108401	0.027027	0.0487805	0.0273438	0.0345679	0.0275424	0.0297398	0.0151515	0.0186047	0.0171233	0.0207469	0.0190476	0.0496894	0.0376569	0.0479452	0.0454545	0.0220588	0.0447761	0.0185185	0.0322581	0.0512821	0.0171306	
Oie cygnoïde	0.0015	0.0	0.0	0.0	0.0	0.0	0.0039063	0.0	0.0	0.0	0.0	0.0	0.0030211	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0021413	
Oie rieuse	0.0043103	0.0055866	0.0047619	0.0072464	0.0093023	0.0	0.0015	0.0043668	0.0	0.0015	0.0	0.0015	0.0015	0.0	0.0030675	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0064103	0.0	0.002457	0.0	0.0	0.0	0.0	0.0	0.0	0.0046512	0.0034247	0.0041494	0.0	0.0	0.0	0.0136986	0.0090909	0.0015	0.0074627	0.0092593	0.0064516	0.0064103	0.0042827	
Oie de toundra	0.0015	0.0015	0.0095238	0.0	0.0093023	0.0044248	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0015	0.0015	0.0	0.0015	0.0	
Oie à bec court	0.0043103	0.0055866	0.0015	0.0015	0.0046512	0.0	0.0015	0.0	0.0	0.0	0.0	0.0076726	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0041841	0.0136986	0.0090909	0.0015	0.0074627	0.0092593	0.0015	0.0192308	0.0042827	
Anser sp. (forme domestique)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0030211	0.0	0.0	0.0	0.0	0.0015	0.0030864	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Bernache cravant	0.0948276	0.1117318	0.0857143	0.1413043	0.1860465	0.1150442	0.1054688	0.0786026	0.0869565	0.0632411	0.0261194	0.0485934	0.0302115	0.0163043	0.0184049	0.0181818	0.0103093	0.0015	0.0061728	0.0042105	0.0027933	0.0015	0.0015	0.002849	0.0031746	0.0032051	0.0	0.004914	0.0015	0.0117188	0.0049383	0.0042373	0.0037175	0.0050505	0.0093023	0.0205479	0.0414938	0.052381	0.068323	0.0711297	0.0821918	0.0090909	0.0735294	0.0597015	0.0740741	0.116129	0.1346154	0.1199143	
Bernache nonnette	0.0015	0.0055866	0.0015	0.0036232	0.0	0.0044248	0.0039063	0.0087336	0.0086957	0.0039526	0.0015	0.0025575	0.0060423	0.0163043	0.0030675	0.0045455	0.0025773	0.0	0.0030864	0.0042105	0.0	0.0031746	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0021186	0.0037175	0.0050505	0.0015	0.0015	0.0	0.0	0.0	0.0	0.0015	0.0015	0.0015	0.0015	0.0015	0.0064516	0.0015	0.0042827	
