









Frequency of observations in the selected location(s).:
Number of taxa: 	943

	Jan				Feb				Mar				Apr				May				Jun				Jul				Aug				Sep				Oct				Nov				Dec				
Sample Size:	61653.0	42935.0	41795.0	56653.0	38867.0	39776.0	40252.0	42154.0	43022.0	39935.0	45196.0	65080.0	52618.0	54583.0	56222.0	73644.0	59541.0	59561.0	50937.0	70864.0	46847.0	45240.0	43853.0	51305.0	40034.0	40064.0	39044.0	52873.0	39558.0	38728.0	41108.0	54186.0	34036.0	32605.0	33033.0	40269.0	32473.0	36166.0	32429.0	42428.0	29297.0	27982.0	26650.0	32285.0	23709.0	24055.0	24882.0	44681.0	

Émeu d'Australie	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Nandou d'Amérique	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	
Dendrocygne veuf	0.0	0.0	0.0015	5.3E-5	0.0015	0.0015	2.48E-5	0.0	2.32E-5	5.01E-5	6.64E-5	0.0015	1.9E-5	7.33E-5	3.56E-5	8.15E-5	3.36E-5	6.72E-5	0.0015	5.64E-5	2.13E-5	2.21E-5	6.84E-5	0.0	0.0	2.5E-5	7.68E-5	3.78E-5	0.0	0.0	0.0	1.85E-5	0.0	0.0	1.211E-4	2.48E-5	3.08E-5	0.0	9.25E-5	0.0	0.0	0.0	0.0	0.0	0.0	4.16E-5	4.02E-5	6.71E-5	
Dendrocygne à ventre noir	3.24E-5	1.165E-4	4.79E-5	0.0	0.0	0.0	0.0	0.0	4.65E-5	2.5E-5	0.0	3.07E-5	1.9E-5	0.0	3.56E-5	0.0015	0.0	0.0	0.0	0.0	2.13E-5	0.0	0.0	0.0015	0.0	2.5E-5	2.56E-5	0.0	2.53E-5	2.58E-5	0.0	1.85E-5	0.0015	6.13E-5	3.03E-5	2.48E-5	0.0	0.0	0.0	2.36E-5	3.41E-5	3.57E-5	3.75E-5	0.0	0.0	8.31E-5	4.02E-5	6.71E-5	
Dendrocygne fauve	9.73E-5	2.33E-5	4.79E-5	1.77E-5	0.0	0.0	0.0	0.0	2.32E-5	5.01E-5	2.21E-5	7.68E-5	3.8E-5	5.5E-5	7.11E-5	5.43E-5	1.68E-5	6.72E-5	5.89E-5	5.64E-5	0.0	1.326E-4	2.28E-5	0.0015	0.0	0.0015	2.56E-5	1.89E-5	0.0	0.0	0.0015	3.69E-5	5.88E-5	6.13E-5	3.03E-5	4.97E-5	0.0	0.0015	9.25E-5	0.0	0.0	0.0	3.75E-5	0.0	4.22E-5	4.16E-5	4.02E-5	4.48E-5	
Hybride Dendrocygne à ventre noir x D. fauve	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.85E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Dendrocygne à lunules	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.94E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Dendrocygne siffleur	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.12E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
