









Frequency of observations in the selected location(s).:
Number of taxa: 	880

	Jan				Feb				Mar				Apr				May				Jun				Jul				Aug				Sep				Oct				Nov				Dec				
Sample Size:	53224.0	36170.0	35006.0	47802.0	32533.0	32832.0	32900.0	34655.0	35627.0	33601.0	38172.0	54683.0	43888.0	44895.0	45748.0	58271.0	47612.0	46740.0	38921.0	53938.0	34917.0	33764.0	32218.0	38201.0	30294.0	30073.0	29919.0	40845.0	30516.0	29826.0	31426.0	42157.0	26703.0	24904.0	25039.0	30287.0	24916.0	29112.0	26439.0	35028.0	24082.0	23126.0	21872.0	26736.0	19487.0	19941.0	20766.0	37450.0	

Émeu d'Australie	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Nandou d'Amérique	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	
Dendrocygne veuf	0.0	0.0	0.0015	6.28E-5	0.0015	0.0015	3.04E-5	0.0	2.81E-5	5.95E-5	7.86E-5	0.0015	2.28E-5	8.91E-5	4.37E-5	1.03E-4	4.2E-5	8.56E-5	0.0015	7.42E-5	2.86E-5	2.96E-5	9.31E-5	0.0	0.0	3.33E-5	1.003E-4	4.9E-5	0.0	0.0	0.0	2.37E-5	0.0	0.0	1.598E-4	3.3E-5	4.01E-5	0.0	1.135E-4	0.0	0.0	0.0	0.0	0.0	0.0	5.01E-5	4.82E-5	8.01E-5	
Dendrocygne à ventre noir	3.76E-5	1.382E-4	5.71E-5	0.0	0.0	0.0	0.0	0.0	5.61E-5	2.98E-5	0.0	3.66E-5	2.28E-5	0.0	4.37E-5	0.0015	0.0	0.0	0.0	0.0	2.86E-5	0.0	0.0	0.0015	0.0	3.33E-5	3.34E-5	0.0	3.28E-5	3.35E-5	0.0	2.37E-5	0.0015	8.03E-5	3.99E-5	3.3E-5	0.0	0.0	0.0	2.85E-5	4.15E-5	4.32E-5	4.57E-5	0.0	0.0	1.003E-4	4.82E-5	8.01E-5	
Dendrocygne fauve	1.127E-4	2.76E-5	5.71E-5	2.09E-5	0.0	0.0	0.0	0.0	2.81E-5	5.95E-5	2.62E-5	9.14E-5	4.56E-5	6.68E-5	8.74E-5	6.86E-5	2.1E-5	8.56E-5	7.71E-5	5.56E-5	0.0	1.777E-4	3.1E-5	0.0015	0.0	0.0015	3.34E-5	2.45E-5	0.0	0.0	0.0015	4.74E-5	7.49E-5	8.03E-5	3.99E-5	6.6E-5	0.0	0.0015	1.135E-4	0.0	0.0	0.0	4.57E-5	0.0	5.13E-5	5.01E-5	4.82E-5	5.34E-5	
Hybride Dendrocygne à ventre noir x D. fauve	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.37E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Dendrocygne siffleur	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.68E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Dendrocygna sp.	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.35E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Oie à tête barrée	9.394E-4	9.124E-4	5.428E-4	3.975E-4	5.84E-4	8.224E-4	3.343E-4	4.328E-4	7.017E-4	3.571E-4	3.406E-4	3.657E-4	2.962E-4	5.569E-4	5.902E-4	6.006E-4	3.36E-4	6.205E-4	0.0010534	8.528E-4	6.587E-4	8.885E-4	0.0013347	0.0011256	0.0012214	0.0013301	9.693E-4	0.0011262	0.0011469	0.0010394	0.0011455	0.0010437	4.494E-4	6.023E-4	0.0010384	5.943E-4	8.027E-4	6.183E-4	4.917E-4	4.568E-4	6.644E-4	6.919E-4	6.401E-4	7.107E-4	6.158E-4	5.516E-4	5.779E-4	5.073E-4	
Oie empereur	1.315E-4	2.76E-5	5.71E-5	2.09E-5	3.07E-5	6.09E-5	3.04E-5	2.89E-5	2.81E-5	2.98E-5	2.62E-5	7.31E-5	4.56E-5	4.45E-5	4.37E-5	3.43E-5	2.1E-5	0.0	0.0015	3.71E-5	2.86E-5	0.0015	3.1E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.18E-5	0.0	0.0	0.0015	0.0	3.3E-5	0.0	0.0	0.0	5.71E-5	0.0	4.32E-5	0.0	3.74E-5	0.0	5.01E-5	0.0	1.068E-4	
Oie des neiges	0.001954	0.0022118	0.0014855	0.0017154	0.0014754	0.0013097	0.0014286	0.0014428	9.824E-4	0.0014881	0.0010741	0.0012252	7.975E-4	5.569E-4	6.339E-4	7.036E-4	8.401E-4	5.777E-4	6.937E-4	4.264E-4	3.15E-4	2.073E-4	1.552E-4	2.618E-4	1.32E-4	2.328E-4	2.674E-4	3.917E-4	6.882E-4	7.041E-4	0.0013365	0.0016605	0.0017976	0.0016865	9.186E-4	0.0016839	0.001204	0.0013053	8.321E-4	0.0013989	0.0010381	0.0015134	0.0016917	6.358E-4	0.0010776	0.0013038	0.001252	0.0016822	
Hybride Oie à tête barrée x O. des neiges	9.39E-5	1.382E-4	5.71E-5	1.674E-4	3.07E-5	9.14E-5	9.12E-5	8.66E-5	5.61E-5	2.98E-5	2.62E-5	5.49E-5	1.139E-4	0.0015	0.0	0.0	0.0	2.14E-5	0.0015	0.0	0.0	0.0015	0.0015	5.24E-5	0.0	0.0	3.34E-5	2.45E-5	0.0	0.0	6.36E-5	7.12E-5	7.49E-5	4.02E-5	0.0015	0.0	0.0	0.0	7.56E-5	8.56E-5	0.0	8.65E-5	9.14E-5	1.122E-4	1.539E-4	0.0	2.408E-4	1.869E-4	
