









Frequency of observations in the selected location(s).:
Number of taxa: 	320

	Jan				Feb				Mar				Apr				May				Jun				Jul				Aug				Sep				Oct				Nov				Dec				
Sample Size:	451.0	256.0	297.0	354.0	289.0	255.0	271.0	290.0	292.0	291.0	308.0	396.0	375.0	420.0	402.0	649.0	542.0	509.0	488.0	682.0	440.0	498.0	522.0	542.0	528.0	426.0	507.0	657.0	452.0	447.0	380.0	450.0	296.0	239.0	293.0	334.0	214.0	242.0	181.0	227.0	213.0	185.0	183.0	235.0	154.0	194.0	218.0	498.0	

Oie cendrée	0.0731707	0.078125	0.0639731	0.0819209	0.1245675	0.0784314	0.0590406	0.1172414	0.109589	0.0756014	0.1103896	0.1060606	0.1093333	0.1238095	0.1218905	0.0986133	0.1346863	0.1807466	0.1413934	0.0894428	0.1068182	0.0883534	0.0804598	0.0553506	0.0587121	0.0657277	0.0927022	0.0958904	0.0840708	0.0805369	0.0921053	0.0844444	0.0810811	0.0502092	0.0511945	0.0508982	0.0700935	0.0619835	0.0828729	0.0748899	0.0375587	0.0810811	0.0491803	0.093617	0.0844156	0.0463918	0.0642202	0.0923695	
Hybride Oie cendrée x O. cygnoïde	0.0	0.0	0.003367	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002381	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Oie rieuse	0.0022173	0.0117188	0.0015	0.0028249	0.0034602	0.0039216	0.00369	0.0103448	0.0068493	0.0	0.0032468	0.0025253	0.0053333	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0041322	0.0015	0.0015	0.0093897	0.0015	0.0015	0.0042553	0.0064935	0.0015	0.0015	0.0040161	
Oie à bec court	0.0022173	0.0039063	0.006734	0.0015	0.0015	0.0015	0.00369	0.0034483	0.0034247	0.0015	0.0015	0.0050505	0.0015	0.0015	0.0099502	0.0030817	0.0015	0.0015	0.0020492	0.0015	0.0015	0.0	0.0015	0.001845	0.0015	0.0015	0.0019724	0.0015	0.0015	0.0015	0.0	0.0	0.0	0.0015	0.0136519	0.002994	0.0140187	0.0041322	0.0220994	0.0176211	0.0093897	0.0054054	0.0015	0.0015	0.0	0.0015	0.0091743	0.0080321	
Bernache cravant	0.075388	0.046875	0.047138	0.0451977	0.0449827	0.054902	0.0442804	0.062069	0.0445205	0.04811	0.0779221	0.0707071	0.0533333	0.0595238	0.0497512	0.0323575	0.0295203	0.0098232	0.0102459	0.0043988	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0088889	0.0202703	0.0711297	0.0443686	0.0718563	0.0841121	0.0578512	0.1049724	0.0484581	0.084507	0.0378378	0.0382514	0.0723404	0.0194805	0.0618557	0.0642202	0.0923695	
Bernache nonnette	0.0044346	0.0039063	0.0015	0.0112994	0.0034602	0.0117647	0.0015	0.0015	0.0068493	0.0034364	0.0032468	0.0050505	0.0186667	0.002381	0.0049751	0.009245	0.0184502	0.0098232	0.0081967	0.0058651	0.0045455	0.0015	0.0057471	0.0055351	0.0132576	0.0046948	0.0059172	0.0060883	0.0022124	0.0	0.0015	0.0015	0.0067568	0.0015	0.0	0.0015	0.0093458	0.0206612	0.0165746	0.0044053	0.0015	0.0015	0.0015	0.0015	0.0	0.0015	0.0045872	0.0040161	
Hybride Oie cendrée x Bernache nonnette	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0053333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001845	0.0018939	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Bernache du Canada	0.0044346	0.0078125	0.0	0.0	0.0015	0.0	0.0110701	0.0015	0.010274	0.0068729	0.0064935	0.010101	0.0053333	0.0047619	0.0099502	0.0061633	0.0092251	0.0098232	0.0020492	0.0102639	0.0045455	0.0180723	0.0095785	0.001845	0.0075758	0.0070423	0.0059172	0.0182648	0.0088496	0.0067114	0.0078947	0.0	0.0	0.0	0.0	0.0	0.0046729	0.0015	0.0	0.0015	0.0015	0.0108108	0.0	0.0015	0.0	0.0	0.0	0.0015	
Hybride Oie cendrée x Bernache du Canada	0.0	0.0	0.0	0.0	0.0034602	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015408	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002008	
Cygne tuberculé	0.1175166	0.1210938	0.0976431	0.1242938	0.1487889	0.1254902	0.1402214	0.1862069	0.1506849	0.0996564	0.1201299	0.1363636	0.1386667	0.1309524	0.1169154	0.1186441	0.1309963	0.1453831	0.1434426	0.1158358	0.1159091	0.1365462	0.1187739	0.0885609	0.1136364	0.0586854	0.112426	0.1004566	0.1017699	0.0917226	0.1315789	0.1311111	0.0810811	0.1297071	0.1194539	0.1107784	0.0794393	0.0785124	0.1160221	0.0704846	0.1361502	0.1135135	0.1530055	0.1787234	0.1038961	0.1340206	0.1284404	0.1646586	
Cygne noir	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0020492	0.0	0.0	0.0040161	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0042553	0.0	0.0	0.0	0.0	
Cygne chanteur	0.0487805	0.0429688	0.040404	0.0225989	0.0242215	0.0313725	0.0184502	0.0172414	0.0273973	0.0171821	0.0064935	0.0328283	0.0186667	0.0047619	0.0024876	0.0030817	0.0073801	0.0098232	0.0	0.0073314	0.0068182	0.0	0.0057471	0.0055351	0.0056818	0.0046948	0.0019724	0.0030441	0.0044248	0.0067114	0.0026316	0.0022222	0.0033784	0.0	0.0136519	0.0149701	0.0420561	0.0495868	0.0607735	0.0660793	0.0938967	0.0648649	0.0546448	0.0553191	0.0324675	0.0154639	0.059633	0.0702811	
cygne sp.	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0046729	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002008	
anatidé sp. (oie sp.)	0.0015	0.0015	0.003367	0.0	0.0	0.0	0.00369	0.0034483	0.0068493	0.0	0.0	0.0025253	0.0026667	0.002381	0.0049751	0.0	0.0	0.0	0.0	0.0014663	0.0	0.0040161	0.0	0.0015	0.0018939	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0093458	0.0015	0.0015	0.0015	0.0015	0.0	0.0015	0.0015	0.0015	0.0	0.0045872	0.0	
Tadorne casarca	0.0	0.0	0.003367	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0023474	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0054054	0.0015	0.0042553	0.0	0.0	0.0	0.002008	
