









Frequency of observations in the selected location(s).:
Number of taxa: 	631

	Jan				Feb				Mar				Apr				May				Jun				Jul				Aug				Sep				Oct				Nov				Dec				
Sample Size:	6230.0	5231.0	5262.0	6755.0	4848.0	5338.0	5666.0	5863.0	5742.0	4863.0	5301.0	7733.0	6565.0	7416.0	8019.0	12037.0	9139.0	9931.0	9521.0	13269.0	9551.0	8884.0	9118.0	10192.0	7334.0	7746.0	7036.0	9188.0	7036.0	6882.0	7588.0	9550.0	5893.0	6457.0	6624.0	8303.0	6428.0	5745.0	4921.0	5878.0	4203.0	3951.0	3747.0	4381.0	3403.0	3200.0	3215.0	5323.0	

Dendrocygne fauve	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.54E-5	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Oie à tête barrée	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.706E-4	0.0015	0.0	0.0	1.293E-4	0.0	0.0	1.247E-4	8.31E-5	1.094E-4	1.007E-4	0.0015	0.0	0.0	0.0015	2.193E-4	9.81E-5	2.727E-4	0.0015	1.421E-4	1.088E-4	0.0	1.453E-4	2.636E-4	0.0	3.394E-4	0.0	1.51E-4	0.0	1.556E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Oie des neiges	0.0027287	0.0017205	5.701E-4	0.0022206	0.0010314	1.873E-4	8.825E-4	1.706E-4	3.483E-4	2.056E-4	5.659E-4	7.759E-4	0.0015	0.0015	1.247E-4	0.0	0.0	3.021E-4	0.0015	7.54E-5	1.047E-4	0.0015	2.193E-4	0.0	0.0015	0.0	0.0	2.177E-4	1.421E-4	0.0	1.318E-4	2.094E-4	0.0015	0.0	0.0	7.226E-4	9.334E-4	8.703E-4	8.128E-4	0.0010208	0.0014276	0.0015186	0.002135	4.565E-4	2.939E-4	3.125E-4	6.221E-4	0.0015029	
Oie de Ross	3.21E-4	1.912E-4	0.0017104	0.0010363	8.251E-4	5.62E-4	3.53E-4	8.528E-4	5.225E-4	8.225E-4	0.0015	2.586E-4	0.0	5.394E-4	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.409E-4	1.556E-4	0.0	0.0	1.701E-4	7.138E-4	5.062E-4	2.669E-4	0.0	0.0015	0.0	6.221E-4	5.636E-4	
Oie cendrée	0.1170144	0.0902313	0.0995819	0.1086603	0.0928218	0.0949794	0.0889516	0.0915913	0.1003135	0.1196792	0.1341256	0.1478081	0.1445545	0.1580367	0.1591221	0.1564343	0.166539	0.1666499	0.1825439	0.1679855	0.1523401	0.1338361	0.107041	0.0741758	0.0650395	0.0750065	0.0830017	0.1221158	0.1223707	0.1115955	0.1084607	0.1045026	0.1041914	0.1060864	0.116244	0.1707816	0.1997511	0.1836379	0.1367608	0.1112623	0.1106353	0.0893445	0.0808647	0.0796622	0.0846312	0.0709375	0.0762053	0.0790907	
Oie cygnoïde	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.05E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Oie rieuse	0.00626	0.0074556	0.0057013	0.0063657	0.0109323	0.0164856	0.0090011	0.0107454	0.0088819	0.0102817	0.005848	0.0068537	0.0039604	0.0020227	0.0013717	4.985E-4	3.283E-4	2.014E-4	1.05E-4	0.0	5.235E-4	0.0	1.097E-4	0.0	0.0	0.0	0.0	0.0	1.421E-4	0.0	1.318E-4	0.0	1.697E-4	0.0	3.019E-4	7.226E-4	9.334E-4	0.0024369	0.0069092	0.005444	0.0073757	0.0020248	0.0082733	0.0041087	0.0055833	0.0053125	9.331E-4	0.0073267	
Oie naine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.31E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.204E-4	3.111E-4	3.481E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Oie de taïga	0.0017657	0.001147	3.801E-4	0.0013323	8.251E-4	9.367E-4	0.0010589	3.411E-4	6.966E-4	0.0010282	7.546E-4	1.293E-4	1.523E-4	2.697E-4	1.247E-4	0.0015	0.0	0.0015	0.0	7.54E-5	2.094E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.039E-4	6.022E-4	3.111E-4	8.703E-4	4.064E-4	0.0010208	9.517E-4	0.0015186	0.0013344	6.848E-4	8.816E-4	0.0021875	9.331E-4	9.393E-4	
Oie de toundra	6.421E-4	3.823E-4	3.801E-4	4.441E-4	0.0014439	0.0020607	0.0030004	0.0032407	0.0027865	0.0026732	0.002641	0.002457	4.57E-4	8.091E-4	2.494E-4	2.492E-4	0.0	0.0015	0.0015	1.507E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.431E-4	4.667E-4	0.0017406	0.0015	1.701E-4	0.0015	0.0015	0.0013344	0.0015	5.877E-4	9.375E-4	3.11E-4	5.636E-4	
Oie de taïga ou O. de toundra	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.742E-4	6.169E-4	0.0	0.0	0.0	1.348E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.481E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Oie à bec court	0.0914928	0.0690117	0.0668947	0.0701702	0.0608498	0.0623829	0.0647723	0.0702712	0.0729711	0.0559326	0.0707414	0.0634941	0.068393	0.0585221	0.0512533	0.0244247	0.0234161	0.0180244	0.0108182	0.006632	0.0054445	0.004615	0.0033999	0.0038265	0.0020453	0.0016783	0.0019898	0.0027209	0.0032689	0.0033421	0.0031629	0.0027225	0.0083149	0.031129	0.0724638	0.1009274	0.097542	0.1399478	0.1324934	0.1160259	0.0989769	0.103265	0.0854017	0.0655102	0.0672936	0.079375	0.0581649	0.0719519	
Anser sp. (forme domestique)	9.631E-4	7.647E-4	0.0011403	7.402E-4	0.0010314	0.0013114	5.295E-4	5.117E-4	8.708E-4	0.0014394	3.773E-4	3.879E-4	0.0	2.697E-4	3.741E-4	3.323E-4	2.188E-4	3.021E-4	4.201E-4	0.0	4.188E-4	4.502E-4	3.29E-4	1.962E-4	0.0	1.291E-4	4.264E-4	5.442E-4	0.0	2.906E-4	6.589E-4	2.094E-4	1.697E-4	4.646E-4	6.039E-4	6.022E-4	6.223E-4	8.703E-4	0.0015	5.104E-4	4.759E-4	7.593E-4	5.338E-4	4.565E-4	8.816E-4	6.25E-4	0.0015552	7.515E-4	
Anser sp.	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.742E-4	0.0	0.0	0.0	0.0	1.348E-4	0.0	8.31E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
