









Frequency of observations in the selected location(s).:
Number of taxa: 	463

	Jan				Feb				Mar				Apr				May				Jun				Jul				Aug				Sep				Oct				Nov				Dec				
Sample Size:	1748.0	1278.0	1230.0	1742.0	1197.0	1351.0	1415.0	1346.0	1361.0	1180.0	1415.0	2268.0	1790.0	1852.0	2053.0	2687.0	2248.0	2381.0	2007.0	2975.0	1939.0	2094.0	1995.0	2370.0	1878.0	1819.0	1582.0	2183.0	1554.0	1573.0	1714.0	2029.0	1144.0	1005.0	1077.0	1345.0	915.0	1067.0	888.0	1295.0	799.0	720.0	848.0	933.0	665.0	720.0	683.0	1410.0	

Dendrocygne à lunules	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.741E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Oie à tête barrée	0.0	0.0	0.0	5.741E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0010718	0.0	0.0	0.0	0.0	
Oie des neiges	5.721E-4	0.0	0.0	0.0028703	8.354E-4	0.0	7.067E-4	0.0	0.0	0.0	0.0021201	0.0015	0.0011173	0.0010799	4.871E-4	0.0011165	4.448E-4	0.0	0.0	0.0	5.157E-4	4.776E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Oie de Ross	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Oie cendrée	0.0909611	0.0688576	0.0821138	0.0683123	0.0927318	0.0717987	0.0657244	0.0824666	0.092579	0.0805085	0.1208481	0.1366843	0.1290503	0.1387689	0.1388212	0.1347227	0.1174377	0.1154977	0.1155954	0.085042	0.0845797	0.0988539	0.0847118	0.0624473	0.0580405	0.0687191	0.085335	0.0769583	0.0688546	0.0718373	0.0723454	0.0517496	0.0541958	0.0616915	0.0519963	0.0542751	0.0622951	0.076851	0.0641892	0.0687259	0.0600751	0.0583333	0.0778302	0.0814577	0.0511278	0.0611111	0.0834553	0.0716312	
Oie cygnoïde	0.0	0.0	8.13E-4	5.741E-4	0.0	0.0	0.0	7.429E-4	0.0	0.0	0.0	8.818E-4	0.0	5.4E-4	0.0	3.722E-4	4.448E-4	4.2E-4	9.965E-4	0.0015	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.741E-4	0.0	9.285E-4	0.0	0.0	9.372E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0015038	0.0	0.0	0.0	
Oie rieuse	0.006865	0.0086072	0.004878	0.0022962	0.0033417	0.0022206	0.004947	0.0089153	0.0080823	0.0059322	0.0042403	0.0017637	0.0039106	0.0043197	0.0043838	3.722E-4	0.0015	4.2E-4	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.372E-4	0.0033784	0.0015	0.0050063	0.0027778	0.0	0.0032154	0.0015038	0.0	0.0058565	0.0070922	
Oie naine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
