









Frequency of observations in the selected location(s).:
Number of taxa: 	716

	Jan				Feb				Mar				Apr				May				Jun				Jul				Aug				Sep				Oct				Nov				Dec				
Sample Size:	4935.0	3774.0	3108.0	4087.0	2974.0	2840.0	4016.0	3669.0	3680.0	3734.0	4517.0	6559.0	5690.0	5511.0	5899.0	8045.0	6259.0	6594.0	5751.0	7724.0	5103.0	4342.0	4165.0	5353.0	4406.0	4134.0	3934.0	5687.0	3879.0	3717.0	3588.0	4360.0	3087.0	3010.0	3246.0	3932.0	3365.0	4207.0	3332.0	4378.0	2686.0	2269.0	1840.0	2687.0	2108.0	2106.0	1956.0	4209.0	

Dendrocygne veuf	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.525E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.27E-4	0.0	2.542E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.543E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Dendrocygne à ventre noir	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.049E-4	0.0	3.629E-4	0.0	1.243E-4	0.0	1.517E-4	0.0	2.589E-4	0.0	4.606E-4	0.0015	5.604E-4	0.0	0.0015	5.084E-4	3.517E-4	5.156E-4	8.071E-4	0.0	2.294E-4	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	2.284E-4	0.0	0.0	5.435E-4	0.0	0.0	0.0	0.0	0.0	
Dendrocygne fauve	2.026E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.629E-4	0.0	1.243E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.001E-4	2.284E-4	3.723E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Oie à tête barrée	0.0010132	5.299E-4	0.0019305	0.0012234	0.001345	0.0028169	0.001245	0.0016353	0.001087	0.0010712	0.0015497	0.0018295	0.0012302	3.629E-4	8.476E-4	7.458E-4	4.793E-4	4.55E-4	1.739E-4	2.589E-4	0.0	2.303E-4	2.401E-4	5.604E-4	2.27E-4	0.0	2.542E-4	0.0	0.0	2.69E-4	2.787E-4	0.0022936	0.0025915	0.0023256	3.081E-4	0.0022889	5.944E-4	0.0	3.001E-4	6.852E-4	0.0011169	0.0013222	5.435E-4	0.0011165	0.0018975	0.0014245	0.0010225	7.128E-4	
Oie des neiges	0.0	2.65E-4	0.0	0.0	0.0	3.521E-4	2.49E-4	2.726E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.722E-4	0.0	0.0	0.0015	0.0	
Oie de Ross	0.0	0.0	6.435E-4	0.0	0.0	0.0	2.49E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Oie cendrée	0.0378926	0.0392157	0.0440798	0.0386592	0.0336247	0.0323944	0.0348606	0.032979	0.0369565	0.0273166	0.0312154	0.0282055	0.0268893	0.0217746	0.0222072	0.020261	0.0215689	0.0192599	0.0182577	0.0138529	0.0097982	0.0092123	0.010084	0.0100878	0.0127099	0.0118529	0.0114387	0.0130121	0.0113431	0.0147969	0.0133779	0.0178899	0.0174927	0.0136213	0.0120148	0.016531	0.0136701	0.0152127	0.0183073	0.015989	0.0249442	0.0282063	0.0288043	0.0427987	0.0460152	0.0451092	0.0388548	0.04823	
Hybride Oie à tête barrée x O. cendrée	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.174E-4	9.718E-4	6.645E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.748E-4	0.0	0.0	
Oie cygnoïde	0.0	2.65E-4	0.0	0.0	3.362E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Hybride Oie cendrée x O. cygnoïde	0.0	2.65E-4	0.0	0.0	3.362E-4	3.521E-4	0.0	2.726E-4	0.0	0.0	4.428E-4	0.0015	1.757E-4	0.0	0.0	3.729E-4	0.0	0.0	0.0	1.295E-4	1.96E-4	2.303E-4	0.0	0.0	0.0	0.0	0.0	1.758E-4	0.0	0.0	0.0	0.0	0.0	3.322E-4	0.0	0.0	5.944E-4	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	2.376E-4	
Oie rieuse	0.0218845	0.0217276	0.0222008	0.020553	0.0110962	0.0137324	0.0114542	0.0084492	0.0105978	0.0018747	0.0022139	1.525E-4	1.757E-4	1.815E-4	0.0	1.243E-4	3.195E-4	4.55E-4	6.955E-4	5.179E-4	0.0015	0.0	2.401E-4	0.0	0.0	2.419E-4	2.542E-4	5.275E-4	2.578E-4	0.0	5.574E-4	4.587E-4	9.718E-4	3.322E-4	3.081E-4	2.543E-4	2.972E-4	7.131E-4	0.0018007	0.0015989	0.0063291	0.0096959	0.0130435	0.0230741	0.0251423	0.0251662	0.0189162	0.0263721	
Oie naine	0.0010132	0.0015898	0.0016088	2.447E-4	6.725E-4	0.0	2.49E-4	2.726E-4	5.435E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.407E-4	5.435E-4	0.002233	9.488E-4	0.0018993	0.0	0.0016631	
Oie de toundra	0.0	2.65E-4	3.218E-4	4.894E-4	3.362E-4	3.521E-4	2.49E-4	0.0016353	8.152E-4	0.0	2.214E-4	0.0	1.757E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.435E-4	0.0	4.744E-4	0.0014245	5.112E-4	9.503E-4	
Oie à bec court	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Anser sp. (forme domestique)	0.0040527	0.0055644	0.0067568	0.0058723	0.004035	0.003169	0.002988	0.004906	0.0046196	0.0034815	0.0033208	0.0027443	0.0026362	0.0021775	0.0025428	0.002486	0.002077	0.0019715	0.0022605	0.0015536	0.0013717	0.0011515	2.401E-4	9.341E-4	4.539E-4	9.676E-4	0.0015252	0.0012309	0.0020624	0.0018832	0.0013935	0.0022936	0.0022676	9.967E-4	0.0024646	0.0027976	0.0011887	0.0019016	0.0018007	0.0018273	0.0011169	8.814E-4	0.001087	0.0040938	0.0042694	0.0066477	0.0030675	0.0049893	
Anser sp.	0.0	0.0	0.0	0.0015	0.0015	0.0	0.0	0.0	0.0015	2.678E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.758E-4	5.156E-4	0.0	2.787E-4	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.723E-4	0.0	5.435E-4	0.0	4.744E-4	4.748E-4	0.0	0.0	
Bernache cravant	0.0	5.299E-4	0.0022523	9.787E-4	0.0010087	3.521E-4	0.0	0.0	0.0024457	0.0010712	2.214E-4	1.525E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0014245	0.0010225	0.0	
Bernache nonnette	0.0020263	0.0010599	0.0028958	0.0012234	6.725E-4	0.0015	0.0015	0.0	2.717E-4	5.356E-4	4.428E-4	0.0015	0.0	0.0015	1.695E-4	1.243E-4	0.0015	0.0	3.478E-4	1.295E-4	0.0	0.0	0.0015	0.0	2.27E-4	7.257E-4	5.084E-4	0.0	0.0	0.0015	0.0	2.294E-4	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.407E-4	0.0	0.0037216	0.0023719	0.002849	5.112E-4	0.0016631	
