









Frequency of observations in the selected location(s).:
Number of taxa: 	343

	Jan				Feb				Mar				Apr				May				Jun				Jul				Aug				Sep				Oct				Nov				Dec				
Sample Size:	41.0	10.0	15.0	22.0	19.0	26.0	33.0	13.0	53.0	49.0	83.0	124.0	121.0	202.0	194.0	362.0	235.0	205.0	154.0	203.0	129.0	145.0	193.0	223.0	159.0	219.0	131.0	141.0	148.0	83.0	85.0	145.0	118.0	105.0	169.0	211.0	122.0	96.0	74.0	152.0	70.0	27.0	28.0	17.0	9.0	8.0	15.0	44.0	

Oie cendrée	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0188679	0.0	0.0120482	0.0	0.0	0.0049505	0.0051546	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0062893	0.0091324	0.0	0.0	0.0	0.0	0.0117647	0.0	0.0	0.0	0.0	0.0047393	0.0081967	0.0	0.0	0.0065789	0.0015	0.0	0.0	0.0588235	0.0	0.0	0.0	0.0	
Oie rieuse	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0049505	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0104167	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Oie de taïga	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0135135	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Anser sp. (forme domestique)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0049505	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0070922	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Cygne tuberculé	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0188679	0.0	0.0	0.0015	0.0015	0.009901	0.0206186	0.0138122	0.0085106	0.0015	0.0194805	0.0246305	0.0	0.0068966	0.0051813	0.0044843	0.0062893	0.0319635	0.0229008	0.0141844	0.027027	0.0481928	0.0588235	0.0344828	0.0508475	0.0285714	0.0177515	0.042654	0.0245902	0.0208333	0.027027	0.0065789	0.0142857	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	
Tadorne de Belon	0.0243902	0.0	0.0	0.0454545	0.0	0.0384615	0.0015	0.0	0.0	0.0204082	0.0481928	0.0887097	0.0413223	0.029703	0.0309278	0.058011	0.0382979	0.0243902	0.038961	0.044335	0.0077519	0.0068966	0.0259067	0.0134529	0.0125786	0.0273973	0.0	0.0070922	0.027027	0.0481928	0.0117647	0.0	0.0	0.0095238	0.035503	0.014218	0.0081967	0.0208333	0.0	0.0	0.0	0.0	0.0	0.1176471	0.0	0.0	0.1333333	0.0227273	
Canard musqué	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0049505	0.0	0.0	0.0	0.0	0.0064935	0.0049261	0.0	0.0	0.0051813	0.0	0.0	0.0045662	0.0	0.0	0.0	0.0	0.0	0.0068966	0.0	0.0	0.0	0.0047393	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	
Sarcelle d'été	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0188679	0.0	0.0120482	0.1129032	0.0495868	0.039604	0.0051546	0.0165746	0.0085106	0.0	0.0	0.0	0.0	0.0	0.0051813	0.0	0.0	0.0	0.0	0.0212766	0.0	0.0361446	0.0	0.0137931	0.0084746	0.0095238	0.0	0.0047393	0.0081967	0.0	0.0	0.0065789	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
