









Frequency of observations in the selected location(s).:
Number of taxa: 	352

	Jan				Feb				Mar				Apr				May				Jun				Jul				Aug				Sep				Oct				Nov				Dec				
Sample Size:	533.0	569.0	501.0	821.0	632.0	554.0	741.0	590.0	617.0	630.0	688.0	915.0	656.0	746.0	726.0	952.0	880.0	919.0	891.0	1367.0	869.0	959.0	976.0	1117.0	879.0	722.0	755.0	1075.0	717.0	934.0	855.0	795.0	378.0	480.0	433.0	530.0	497.0	447.0	361.0	575.0	415.0	340.0	436.0	491.0	454.0	357.0	413.0	695.0	

Oie cendrée	0.0037523	0.0070299	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0010881	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0023095	0.0	0.0	0.0	0.0	0.0	0.0	0.0029412	0.0022936	0.0244399	0.0088106	0.0112045	0.0048426	0.0115108	
Oie cygnoïde	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0010428	0.0	0.0	0.0	0.001385	0.0	0.0	0.0013947	0.0010707	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0014388	
Oie à bec court	0.0037523	0.0017575	0.005988	0.0024361	0.0079114	0.0018051	0.0	0.0033898	0.0	0.0	0.0	0.0021858	0.0015244	0.0	0.0041322	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.009434	0.0080483	0.0	0.0	0.0	0.0	0.0	0.0	0.00611	0.0066079	0.0112045	0.0024213	0.0086331	
Anser sp. (forme domestique)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0010428	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Anser sp.	0.0	0.0	0.0	0.001218	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Bernache cravant	0.0037523	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0024096	0.0	0.0	0.0	0.0	0.0	0.0	0.0014388	
bernache sp.	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0017391	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Cygne tuberculé	0.0056285	0.0035149	0.00998	0.0024361	0.0	0.0	0.0	0.0	0.0	0.0	0.0043605	0.0	0.0015244	0.0	0.0013774	0.0	0.0	0.0	0.0011223	0.0058522	0.0034522	0.0010428	0.0010246	0.0	0.0	0.001385	0.0	0.0018605	0.0013947	0.0010707	0.0081871	0.0012579	0.0026455	0.0	0.0069284	0.0132075	0.0221328	0.0044743	0.0055402	0.0052174	0.0168675	0.0	0.0068807	0.0020367	0.0044053	0.0028011	0.0024213	0.0028777	
