









Frequency of observations in the selected location(s).:
Number of taxa: 	819

	Jan				Feb				Mar				Apr				May				Jun				Jul				Aug				Sep				Oct				Nov				Dec				
Sample Size:	11523.0	10270.0	9483.0	13285.0	9619.0	10042.0	11218.0	10837.0	9747.0	9906.0	10517.0	16168.0	13174.0	14230.0	14548.0	18940.0	13789.0	14155.0	13465.0	19518.0	11791.0	12479.0	10681.0	13022.0	9549.0	9190.0	9059.0	12690.0	9097.0	9536.0	9358.0	13172.0	9266.0	9324.0	9431.0	12227.0	12471.0	11596.0	9609.0	12245.0	8294.0	8262.0	8069.0	10054.0	8427.0	7667.0	7404.0	12928.0	

Autruche d'Afrique	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.104E-4	7.88E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Émeu d'Australie	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Dendrocygne à ventre noir	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.43E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Dendrocygne fauve	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.026E-4	0.0	0.0	6.19E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.68E-5	0.0	1.088E-4	0.0	1.576E-4	1.099E-4	0.0	0.0	3.037E-4	0.0	3.218E-4	0.0	0.0015	1.604E-4	8.62E-5	0.0	0.0	0.0	1.21E-4	0.0	0.0	0.0	0.0	0.0	0.0	
Dendrocygna sp.	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.19E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Oie à tête barrée	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Oie des neiges	0.0	9.74E-5	0.0	1.505E-4	1.04E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.025E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0020576	0.0	0.0014919	5.933E-4	1.304E-4	2.701E-4	3.094E-4	
Oie cendrée	0.0116289	0.0163583	0.0122324	0.0121189	0.0096684	0.0049791	0.0048137	0.0039679	0.0020519	0.0032304	0.0037083	0.0028451	0.0017459	0.0020379	0.0017184	0.0020063	0.0010153	7.771E-4	0.0010397	6.148E-4	0.0010177	8.815E-4	7.49E-4	6.143E-4	9.425E-4	9.793E-4	8.831E-4	7.092E-4	0.0013191	9.438E-4	0.0019235	0.0011388	0.0010792	8.58E-4	0.0010603	5.725E-4	8.019E-4	0.001466	0.0042668	0.00588	0.0059079	0.0108932	0.0116495	0.0132286	0.0145959	0.0119995	0.0158023	0.0191832	
Oie cygnoïde	0.0013885	0.0023369	0.0014763	0.0010538	8.317E-4	0.0020912	0.0017828	6.459E-4	0.001026	0.0012114	0.0012361	0.0010515	0.0011386	6.325E-4	0.0012373	6.336E-4	6.527E-4	5.652E-4	0.0012625	8.198E-4	8.481E-4	8.815E-4	0.0012171	3.84E-4	7.331E-4	0.0010881	0.0018766	0.001182	0.0016489	0.0010487	9.617E-4	8.351E-4	0.001403	0.0013943	0.0013784	0.0015539	8.82E-4	0.0011211	0.0010407	0.0010617	0.0018085	0.0014524	7.436E-4	0.0017903	7.12E-4	7.826E-4	0.0018909	7.735E-4	
Hybride Oie cendrée x O. cygnoïde	5.207E-4	6.816E-4	9.491E-4	3.011E-4	6.238E-4	9.958E-4	9.806E-4	3.691E-4	5.13E-4	4.038E-4	5.705E-4	4.948E-4	5.313E-4	4.919E-4	4.812E-4	3.168E-4	2.176E-4	2.119E-4	5.199E-4	6.148E-4	5.089E-4	4.007E-4	9.362E-4	2.304E-4	6.283E-4	5.441E-4	0.0013246	6.304E-4	5.496E-4	7.341E-4	5.343E-4	5.314E-4	4.317E-4	7.508E-4	4.241E-4	5.725E-4	7.217E-4	3.449E-4	4.163E-4	5.717E-4	7.234E-4	7.262E-4	6.197E-4	4.973E-4	4.747E-4	5.217E-4	6.753E-4	6.962E-4	
Oie rieuse	3.471E-4	6.816E-4	4.218E-4	3.011E-4	2.079E-4	0.0	8.91E-5	1.846E-4	1.026E-4	0.0	0.0	6.19E-5	1.518E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.206E-4	2.421E-4	7.436E-4	1.989E-4	2.373E-4	0.0010434	0.0016207	0.0020111	
Oie de taïga	0.0	9.74E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.718E-4	9.95E-5	0.0	0.0	0.0	0.0	
Oie de toundra	0.0	0.0	0.0	0.0	1.04E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.826E-4	2.228E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.21E-4	0.0	7.957E-4	4.747E-4	0.0	2.701E-4	2.321E-4	
Oie de taïga ou O. de toundra	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.01E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	1.989E-4	0.0	1.304E-4	0.0	7.74E-5	
Oie à bec court	0.0011282	0.0013632	0.002109	0.0018818	0.0016634	7.967E-4	0.0010697	7.382E-4	0.0012311	4.038E-4	4.754E-4	4.948E-4	2.277E-4	0.0	2.062E-4	0.0	7.25E-5	7.06E-5	6.684E-4	5.12E-5	8.48E-5	2.404E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.543E-4	8.019E-4	0.0011211	0.0020814	0.002695	0.0018085	0.0014524	0.0013632	0.0020887	0.00178	0.0026086	9.454E-4	0.001547	
Anser sp. (forme domestique)	0.0	9.74E-5	2.109E-4	7.53E-5	0.0	9.96E-5	0.0	9.23E-5	1.026E-4	0.0	0.0	0.0	0.0	7.03E-5	6.87E-5	0.0	7.25E-5	0.0	0.0	0.0	8.48E-5	1.603E-4	0.0	0.0	0.0	0.0	0.0	7.88E-5	0.0	0.0	0.0	7.59E-5	2.158E-4	0.0	0.0	0.0	0.0	8.62E-5	0.0	0.0	0.0	0.0	1.239E-4	9.95E-5	0.0	0.0	0.0	0.0	
Anser sp.	0.0	0.0	0.0	7.53E-5	0.0	9.96E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.88E-5	1.099E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.041E-4	0.0015	2.411E-4	1.21E-4	0.0	0.0	0.0	0.0	1.351E-4	0.0	
Bernache cravant	0.0014753	7.79E-4	8.436E-4	0.0026346	0.0011436	6.971E-4	7.131E-4	4.614E-4	3.078E-4	1.009E-4	1.902E-4	1.237E-4	7.59E-5	7.03E-5	6.87E-5	0.0	0.0	7.06E-5	7.43E-5	0.0	1.696E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0013943	3.181E-4	0.0016357	0.0010424	3.449E-4	0.001457	0.0015517	8.44E-4	6.052E-4	3.718E-4	9.95E-5	0.0020173	0.0032607	0.0016207	0.0012376	
Bernache nonnette	0.0010414	0.0011685	0.0017927	0.001656	5.198E-4	3.983E-4	8.023E-4	0.0015	2.052E-4	1.009E-4	2.853E-4	3.711E-4	3.036E-4	1.405E-4	6.87E-5	1.584E-4	1.45E-4	0.0	0.0	0.0	5.089E-4	1.603E-4	2.809E-4	7.68E-5	1.047E-4	2.176E-4	5.519E-4	2.364E-4	4.397E-4	4.195E-4	2.137E-4	3.037E-4	3.238E-4	1.073E-4	4.241E-4	4.089E-4	6.415E-4	4.312E-4	0.0013529	1.633E-4	4.823E-4	2.421E-4	0.0011154	1.989E-4	5.933E-4	6.521E-4	0.0010805	6.188E-4	
Bernache de Hutchins	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.454E-4	4.811E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
