









Frequency of observations in the selected location(s).:
Number of taxa: 	306

	Jan				Feb				Mar				Apr				May				Jun				Jul				Aug				Sep				Oct				Nov				Dec				
Sample Size:	89.0	81.0	123.0	123.0	86.0	116.0	110.0	104.0	153.0	86.0	120.0	137.0	119.0	132.0	107.0	134.0	121.0	127.0	141.0	196.0	106.0	124.0	95.0	118.0	141.0	65.0	78.0	77.0	45.0	26.0	44.0	84.0	93.0	74.0	55.0	112.0	93.0	87.0	87.0	100.0	78.0	74.0	67.0	91.0	58.0	53.0	99.0	91.0	

Dendrocygne veuf	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0089286	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Oie cendrée	0.0224719	0.0246914	0.0406504	0.0325203	0.0465116	0.0344828	0.0454545	0.0288462	0.0196078	0.0116279	0.0166667	0.0291971	0.0336134	0.0378788	0.0373832	0.0373134	0.0165289	0.0472441	0.035461	0.0612245	0.0471698	0.0645161	0.0526316	0.0084746	0.0283688	0.0307692	0.0897436	0.025974	0.0015	0.0384615	0.0454545	0.0357143	0.0215054	0.0810811	0.0545455	0.0178571	0.0430108	0.0344828	0.0229885	0.06	0.025641	0.0540541	0.0298507	0.021978	0.0344828	0.1320755	0.0808081	0.0659341	
Oie rieuse	0.0	0.0	0.0	0.0	0.0	0.0	0.0090909	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Bernache nonnette	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0210526	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Bernache du Canada	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0096154	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0227273	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Hybride Oie cendrée x Bernache du Canada	0.011236	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Hybride Bernache nonnette x B. du Canada	0.0	0.0	0.0	0.0	0.0	0.0	0.0090909	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Cygne tuberculé	0.258427	0.2839506	0.1707317	0.1869919	0.1395349	0.1810345	0.1545455	0.1538462	0.1111111	0.1511628	0.125	0.1313869	0.1092437	0.1212121	0.2336449	0.1940299	0.2644628	0.2204724	0.1276596	0.1836735	0.1037736	0.1290323	0.2526316	0.1694915	0.1276596	0.0461538	0.2179487	0.2077922	0.1111111	0.1153846	0.0909091	0.1666667	0.1505376	0.2162162	0.1454545	0.1785714	0.1827957	0.2298851	0.2298851	0.23	0.1666667	0.1216216	0.1492537	0.0879121	0.2241379	0.1698113	0.2121212	0.1978022	
