









Frequency of observations in the selected location(s).:
Number of taxa: 	225

	Jan				Feb				Mar				Apr				May				Jun				Jul				Aug				Sep				Oct				Nov				Dec				
Sample Size:	11.0	17.0	2.0	11.0	17.0	3.0	23.0	12.0	20.0	11.0	30.0	10.0	27.0	30.0	35.0	107.0	26.0	44.0	43.0	28.0	30.0	31.0	22.0	22.0	18.0	29.0	25.0	23.0	11.0	14.0	16.0	13.0	3.0	7.0	12.0	19.0	14.0	9.0	13.0	8.0	11.0	8.0	1.0	2.0	6.0	1.0	2.0	19.0	

Oie cendrée	0.0909091	0.0	0.0	0.0	0.0588235	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0232558	0.0	0.0015	0.0322581	0.0454545	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0526316	0.0	0.1111111	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Oie cygnoïde	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0454545	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Oie de toundra	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0769231	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Bernache du Canada	0.0	0.0	0.0	0.0	0.0588235	0.0	0.0869565	0.0	0.1	0.0	0.0	0.0	0.037037	0.0666667	0.0857143	0.0280374	0.0384615	0.0227273	0.0697674	0.0	0.0333333	0.0	0.0454545	0.0	0.0	0.0015	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0909091	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Bernache à cou roux	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.037037	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Cygne tuberculé	0.2727273	0.0588235	0.0	0.3636364	0.2941176	0.0015	0.173913	0.3333333	0.15	0.1818182	0.0666667	0.2	0.1851852	0.1333333	0.0857143	0.0841121	0.1923077	0.2045455	0.2790698	0.1071429	0.1	0.1612903	0.1818182	0.1818182	0.0555556	0.1724138	0.0	0.1304348	0.0909091	0.0015	0.1875	0.1538462	0.0	0.4285714	0.1666667	0.2631579	0.2142857	0.2222222	0.1538462	0.0	0.0015	0.125	0.0	0.0	0.1666667	0.0	0.0	0.3157895	
Cygne chanteur	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0434783	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
cygne sp.	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Ouette d'Égypte	0.0	0.0	0.0	0.0	0.0	0.3333333	0.0	0.0	0.05	0.0	0.0	0.1	0.0	0.0333333	0.0	0.0280374	0.0	0.0	0.0	0.0	0.0	0.0322581	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0833333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1666667	0.0	0.0	0.0	
Tadorne casarca	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Tadorne de Belon	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0333333	0.0	0.0	0.0	0.0227273	0.0232558	0.0	0.0333333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Canard musqué	0.0	0.0	0.0	0.0909091	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Sarcelle d'été	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0333333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Canard souchet	0.0909091	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.0	0.0	0.1	0.037037	0.0333333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1666667	0.0	0.0	0.1052632	
Canard chipeau	0.0909091	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.037037	0.0666667	0.0015	0.0093458	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0454545	0.0	0.0	0.0	0.0434783	0.0	0.0	0.0	0.0	0.0	0.0	0.0833333	0.0526316	0.0	0.0	0.0769231	0.0	0.0	0.0	0.0	0.0	0.3333333	0.0	0.0	0.1052632	
Canard siffleur	0.0909091	0.0	0.0	0.0	0.0	0.0	0.0434783	0.0	0.1	0.0909091	0.0333333	0.0	0.037037	0.0333333	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0769231	0.0	0.0	0.0	0.0	0.0	0.1666667	0.0	0.0	0.0526316	
Canard colvert	0.3636364	0.1176471	0.0	0.1818182	0.3529412	0.0015	0.4347826	0.4166667	0.35	0.1818182	0.2333333	0.4	0.4814815	0.3	0.2	0.1588785	0.3076923	0.2727273	0.4883721	0.2142857	0.2333333	0.1612903	0.1363636	0.1363636	0.1666667	0.1034483	0.04	0.1304348	0.0909091	0.0714286	0.1875	0.1538462	0.0015	0.5714286	0.25	0.2631579	0.2142857	0.2222222	0.6153846	0.0	0.2727273	0.25	1.0	0.5	0.6666667	0.0	0.5	0.5263158	
Canard pilet	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0740741	0.0333333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.125	0.0	0.0	0.0	0.0	0.0	0.0	
Sarcelle d'hiver	0.0909091	0.0	0.0	0.0	0.0588235	0.0	0.0434783	0.0	0.1	0.0	0.0666667	0.2	0.1111111	0.0666667	0.0	0.0093458	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0769231	0.0	0.0	0.0833333	0.1052632	0.0	0.0015	0.2307692	0.0	0.0909091	0.125	0.0	0.0	0.0	0.0	0.0	0.0526316	
Nette rousse	0.0	0.0	0.0	0.0	0.0588235	0.0	0.0434783	0.0	0.05	0.0	0.0	0.0	0.0	0.0333333	0.0285714	0.0093458	0.0	0.0227273	0.0232558	0.0714286	0.0333333	0.0322581	0.0	0.0909091	0.0	0.0	0.0	0.0434783	0.0	0.0	0.1875	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1666667	0.0	0.0	0.1052632	
Fuligule milouin	0.1818182	0.0	0.0	0.0909091	0.0588235	0.0	0.0869565	0.0	0.05	0.0909091	0.0	0.0	0.0	0.0666667	0.0285714	0.0186916	0.0	0.0227273	0.0232558	0.0	0.0	0.0	0.0	0.0	0.0555556	0.0	0.0	0.0	0.0	0.0	0.3125	0.0	0.0	0.1428571	0.0	0.0	0.0714286	0.0015	0.0015	0.0	0.0	0.125	0.0	0.0	0.5	0.0	0.0	0.2631579	
