









Frequency of observations in the selected location(s).:
Number of taxa: 	270

	Jan				Feb				Mar				Apr				May				Jun				Jul				Aug				Sep				Oct				Nov				Dec				
Sample Size:	265.0	206.0	12.0	4.0	14.0	7.0	8.0	15.0	2.0	10.0	4.0	41.0	39.0	67.0	80.0	119.0	162.0	109.0	81.0	154.0	71.0	98.0	49.0	76.0	81.0	124.0	71.0	125.0	112.0	73.0	103.0	130.0	79.0	75.0	127.0	90.0	63.0	33.0	20.0	42.0	25.0	15.0	15.0	18.0	13.0	10.0	24.0	95.0	

Tadorne de Belon	0.0377358	0.0485437	0.0833333	0.0	0.0015	0.0	0.25	0.0666667	0.0	0.0	0.0	0.0015	0.0512821	0.0298507	0.05	0.092437	0.0061728	0.0091743	0.0123457	0.038961	0.028169	0.0102041	0.0204082	0.0	0.037037	0.016129	0.0140845	0.032	0.0	0.0136986	0.0	0.0015	0.0253165	0.0	0.0015	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0666667	0.0	0.1538462	0.1	0.0	0.0105263	
Sarcelle d'été	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0666667	0.0	0.0	0.0	0.0	0.0512821	0.0597015	0.0125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0097087	0.0076923	0.0	0.0	0.007874	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Canard souchet	0.0037736	0.0097087	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.025641	0.0149254	0.025	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0076923	0.0	0.0015	0.0	0.0111111	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0769231	0.1	0.0833333	0.0	
Canard chipeau	0.0037736	0.0048544	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Canard siffleur	0.0	0.0	0.0	0.25	0.0714286	0.0	0.0	0.0666667	0.0	0.0	0.0	0.0	0.0	0.0149254	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1538462	0.0	0.0	0.0	
Canard colvert	0.0528302	0.0728155	0.25	0.0	0.0015	0.0	0.125	0.0666667	0.0	0.1	0.0	0.0015	0.0769231	0.0447761	0.1	0.0336134	0.0123457	0.0550459	0.0246914	0.012987	0.0422535	0.0510204	0.0	0.0263158	0.0617284	0.0403226	0.0140845	0.048	0.0089286	0.0	0.038835	0.0307692	0.0506329	0.04	0.0708661	0.0888889	0.031746	0.0606061	0.05	0.047619	0.0	0.0	0.0666667	0.0	0.1538462	0.3	0.1666667	0.0210526	
Canard pilet	0.0075472	0.0097087	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Sarcelle d'hiver	0.0226415	0.0339806	0.0	0.25	0.0714286	0.0	0.0015	0.0666667	0.0	0.0	0.0	0.0243902	0.025641	0.0298507	0.0375	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0291262	0.0153846	0.0126582	0.0266667	0.0314961	0.0333333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.125	0.0421053	
