









Frequency of observations in the selected location(s).:
Number of taxa: 	346

	Jan				Feb				Mar				Apr				May				Jun				Jul				Aug				Sep				Oct				Nov				Dec				
Sample Size:	37.0	19.0	13.0	12.0	18.0	13.0	34.0	35.0	33.0	25.0	62.0	87.0	138.0	121.0	243.0	413.0	600.0	333.0	176.0	264.0	183.0	148.0	119.0	227.0	150.0	166.0	136.0	205.0	86.0	103.0	100.0	123.0	80.0	101.0	117.0	143.0	53.0	22.0	41.0	48.0	25.0	19.0	30.0	48.0	38.0	33.0	26.0	43.0	

Oie cendrée	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0066667	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0208333	0.0	0.0	0.0	0.0	
Bernache nonnette	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Cygne tuberculé	0.0540541	0.0526316	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.016129	0.0	0.0	0.0015	0.0	0.0	0.0066667	0.0	0.0	0.0113636	0.0163934	0.0015	0.0	0.0	0.0	0.0060241	0.0294118	0.004878	0.0116279	0.0	0.0	0.0081301	0.0015	0.039604	0.008547	0.0	0.0	0.0	0.0	0.0208333	0.0	0.0526316	0.0333333	0.0	0.0	0.030303	0.0384615	0.0	
Tadorne de Belon	0.0	0.0526316	0.0769231	0.0	0.0555556	0.0	0.0294118	0.1428571	0.0606061	0.0	0.0322581	0.045977	0.0144928	0.0082645	0.0082305	0.031477	0.0216667	0.015015	0.0056818	0.0643939	0.010929	0.0015	0.0168067	0.0044053	0.0066667	0.0060241	0.0	0.0015	0.0116279	0.038835	0.0015	0.0081301	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.030303	0.0	0.0	
Canard musqué	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0037879	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Sarcelle d'été	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0645161	0.0574713	0.0652174	0.0495868	0.0246914	0.0096852	0.005	0.006006	0.0056818	0.0037879	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0116279	0.0	0.0015	0.0162602	0.0	0.0	0.0	0.0	0.0	0.0454545	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Canard souchet	0.027027	0.1578947	0.0015	0.0833333	0.0	0.0769231	0.0294118	0.0285714	0.0909091	0.04	0.0483871	0.0344828	0.0144928	0.0082645	0.0164609	0.0024213	0.0083333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.0325203	0.0375	0.029703	0.0512821	0.013986	0.0188679	0.0454545	0.0243902	0.0833333	0.0	0.0526316	0.1	0.0833333	0.0	0.0606061	0.0769231	0.0465116	
Canard chipeau	0.0540541	0.1578947	0.0769231	0.0833333	0.0	0.0769231	0.0882353	0.0285714	0.0909091	0.04	0.0	0.0344828	0.0144928	0.0015	0.0	0.0	0.0083333	0.003003	0.0015	0.0037879	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.02	0.0015	0.0125	0.019802	0.008547	0.006993	0.0188679	0.0	0.0243902	0.0833333	0.0	0.0015	0.1	0.0625	0.0263158	0.1212121	0.1153846	0.0	
Canard siffleur	0.027027	0.1052632	0.0769231	0.0833333	0.0555556	0.1538462	0.1176471	0.0015	0.030303	0.04	0.0645161	0.0344828	0.0015	0.0015	0.0082305	0.0024213	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0125	0.0	0.008547	0.013986	0.0188679	0.0454545	0.0015	0.0833333	0.04	0.1052632	0.1	0.1041667	0.1315789	0.0909091	0.0	0.0015	
Canard colvert	0.0540541	0.2105263	0.1538462	0.3333333	0.1111111	0.3846154	0.2058824	0.2857143	0.3333333	0.28	0.2096774	0.2873563	0.173913	0.1735537	0.1440329	0.094431	0.0816667	0.0630631	0.0284091	0.0795455	0.010929	0.027027	0.0252101	0.0264317	0.0266667	0.0481928	0.0882353	0.097561	0.1744186	0.1553398	0.13	0.097561	0.1125	0.1287129	0.1367521	0.1888112	0.0566038	0.1363636	0.1707317	0.1666667	0.24	0.0526316	0.2333333	0.2291667	0.2894737	0.2121212	0.1538462	0.0930233	
Canard pilet	0.0	0.1052632	0.0769231	0.0833333	0.0555556	0.1538462	0.0882353	0.0571429	0.1212121	0.16	0.0645161	0.045977	0.0217391	0.0015	0.0123457	0.0	0.0016667	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0125	0.009901	0.0	0.013986	0.0188679	0.0454545	0.0487805	0.1041667	0.0	0.0	0.0333333	0.0416667	0.0789474	0.0606061	0.0769231	0.0	
Sarcelle d'hiver	0.027027	0.1052632	0.0015	0.0	0.0555556	0.2307692	0.1176471	0.0857143	0.1212121	0.12	0.1451613	0.091954	0.0144928	0.0082645	0.0041152	0.0024213	0.0016667	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0097087	0.03	0.0243902	0.025	0.0594059	0.025641	0.0559441	0.0377358	0.0454545	0.0487805	0.1458333	0.0	0.0526316	0.0333333	0.0625	0.0263158	0.0	0.0384615	0.0465116	
anatidé sp. (canard barboteur sp.)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.016129	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0044053	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0081301	0.0125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Nette rousse	0.0	0.0526316	0.0	0.0	0.0	0.0769231	0.0882353	0.0285714	0.2424242	0.24	0.1451613	0.1494253	0.1304348	0.1239669	0.1769547	0.1089588	0.095	0.0900901	0.0511364	0.0984848	0.0491803	0.027027	0.0084034	0.0088106	0.0133333	0.0060241	0.0147059	0.0341463	0.0465116	0.0776699	0.04	0.0162602	0.0	0.029703	0.017094	0.027972	0.0188679	0.0909091	0.0487805	0.0625	0.0	0.1052632	0.0666667	0.0833333	0.0789474	0.0	0.0	0.0	
Fuligule milouin	0.027027	0.1578947	0.0	0.0	0.0555556	0.0	0.0588235	0.0285714	0.030303	0.0015	0.0322581	0.0114943	0.0072464	0.0	0.0	0.0024213	0.0016667	0.0015	0.0015	0.0075758	0.0	0.0	0.0	0.0	0.0015	0.0015	0.0	0.004878	0.0232558	0.0	0.01	0.0162602	0.0125	0.0015	0.034188	0.041958	0.0188679	0.0454545	0.0731707	0.125	0.08	0.1052632	0.2	0.1666667	0.1578947	0.2121212	0.1153846	0.0697674	
