









Frequency of observations in the selected location(s).:
Number of taxa: 	295

	Jan				Feb				Mar				Apr				May				Jun				Jul				Aug				Sep				Oct				Nov				Dec				
Sample Size:	25.0	38.0	12.0	22.0	24.0	35.0	71.0	27.0	5.0	18.0	27.0	32.0	84.0	125.0	103.0	108.0	138.0	185.0	149.0	217.0	77.0	120.0	58.0	81.0	64.0	82.0	60.0	93.0	80.0	76.0	41.0	70.0	48.0	49.0	39.0	46.0	26.0	16.0	8.0	51.0	51.0	20.0	16.0	20.0	25.0	25.0	12.0	52.0	

Oie cendrée	0.04	0.0526316	0.0833333	0.0909091	0.0015	0.0857143	0.028169	0.0740741	0.0015	0.0	0.0740741	0.0015	0.0952381	0.088	0.0970874	0.0833333	0.0724638	0.0702703	0.0671141	0.0414747	0.0519481	0.0416667	0.0517241	0.037037	0.03125	0.0853659	0.0166667	0.0322581	0.0015	0.0394737	0.0243902	0.0428571	0.0208333	0.0015	0.025641	0.0217391	0.0769231	0.0625	0.125	0.0392157	0.0784314	0.05	0.0625	0.0015	0.0015	0.0015	0.0015	0.0192308	
Oie cygnoïde	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	
Oie rieuse	0.0	0.0263158	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Oie de taïga	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Bernache nonnette	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Bernache du Canada	0.12	0.0789474	0.1666667	0.0454545	0.0833333	0.1142857	0.084507	0.0740741	0.2	0.2222222	0.037037	0.0625	0.1071429	0.096	0.1553398	0.1018519	0.1014493	0.1027027	0.1275168	0.0552995	0.1558442	0.0916667	0.0862069	0.1358025	0.046875	0.1463415	0.0333333	0.1290323	0.075	0.0394737	0.0487805	0.0428571	0.1041667	0.122449	0.0	0.0434783	0.1153846	0.0	0.375	0.0588235	0.0784314	0.15	0.0625	0.05	0.08	0.12	0.0833333	0.0192308	
Hybride Oie cendrée x Bernache du Canada	0.0	0.0	0.0	0.0454545	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.012987	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0142857	0.0	0.0	0.0	0.0217391	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Cygne tuberculé	0.48	0.3421053	0.5	0.2272727	0.375	0.4571429	0.3943662	0.4074074	0.4	0.3888889	0.2592593	0.28125	0.2619048	0.328	0.3106796	0.3333333	0.3913043	0.3513514	0.3154362	0.3640553	0.4805195	0.3666667	0.2758621	0.308642	0.3125	0.4512195	0.1833333	0.344086	0.2875	0.3157895	0.3170732	0.3571429	0.3541667	0.5306122	0.4615385	0.4347826	0.2692308	0.5	0.25	0.372549	0.254902	0.5	0.25	0.2	0.36	0.32	0.4166667	0.1923077	
Cygne noir	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0072464	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
