









Frequency of observations in the selected location(s).:
Number of taxa: 	351

	Jan				Feb				Mar				Apr				May				Jun				Jul				Aug				Sep				Oct				Nov				Dec				
Sample Size:	218.0	273.0	274.0	406.0	306.0	337.0	425.0	429.0	376.0	433.0	487.0	698.0	462.0	463.0	497.0	707.0	486.0	526.0	371.0	596.0	405.0	386.0	329.0	371.0	340.0	382.0	331.0	318.0	163.0	251.0	290.0	346.0	200.0	210.0	272.0	342.0	295.0	298.0	323.0	395.0	183.0	161.0	260.0	381.0	183.0	209.0	255.0	211.0	

Oie à tête barrée	0.0183486	0.007326	0.0072993	0.0098522	0.0098039	0.0	0.0015	0.002331	0.0	0.0	0.0	0.0	0.0021645	0.0107991	0.0020121	0.0042433	0.0	0.0	0.0053908	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.006135	0.0	0.0	0.0	0.01	0.0047619	0.0	0.0	0.0033898	0.0	0.0	0.0	0.0	0.0124224	0.0	0.0	0.0	0.0047847	0.0039216	0.0	
Oie cendrée	0.1284404	0.0915751	0.0729927	0.0788177	0.1535948	0.0801187	0.0941176	0.1212121	0.125	0.0808314	0.0965092	0.1074499	0.0952381	0.0799136	0.1046278	0.0792079	0.0761317	0.0684411	0.0377358	0.0419463	0.054321	0.0336788	0.0668693	0.0296496	0.0470588	0.0287958	0.0181269	0.0377358	0.0981595	0.0916335	0.0827586	0.0895954	0.165	0.1428571	0.0551471	0.0672515	0.0915254	0.057047	0.0588235	0.0962025	0.147541	0.173913	0.0692308	0.0734908	0.0819672	0.0574163	0.0745098	0.1990521	
Oie cygnoïde	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	
Hybride Oie cendrée x O. cygnoïde	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0038462	0.0	0.0	0.0047847	0.0	0.0	
Oie rieuse	0.0091743	0.0	0.0145985	0.0073892	0.0196078	0.0178042	0.0070588	0.009324	0.0	0.0	0.0	0.0	0.0	0.0	0.0040241	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0075949	0.0054645	0.0	0.0	0.0	0.0054645	0.0095694	0.0078431	0.0331754	
Oie naine	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0033898	0.0033557	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Oie de toundra	0.0	0.0	0.0	0.0	0.0065359	0.0059347	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0026954	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0047847	0.0	0.0189573	
Anser sp.	0.0	0.0	0.0	0.0	0.0	0.0	0.0023529	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Bernache nonnette	0.0091743	0.0	0.0036496	0.0049261	0.003268	0.0	0.0	0.002331	0.0	0.0369515	0.0082136	0.0028653	0.004329	0.0064795	0.0160966	0.009901	0.0061728	0.0019011	0.0015	0.0	0.0	0.0	0.0030395	0.0	0.0	0.0	0.0	0.0031447	0.006135	0.0	0.0034483	0.0057803	0.02	0.0095238	0.0073529	0.005848	0.0101695	0.0100671	0.006192	0.0050633	0.0163934	0.0248447	0.0153846	0.0026247	0.0015	0.0047847	0.0	0.0094787	
Hybride Oie cendrée x Bernache nonnette	0.0	0.003663	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Bernache du Canada	0.0091743	0.0	0.0145985	0.0049261	0.0098039	0.0207715	0.0047059	0.020979	0.0265957	0.0069284	0.0143737	0.030086	0.0324675	0.0259179	0.0362173	0.0268741	0.0452675	0.0152091	0.0053908	0.0067114	0.0074074	0.0	0.0030395	0.0015	0.0	0.0078534	0.0090634	0.0062893	0.006135	0.0119522	0.0103448	0.0144509	0.01	0.0190476	0.0036765	0.005848	0.0015	0.0	0.003096	0.0025316	0.0054645	0.0	0.0015	0.0	0.0015	0.0047847	0.0	0.0047393	
Hybride Oie cendrée x Bernache du Canada	0.0	0.0	0.0	0.0	0.0	0.0029674	0.0023529	0.004662	0.0026596	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0019011	0.0	0.0	0.0	0.0025907	0.0030395	0.0026954	0.0	0.0	0.0	0.0	0.0	0.0	0.0034483	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0039216	0.0047393	
Cygne tuberculé	0.2522936	0.2637363	0.189781	0.1896552	0.2254902	0.1454006	0.1905882	0.1748252	0.2473404	0.1616628	0.1560575	0.1590258	0.1818182	0.1187905	0.138833	0.1287129	0.1502058	0.1254753	0.097035	0.1291946	0.1308642	0.0932642	0.1428571	0.06469	0.0911765	0.0942408	0.0694864	0.1194969	0.1717791	0.1752988	0.1413793	0.1791908	0.215	0.252381	0.0882353	0.1374269	0.1864407	0.1275168	0.1114551	0.1772152	0.1256831	0.3540373	0.1346154	0.1863517	0.1803279	0.1291866	0.1490196	0.2938389	
Cygne noir	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0023095	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002924	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Cygne chanteur	0.0045872	0.0015	0.0072993	0.0147783	0.0065359	0.0118694	0.0023529	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0047393	
cygne sp.	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0021645	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
anatidé sp. (oie sp.)	0.0	0.0	0.0	0.0024631	0.0	0.0	0.0	0.0	0.0026596	0.0	0.0020534	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005	0.0047619	0.0	0.002924	0.0	0.0	0.0	0.0050633	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	
Ouette d'Égypte	0.2981651	0.2490842	0.1715328	0.1748768	0.2320261	0.1424332	0.1317647	0.1958042	0.1648936	0.1685912	0.1355236	0.1633238	0.1450216	0.1425486	0.1348089	0.1329562	0.1481481	0.1254753	0.0943396	0.0822148	0.0814815	0.0518135	0.0911854	0.0431267	0.0647059	0.0732984	0.0543807	0.0880503	0.1349693	0.0876494	0.1034483	0.1127168	0.225	0.1904762	0.0882353	0.0994152	0.1627119	0.1308725	0.0990712	0.1797468	0.1584699	0.310559	0.1692308	0.1706037	0.1912568	0.1770335	0.1843137	0.3127962	
Tadorne casarca	0.146789	0.0622711	0.0766423	0.0837438	0.0653595	0.0385757	0.0305882	0.0559441	0.0398936	0.0692841	0.0410678	0.0358166	0.0411255	0.0280778	0.028169	0.0240453	0.0308642	0.0209125	0.032345	0.0234899	0.037037	0.0284974	0.0364742	0.0134771	0.0264706	0.0078534	0.0030211	0.0062893	0.0245399	0.0079681	0.0413793	0.0144509	0.095	0.0809524	0.0477941	0.0409357	0.0779661	0.0503356	0.0247678	0.0506329	0.0710383	0.1055901	0.0346154	0.0551181	0.0437158	0.0669856	0.0588235	0.1137441	
Hybride Ouette d'Égypte x Tadorne casarca	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0020121	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Tadorne à tête grise	0.0045872	0.003663	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0020534	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0033898	0.0	0.0	0.0	0.0	0.0062112	0.0	0.0	0.0	0.0	0.0	0.0015	
Tadorne de Belon	0.0412844	0.007326	0.0072993	0.0098522	0.0130719	0.0	0.0117647	0.013986	0.0026596	0.0069284	0.0061602	0.0057307	0.0021645	0.0021598	0.0060362	0.0042433	0.0061728	0.0015	0.0015	0.0	0.0	0.0	0.0030395	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0034483	0.0	0.0	0.0047619	0.0	0.002924	0.0101695	0.0067114	0.0	0.0075949	0.0	0.0186335	0.0076923	0.0104987	0.0054645	0.0	0.0039216	0.0473934	
Canard musqué	0.0091743	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0014144	0.0020576	0.0	0.0015	0.0	0.0	0.0	0.0030395	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0028902	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.010929	0.0062112	0.0015	0.0026247	0.0	0.0047847	0.0039216	0.0	
Canard à collier noir	0.0	0.0	0.0036496	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Canard carolin	0.0	0.0	0.0	0.0	0.0	0.0	0.0023529	0.0	0.0	0.0	0.0	0.0014327	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0016779	0.0	0.0025907	0.0	0.0026954	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005848	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0039216	0.0	
Canard mandarin	0.0	0.003663	0.0	0.0049261	0.0	0.0029674	0.0023529	0.002331	0.0	0.0	0.0041068	0.0014327	0.0	0.0	0.0	0.0	0.0	0.0019011	0.0	0.0016779	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0025316	0.0	0.0124224	0.0015	0.0	0.0	0.0	0.0	0.014218	
Sarcelle d'été	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.026694	0.0386819	0.0454545	0.0323974	0.0362173	0.0113154	0.0164609	0.0038023	0.0	0.0	0.0049383	0.0	0.0030395	0.0	0.0	0.0026178	0.0030211	0.009434	0.0368098	0.0119522	0.0206897	0.0375723	0.04	0.0285714	0.0036765	0.002924	0.0	0.0033557	0.003096	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
