









Frequency of observations in the selected location(s).:
Number of taxa: 	235

	Jan				Feb				Mar				Apr				May				Jun				Jul				Aug				Sep				Oct				Nov				Dec				
Sample Size:	23.0	24.0	25.0	18.0	28.0	30.0	17.0	32.0	55.0	31.0	41.0	48.0	49.0	31.0	32.0	67.0	35.0	61.0	27.0	47.0	52.0	40.0	33.0	23.0	22.0	48.0	19.0	22.0	17.0	14.0	20.0	9.0	11.0	13.0	11.0	23.0	15.0	25.0	9.0	29.0	19.0	14.0	16.0	26.0	19.0	24.0	21.0	31.0	

Oie cendrée	0.0	0.0416667	0.04	0.0555556	0.0357143	0.1	0.0	0.0625	0.0545455	0.0645161	0.097561	0.0	0.0	0.0322581	0.0625	0.0298507	0.0	0.0163934	0.0	0.0212766	0.0384615	0.05	0.030303	0.0434783	0.0	0.0416667	0.0526316	0.0454545	0.0	0.0714286	0.05	0.0	0.0	0.0	0.0909091	0.0434783	0.0666667	0.08	0.0	0.0689655	0.0526316	0.0	0.0	0.0769231	0.0	0.0	0.0	0.0322581	
Oie cygnoïde	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0192308	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1111111	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0344828	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Oie rieuse	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0714286	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Bernache nonnette	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0322581	0.0	0.0	0.0204082	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0344828	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Bernache du Canada	0.0	0.0833333	0.04	0.0	0.0714286	0.0333333	0.0588235	0.03125	0.0015	0.0645161	0.0731707	0.0	0.0204082	0.0322581	0.03125	0.0298507	0.0571429	0.0983607	0.037037	0.0425532	0.0769231	0.0	0.0909091	0.0434783	0.0	0.0416667	0.0015	0.0454545	0.0	0.0	0.05	0.0	0.0	0.0	0.0	0.0434783	0.1333333	0.0015	0.1111111	0.1034483	0.0	0.0	0.0	0.0384615	0.0526316	0.0	0.0015	0.0	
Hybride Oie cendrée x Bernache du Canada	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Hybride Bernache nonnette x B. du Canada	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1111111	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Cygne tuberculé	0.0869565	0.2916667	0.32	0.1111111	0.3214286	0.2	0.1764706	0.28125	0.4	0.3225806	0.3414634	0.375	0.1836735	0.3225806	0.21875	0.358209	0.2571429	0.2295082	0.037037	0.2553191	0.2307692	0.15	0.2121212	0.0434783	0.3636364	0.3541667	0.2105263	0.3181818	0.3529412	0.5714286	0.4	0.2222222	0.3636364	0.4615385	0.7272727	0.173913	0.4	0.4	0.1111111	0.3448276	0.1578947	0.2857143	0.1875	0.0769231	0.1052632	0.1666667	0.3333333	0.3225806	
Cygne noir	0.0	0.0416667	0.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.0344828	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0322581	
anatidé sp. (oie sp.)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1111111	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Ouette d'Égypte	0.0	0.0	0.0	0.0	0.0714286	0.0333333	0.0	0.0625	0.0727273	0.1290323	0.0731707	0.0208333	0.0612245	0.1290323	0.0625	0.0447761	0.0571429	0.0491803	0.0	0.0212766	0.0384615	0.0	0.030303	0.0	0.0	0.0416667	0.0526316	0.0454545	0.1764706	0.0714286	0.0	0.1111111	0.0	0.0769231	0.0	0.0	0.0	0.04	0.0	0.0	0.0526316	0.0	0.0	0.0	0.0	0.0	0.047619	0.0015	
Tadorne casarca	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0285714	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Tadorne de Belon	0.0434783	0.0416667	0.0015	0.1111111	0.1071429	0.1666667	0.1176471	0.125	0.1272727	0.3548387	0.2195122	0.2291667	0.1836735	0.2580645	0.15625	0.1044776	0.1142857	0.1147541	0.1111111	0.0638298	0.1346154	0.025	0.0909091	0.0434783	0.0909091	0.2291667	0.0526316	0.0	0.0	0.0	0.15	0.0	0.0	0.0769231	0.0	0.0	0.0	0.0	0.0	0.0344828	0.0526316	0.0	0.0	0.0	0.0	0.0	0.0	0.1612903	
Canard mandarin	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0208333	0.0	0.0	0.03125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	
Sarcelle d'été	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0181818	0.0	0.2195122	0.2083333	0.122449	0.1290323	0.03125	0.0149254	0.0	0.0	0.0	0.0	0.0015	0.0	0.030303	0.0	0.0	0.0208333	0.0	0.0	0.0588235	0.0714286	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0344828	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Canard souchet	0.0434783	0.125	0.08	0.1111111	0.0357143	0.1666667	0.0588235	0.125	0.1818182	0.2258065	0.2926829	0.2291667	0.0816327	0.2258065	0.09375	0.0746269	0.0571429	0.0163934	0.0	0.0	0.0015	0.0	0.0606061	0.0	0.0454545	0.0833333	0.0	0.0	0.2352941	0.0714286	0.25	0.1111111	0.1818182	0.1538462	0.3636364	0.0434783	0.0	0.08	0.0	0.1034483	0.0526316	0.1428571	0.0625	0.0384615	0.0526316	0.0	0.0952381	0.0645161	
