









Frequency of observations in the selected location(s).:
Number of taxa: 	244

	Jan				Feb				Mar				Apr				May				Jun				Jul				Aug				Sep				Oct				Nov				Dec				
Sample Size:	285.0	232.0	311.0	383.0	289.0	246.0	328.0	291.0	348.0	376.0	512.0	641.0	460.0	482.0	462.0	511.0	508.0	472.0	470.0	622.0	489.0	467.0	477.0	513.0	410.0	375.0	325.0	443.0	223.0	257.0	223.0	332.0	244.0	206.0	233.0	288.0	223.0	311.0	363.0	335.0	230.0	224.0	209.0	433.0	214.0	249.0	246.0	393.0	

Oie à tête barrée	0.0421053	0.0344828	0.0482315	0.0130548	0.0519031	0.0325203	0.0182927	0.0274914	0.0316092	0.0239362	0.0253906	0.0265211	0.023913	0.0207469	0.008658	0.0195695	0.0334646	0.0169492	0.0212766	0.011254	0.0163599	0.0342612	0.0188679	0.0097466	0.0170732	0.016	0.0184615	0.013544	0.0179372	0.0466926	0.0269058	0.0210843	0.0409836	0.0242718	0.0171674	0.0173611	0.0134529	0.0128617	0.0413223	0.038806	0.0391304	0.0223214	0.0526316	0.0254042	0.0514019	0.0401606	0.0162602	0.0407125	
Oie des neiges	0.0	0.0043103	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Oie cendrée	0.0385965	0.0301724	0.0289389	0.0156658	0.0311419	0.0243902	0.0182927	0.0068729	0.0172414	0.0265957	0.0234375	0.0296412	0.0108696	0.0124481	0.0238095	0.0215264	0.0216535	0.0148305	0.0255319	0.0096463	0.002045	0.0107066	0.0083857	0.0175439	0.0121951	0.024	0.04	0.020316	0.0493274	0.0272374	0.0089686	0.0271084	0.0286885	0.0145631	0.0257511	0.03125	0.0134529	0.0385852	0.0165289	0.0328358	0.026087	0.0089286	0.0	0.0161663	0.0186916	0.0040161	0.0284553	0.0152672	
Oie cygnoïde	0.0175439	0.012931	0.0096463	0.0078329	0.0276817	0.0243902	0.0060976	0.0171821	0.0229885	0.0106383	0.0117188	0.0156006	0.0130435	0.0082988	0.008658	0.0136986	0.0137795	0.0063559	0.0170213	0.0096463	0.00818	0.0171306	0.0062893	0.005848	0.0097561	0.0106667	0.0123077	0.0090293	0.0089686	0.0194553	0.0	0.0060241	0.0122951	0.0145631	0.0128755	0.0	0.0044843	0.0096463	0.0247934	0.0179104	0.0173913	0.0089286	0.0287081	0.0138568	0.0373832	0.0321285	0.0	0.0203562	
Anser sp. (forme domestique)	0.0035088	0.0	0.0032154	0.002611	0.0	0.0	0.0060976	0.0	0.0	0.0026596	0.0	0.0031201	0.0021739	0.0062241	0.0	0.0019569	0.007874	0.0021186	0.0	0.0016077	0.00409	0.0021413	0.0	0.0	0.002439	0.0053333	0.0061538	0.0022573	0.0	0.0077821	0.0	0.003012	0.0081967	0.0048544	0.0	0.0	0.0	0.0	0.0055096	0.0029851	0.0	0.0	0.0047847	0.0023095	0.0046729	0.0	0.0	0.0025445	
Bernache nonnette	0.0210526	0.0258621	0.0321543	0.0313316	0.0242215	0.0325203	0.0335366	0.0068729	0.0143678	0.0212766	0.0136719	0.0202808	0.0108696	0.0041494	0.0108225	0.0058708	0.0137795	0.0148305	0.0234043	0.0096463	0.00818	0.0085653	0.0146751	0.0038986	0.002439	0.016	0.0184615	0.006772	0.0224215	0.0155642	0.0089686	0.0150602	0.0040984	0.0	0.0085837	0.0104167	0.0134529	0.0096463	0.0137741	0.0238806	0.0130435	0.0133929	0.0095694	0.0092379	0.0233645	0.0160643	0.0203252	0.0076336	
Hybride Oie à tête barrée x Bernache nonnette	0.0070175	0.0086207	0.0064309	0.0078329	0.0103806	0.0243902	0.0030488	0.0103093	0.0201149	0.0079787	0.0117188	0.0062402	0.0086957	0.0020747	0.008658	0.0058708	0.007874	0.0021186	0.0021277	0.0064309	0.00409	0.0042827	0.0	0.0038986	0.002439	0.0053333	0.0061538	0.0045147	0.0044843	0.0116732	0.0015	0.0	0.0163934	0.0097087	0.0042918	0.0	0.0044843	0.0032154	0.0165289	0.0119403	0.0130435	0.0044643	0.0095694	0.0046189	0.0186916	0.0200803	0.0081301	0.0127226	
Bernache de Hutchins	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0016077	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
