









Frequency of observations in the selected location(s).:
Number of taxa: 	165

	Jan				Feb				Mar				Apr				May				Jun				Jul				Aug				Sep				Oct				Nov				Dec				
Sample Size:	39.0	43.0	51.0	60.0	26.0	31.0	50.0	19.0	35.0	43.0	36.0	66.0	49.0	45.0	33.0	61.0	45.0	56.0	42.0	60.0	62.0	46.0	52.0	54.0	46.0	54.0	55.0	64.0	44.0	46.0	32.0	47.0	24.0	16.0	14.0	22.0	29.0	30.0	22.0	27.0	14.0	15.0	26.0	21.0	20.0	24.0	28.0	28.0	

Oie cendrée	0.025641	0.0232558	0.0015	0.0015	0.0	0.0015	0.02	0.0	0.0015	0.0697674	0.0	0.030303	0.0204082	0.0	0.0	0.0	0.0	0.0	0.0238095	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0227273	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0015	0.0015	
Oie cygnoïde	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0185185	0.0	0.0	0.0015	0.015625	0.0	0.0217391	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Bernache nonnette	0.0	0.0	0.0	0.0	0.0	0.0	0.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0178571	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Bernache du Canada	0.0512821	0.0697674	0.0588235	0.1166667	0.1153846	0.0645161	0.12	0.2105263	0.0571429	0.2093023	0.1666667	0.1515152	0.1836735	0.0888889	0.0909091	0.0983607	0.1111111	0.0892857	0.1904762	0.0833333	0.0645161	0.0434783	0.0192308	0.0740741	0.1086957	0.0740741	0.0727273	0.109375	0.0454545	0.0217391	0.03125	0.1276596	0.2083333	0.125	0.0015	0.1363636	0.0	0.1333333	0.0909091	0.0740741	0.1428571	0.1333333	0.1153846	0.0	0.0	0.1666667	0.0357143	0.0714286	
Cygne tuberculé	0.025641	0.0930233	0.0588235	0.1	0.1538462	0.0967742	0.1	0.2105263	0.0285714	0.1860465	0.0833333	0.1515152	0.122449	0.0888889	0.0909091	0.0491803	0.0888889	0.0535714	0.1190476	0.0833333	0.0483871	0.0015	0.0192308	0.1296296	0.0652174	0.0740741	0.0909091	0.109375	0.0454545	0.0869565	0.0015	0.1489362	0.25	0.125	0.0714286	0.1818182	0.0	0.1	0.0454545	0.0740741	0.0714286	0.2666667	0.1153846	0.0	0.05	0.125	0.0714286	0.1071429	
Cygne noir	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0181818	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	
Ouette d'Égypte	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0465116	0.0277778	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Tadorne casarca	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0212766	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Canard musqué	0.0	0.0232558	0.0015	0.0	0.0	0.0015	0.02	0.0526316	0.0	0.0232558	0.0	0.0151515	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0212766	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0384615	0.0	0.0	0.0	0.0357143	0.0	
Canard mandarin	0.0	0.0	0.0	0.0	0.0	0.0	0.02	0.0	0.0	0.0465116	0.0	0.0	0.0408163	0.0222222	0.0	0.0	0.0222222	0.0535714	0.047619	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Sarcelle d'été	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0277778	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Canard souchet	0.0	0.0	0.0	0.0166667	0.0	0.0	0.02	0.0	0.0	0.0	0.0	0.0151515	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Canard chipeau	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Canard colvert	0.1025641	0.1395349	0.0980392	0.1333333	0.2307692	0.1612903	0.28	0.2631579	0.0571429	0.2325581	0.2777778	0.1515152	0.244898	0.1777778	0.1515152	0.1147541	0.1111111	0.1607143	0.2380952	0.0666667	0.0806452	0.0434783	0.0576923	0.1481481	0.173913	0.0925926	0.1272727	0.078125	0.0681818	0.0652174	0.0	0.1489362	0.0833333	0.0625	0.1428571	0.1363636	0.0	0.1	0.2272727	0.0740741	0.0714286	0.1333333	0.3846154	0.0952381	0.0	0.125	0.2142857	0.1428571	
Sarcelle d'hiver	0.0	0.0	0.0	0.0	0.0	0.0	0.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Nette rousse	0.0	0.0015	0.0	0.05	0.0015	0.0322581	0.04	0.1578947	0.0285714	0.1162791	0.1388889	0.1060606	0.0408163	0.0222222	0.0606061	0.0491803	0.0222222	0.0015	0.0952381	0.0166667	0.0322581	0.0	0.0192308	0.037037	0.0652174	0.0185185	0.0181818	0.03125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0015	
Fuligule milouin	0.0	0.0232558	0.0196078	0.0166667	0.0015	0.0322581	0.02	0.0526316	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0357143	
Hybride Fuligule milouin x F. nyroca	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	
Fuligule morillon	0.0	0.0232558	0.0	0.0	0.0015	0.0322581	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0357143	0.0015	
Fuligule milouinan	0.0015	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Garrot à oeil d'or	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Harle bièvre	0.0015	0.0465116	0.0392157	0.0015	0.0384615	0.0015	0.0	0.0526316	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	
anatidé sp. (canard sp.)	0.0	0.0	0.0	0.0	0.0384615	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Faisan de Colchide	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0166667	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Paon bleu	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.0	0.0	0.0	
Pigeon biset	0.4102564	0.6511628	0.6470588	0.7	0.5384615	0.516129	0.48	0.4736842	0.6285714	0.6511628	0.5	0.5454545	0.5306122	0.3555556	0.4545455	0.4262295	0.5111111	0.3571429	0.3809524	0.2833333	0.2903226	0.3478261	0.3269231	0.5185185	0.4347826	0.4444444	0.4909091	0.484375	0.5227273	0.6304348	0.5625	0.4468085	0.4583333	0.6875	0.5	0.7272727	0.5517241	0.6	0.5	0.4074074	0.5714286	0.2666667	0.2692308	0.3809524	0.3	0.5416667	0.5357143	0.5	
Pigeon colombin	0.0769231	0.1395349	0.2352941	0.1666667	0.1923077	0.1612903	0.16	0.2105263	0.3714286	0.2093023	0.2222222	0.2424242	0.244898	0.2	0.2121212	0.147541	0.1555556	0.1785714	0.1190476	0.1666667	0.1451613	0.0434783	0.1153846	0.1296296	0.1086957	0.1296296	0.1090909	0.15625	0.1136364	0.1521739	0.15625	0.1489362	0.125	0.125	0.1428571	0.0909091	0.0344828	0.1333333	0.1363636	0.1481481	0.0714286	0.2	0.1153846	0.047619	0.25	0.0833333	0.1785714	0.1071429	
Pigeon ramier	0.7435897	0.8372093	0.7647059	0.75	0.6923077	0.7419355	0.86	0.5789474	0.6285714	0.744186	0.7222222	0.8333333	0.8367347	0.8888889	0.8181818	0.8688525	0.8	0.7321429	0.7619048	0.6666667	0.7741935	0.7173913	0.8076923	0.7407407	0.8043478	0.7777778	0.8909091	0.828125	1.0	0.9565217	0.84375	0.7659574	0.75	0.875	0.9285714	0.8636364	0.4482759	0.5333333	0.5909091	0.5555556	0.8571429	0.5333333	0.7307692	0.6190476	0.8	0.9166667	0.6785714	0.8214286	
Columba sp.	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.016129	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Tourterelle des bois	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0178571	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
