









Frequency of observations in the selected location(s).:
Number of taxa: 	290

	Jan				Feb				Mar				Apr				May				Jun				Jul				Aug				Sep				Oct				Nov				Dec				
Sample Size:	52.0	60.0	33.0	54.0	30.0	32.0	43.0	36.0	60.0	60.0	103.0	84.0	127.0	118.0	96.0	103.0	88.0	100.0	45.0	127.0	91.0	65.0	83.0	84.0	52.0	77.0	93.0	179.0	119.0	122.0	77.0	76.0	53.0	57.0	24.0	31.0	37.0	47.0	30.0	50.0	23.0	44.0	19.0	53.0	19.0	16.0	11.0	81.0	

Oie cendrée	0.0	0.0166667	0.0015	0.0555556	0.1	0.0015	0.0232558	0.0555556	0.0166667	0.0	0.0015	0.0	0.0	0.0015	0.0104167	0.0	0.0	0.0015	0.0	0.0	0.010989	0.0	0.0	0.0119048	0.0	0.012987	0.0107527	0.0	0.0168067	0.0081967	0.0	0.0015	0.0	0.0	0.0	0.0	0.027027	0.0	0.0	0.02	0.0434783	0.0227273	0.0	0.0015	0.0526316	0.0015	0.0	0.0	
Oie cygnoïde	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Oie rieuse	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	
Bernache cravant	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.02	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	
Bernache nonnette	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0120482	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0625	0.0	0.0123457	
Bernache du Canada	0.0192308	0.0666667	0.1818182	0.0185185	0.0333333	0.03125	0.0930233	0.0555556	0.0166667	0.0833333	0.0194175	0.0119048	0.0393701	0.0169492	0.0416667	0.0194175	0.0227273	0.0015	0.0222222	0.007874	0.032967	0.0015	0.0120482	0.047619	0.0015	0.0015	0.0430108	0.0111732	0.0084034	0.0015	0.0015	0.0131579	0.0377358	0.0350877	0.0015	0.0015	0.0540541	0.0638298	0.0015	0.02	0.0434783	0.0227273	0.0	0.0015	0.0526316	0.0625	0.0	0.0	
Hybride Oie cendrée x Bernache du Canada	0.0	0.0333333	0.0606061	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0055866	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0015	0.0	0.0	0.0	
Cygne tuberculé	0.0576923	0.0333333	0.0015	0.1111111	0.1666667	0.09375	0.0232558	0.1388889	0.1	0.2	0.2038835	0.202381	0.1574803	0.1016949	0.1458333	0.1067961	0.1590909	0.1	0.1777778	0.0551181	0.1648352	0.0307692	0.1445783	0.1428571	0.1730769	0.0779221	0.1290323	0.0726257	0.1176471	0.0655738	0.025974	0.0526316	0.0943396	0.1403509	0.0015	0.0322581	0.0	0.0212766	0.0666667	0.04	0.0	0.0909091	0.0	0.0188679	0.0526316	0.125	0.0	0.0015	
Cygne noir	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0097087	0.0	0.007874	0.0	0.0104167	0.0	0.0113636	0.01	0.0222222	0.0	0.010989	0.0	0.0120482	0.0119048	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
