









Frequency of observations in the selected location(s).:
Number of taxa: 	506

	Jan				Feb				Mar				Apr				May				Jun				Jul				Aug				Sep				Oct				Nov				Dec				
Sample Size:	299.0	276.0	332.0	487.0	330.0	393.0	436.0	383.0	407.0	526.0	502.0	824.0	824.0	715.0	978.0	1385.0	1242.0	1350.0	832.0	1124.0	592.0	540.0	461.0	542.0	348.0	422.0	452.0	588.0	402.0	325.0	385.0	608.0	692.0	596.0	518.0	489.0	366.0	422.0	333.0	450.0	286.0	255.0	199.0	225.0	300.0	218.0	219.0	542.0	

Oie des neiges	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0027972	0.0010225	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Oie cendrée	0.0401338	0.0398551	0.0331325	0.0554415	0.0454545	0.0330789	0.016055	0.0156658	0.017199	0.0076046	0.0278884	0.0230583	0.0194175	0.013986	0.0071575	0.0072202	0.0112721	0.0103704	0.0072115	0.0133452	0.0118243	0.0018519	0.0173536	0.0239852	0.0143678	0.007109	0.0088496	0.0085034	0.0074627	0.0153846	0.0207792	0.0115132	0.0115607	0.0067114	0.0173745	0.0265849	0.0245902	0.0236967	0.0570571	0.0333333	0.0734266	0.027451	0.040201	0.0444444	0.0566667	0.0688073	0.0410959	0.0239852	
Oie rieuse	0.0	0.0	0.0015	0.0020534	0.0015	0.0025445	0.0022936	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0022222	0.0	0.0	0.0	0.0	0.0033333	0.0045872	0.0	0.0	
Oie de toundra	0.0	0.0	0.0	0.0	0.0	0.0	0.0022936	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	
Bernache cravant	0.0	0.0	0.0	0.0	0.0	0.0	0.0022936	0.0	0.0	0.0	0.001992	0.0	0.0	0.0	0.0	7.22E-4	0.0015	0.0	0.0012019	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Bernache nonnette	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003003	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0045662	0.0	
Bernache du Canada	0.0015	0.0	0.0	0.0	0.0	0.0	0.0022936	0.0	0.002457	0.0038023	0.0015	0.0012136	0.0	0.0	0.0010225	0.0	8.052E-4	0.0	0.0024038	0.0017794	0.0	0.0	0.0	0.0	0.0	0.0047393	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0015	0.0	0.0088889	0.0	0.0	0.0	0.0	
Hybride Oie cendrée x Bernache du Canada	0.0015	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
